unit_id,ChamberFlowUniformity,DepositionRate
0,37.865744187954114,61.89197466558678
1,43.280260476699894,39.061768430205184
2,54.93578814844547,34.774108944357955
3,68.66679496746501,60.552423640454954
4,35.81809855503825,41.68236721565853
5,38.84816281280636,58.36885484757696
6,43.62021836045864,23.186270342855938
7,55.806752636052266,19.530010561303655
8,44.88880863781562,38.330403959575875
9,37.48671446552786,20.222422319068183
10,43.28810636950203,41.522812149326796
11,75.57364524640174,55.56562409304551
12,42.79108663373472,49.302114836263534
13,58.3576510331919,38.730785275471376
14,53.62934059899042,43.72176417589927
15,33.70690897798512,38.00273730189794
16,43.13942453978501,32.2454956847185
17,54.04479772273394,22.464358328861316
18,29.285642467240464,41.50282243734107
19,29.867690712134355,31.195286393474518
20,31.48208889832185,33.715857843726255
21,35.4190297943565,56.34677173935211
22,25.25355756100956,34.08303836877127
23,37.75032724225105,44.867104667936175
24,49.837503521458444,40.06903011385851
25,52.225163282088346,25.239005679718097
26,60.355780064202904,28.439478214205586
27,47.66330489126595,56.64016618874733
28,67.66052349139531,18.42317469943542
29,54.191377871564306,26.605238683950446
30,57.596548130180274,33.34993790608253
31,56.39999537456198,33.04265530034078
32,72.58905943586615,23.578009909753757
33,33.05166221796364,71.93387016676753
34,62.45227216074629,73.39692464899858
35,58.04430072705508,34.789694420425974
36,47.69605460994537,43.87937620151477
37,30.220592079964888,61.876109214512844
38,46.018256856852844,56.262123357868425
39,52.35863003652969,60.78465285009579
40,41.27434472106175,31.838325002348284
41,44.08763722272903,25.231917799904927
42,63.671693740995906,56.76531407219096
43,61.955705067874376,40.51135369085854
44,49.286222090853165,62.212995725546115
45,55.84450626674577,35.53522312987445
46,52.81901529848625,59.21172134195939
47,51.0145446078014,42.45272028856924
48,66.35935982834526,55.5757617081679
49,33.92253974918282,33.086436285001334
50,59.349604771519175,23.35143195615064
51,63.110398640615735,49.797795343659594
52,54.836238620995296,23.03467891687369
53,51.11034129019878,48.414922118029
54,34.01269402164287,23.26557062832152
55,55.367709307359895,45.280570522562904
56,31.998724536662092,18.769241634220474
57,51.37225889479381,56.62836973196812
58,45.37174977171841,24.26368095453752
59,53.51075819406597,62.057852542633285
60,45.06742660272316,46.23189970379324
61,43.75499045451133,48.37925151720024
62,22.29761472400039,46.05938857796072
63,30.137882902378752,28.879021610940864
64,51.13602285553658,32.05070621911372
65,50.27477216541614,43.73448495749894
66,41.51429600746464,23.887545906177966
67,36.91821881965958,54.56501281161462
