unit_id,WaferYield,ChamberFlowUniformity,DepositionRate
0,24.048514549581178,62.152080433560734,72.54839151485551
1,18.60513686060743,41.299267978650555,17.123388335720698
2,24.576153030219565,38.35481231286734,55.88578086643316
3,24.52299120351307,57.01530608076985,54.45911628822228
4,23.172452749850827,53.65010465586967,54.10611929279852
5,26.009231737726648,53.27023761007758,35.36707607558631
6,24.74527378742124,60.97411294676327,43.79423160554142
7,24.1919134806499,32.86383168978735,60.272911769512774
8,29.91227014214024,37.74886584517396,41.14278183371444
9,19.699681073561578,50.10640134688815,28.967583631244043
10,19.150960544784336,17.909090588183357,35.15428970468659
11,22.80024195184865,26.18009772334131,43.73840641437082
12,26.23466495791171,61.943810013799705,39.786593932967506
13,31.574799881303257,25.785656584746025,33.71752385466732
14,32.16934317771896,48.34430997388702,39.749409011817015
15,21.70425042375402,22.606522117161887,33.617499809008685
16,18.990309035144147,69.54227097743059,52.688941480792266
17,24.480158227628955,43.656820305611696,25.54178992954922
18,28.296120778925765,48.20290101051329,32.792069226264275
19,20.896927998084728,50.1580891324118,30.82171141519138
20,35.06058470342083,57.32737944892427,30.398891976225066
21,18.31575689170692,52.64946730331737,32.242484839985075
22,24.261203503583264,54.481679588016824,61.97203259759068
23,27.594789711882026,53.93313246955301,64.69289532988498
24,21.385054677800955,38.86790470906551,39.38602174392885
25,21.745919152380853,58.63747832464097,52.028024158044914
26,28.66743537606397,44.3413141610991,27.99787017372515
27,18.43988799330706,41.580604489312336,33.764490781043094
28,23.937093402888536,51.001844500565014,38.29683461161261
29,24.83469838504343,53.91755035357114,22.662746626464372
30,25.300556410512545,46.63384884768206,53.28386982825323
31,21.644315464698362,37.99026778272702,44.42796267976423
32,28.168714108753328,40.046082430158386,50.81402216349808
33,30.98790747908304,45.114373047979235,12.549856432902248
34,26.58940751839772,44.812472229622564,42.041021931617784
35,21.414232477155522,43.212274494684095,33.51195885797193
36,31.893601215197023,46.44151183532386,39.98324509744702
37,24.91038910356705,38.805066519399276,48.446198892589976
38,23.91382106557398,53.06003794235238,27.3590950621533
39,28.111114255792604,54.396830859281735,29.537468393883305
40,24.63618449970733,56.84410503070247,42.29784892737797
41,23.36461770198315,56.16714780403144,63.47588178505547
42,23.704308098693865,42.434037342915076,59.98488688061793
43,26.0440015577739,66.64966722595435,43.581457892767574
44,27.24411899383143,57.92154394571963,51.71863651824968
45,24.355676657145125,63.75283546816519,35.62563565375217
46,29.559669228144035,53.226823336801026,25.589211689796116
47,25.66055748280946,31.359318709535643,26.65954574066206
48,25.598838224548405,38.58063661080813,46.00974235074477
49,21.920689170480465,41.47096383806547,44.29003588570751
50,23.04845886374143,48.263836406383824,22.925144233195734
51,24.185537329259063,53.70872654192071,39.32195595336248
52,25.63624665039446,48.94427715711193,40.2494100247067
53,24.319732006792844,54.91131255822353,38.32184574340459
54,22.782595821167973,48.371934273561145,33.335063843080476
55,20.768219490921442,70.6042653169701,37.275166416953724
56,21.903333963957486,49.888701735791564,44.538149808604146
57,25.399257480917303,9.439030777517385,34.48826277851653
58,29.25215840971502,64.60316682835688,6.900699679979188
59,25.58552875373048,48.27845129775675,26.826704935931634
60,26.309073478273636,54.17288330107135,26.63091826870452
61,29.004625313936614,51.380337844982485,48.36266589236559
62,29.1531675601038,45.22340173887493,40.5420232304175
63,26.70514626614076,42.30046537547,69.62465488942715
64,28.794612890836255,44.738992517456396,52.20621805713873
65,25.77359793700707,65.26425994296663,49.91982806915597
66,27.85703965893236,56.2553061831896,74.83980216367671
67,26.158558153154065,28.099769048973954,42.70156568967338
68,23.79798590315998,65.61677281284176,26.16304981200327
