unit_id,IrrigationRate,LeafGreenness,SoilOrganicMatter,CropYield
0,49.72125912696751,50.79596661006141,48.51081220981195,8.71067834759965
1,81.74942414377935,42.59938747128113,52.5033828112224,29.45612736617842
2,68.1434778429907,56.10551213113721,45.0120110788142,-0.5751811037946295
3,64.68209543193387,53.20374525786268,49.71008067027203,4.357857150443614
4,97.42763302528299,52.99658012175159,51.939570257534555,25.62784261560961
5,62.66862850268334,56.03681905351692,55.80427125642491,11.63377185253882
6,72.46345168156306,55.94670545473966,43.22623036417096,0.6487961207671855
7,96.04952962214,47.941788835456755,42.414795955669106,26.319135812622445
8,95.22966036053111,57.50287019314779,59.33016540532268,22.919831739475814
9,70.5259250958785,50.98173853732699,66.1485060194341,5.141444366007846
10,43.087082874314284,42.58600081939237,28.55305735908229,3.972293926302795
11,57.28873869222258,54.18349856427602,44.33678877175175,12.453804185347352
12,76.54637222992805,51.99785519740016,44.74531118115388,20.212429714253506
13,63.25639010224176,39.67146091692912,37.73035288077102,24.186949136075935
14,59.15512700097166,48.773994906601104,54.576269933913196,8.566601566795661
15,35.028282732482516,39.209064771203145,44.74607723142394,9.566014219132775
16,70.90459423792512,53.708439963617174,62.062943159998845,7.920848506854209
17,95.67136113106189,53.05134539621557,46.57317885704241,13.501207756650478
18,23.934090858570126,37.037063624835724,63.840652948763854,9.888249473007646
19,64.20891580054858,55.92396657766625,73.01820174940045,9.630230246831303
20,45.09685073058792,48.38775207811023,66.59817480639002,9.20655639307131
21,81.61645169078095,55.33358227622732,50.95158669670348,16.840560284255794
22,33.18466208538654,12.126048728020237,51.939453969125374,40.427998206078065
23,59.08933728539402,52.345209182491445,48.66974633396404,14.532182710228177
24,79.49412051095489,51.78510058718588,60.00232550951399,22.359665713209573
25,54.71382728631526,35.31025023086444,40.37017262685113,16.8992900044524
26,48.978824624172816,49.10689049692545,34.4815496506525,6.779268967135902
27,51.967926484586805,32.024766562255465,79.27320888604035,27.804519262535983
28,68.45729452934991,53.70527384575025,39.230913598162374,5.306055600951519
29,57.478395053767244,56.17313910221501,60.13310488653163,-4.633152231325314
30,30.279646126285225,48.3254363670454,66.77636884077079,-9.928983222097026
31,91.48260912470522,54.55063840290555,66.00772985372477,23.16003056632324
32,62.353625013480645,39.030843534493584,60.208470449923446,17.422177836549874
33,50.41998204759936,51.461744226961116,47.05102458269133,10.404071994962676
34,65.63306965210992,51.859775952974026,49.06862381570079,5.682245890800236
35,60.364320332883786,55.13509746593953,42.795821036333564,8.779739871992625
36,54.789701347248275,45.83072566421972,43.428938280225154,18.481119963733104
37,74.27531182550216,52.03056824233849,58.100907639467216,26.400684321496776
38,88.70407809331653,53.836806228741075,55.08483793834344,17.14715492407743
39,54.203626346222656,54.724128143611274,45.90860210003844,10.332462873847186
40,83.56356696711441,57.927856114900216,53.39407971327381,16.848825307557334
41,15.202120271042137,25.395352320030742,35.86516286966404,7.205546086192632
42,45.789092155048024,50.791071476741,60.766227623887076,-0.3421298082569608
43,76.83976428766324,51.88482798575469,72.18597153020346,14.050737433073103
44,50.07937552198116,51.45078647765791,64.68404926755298,-1.5531892557313074
