unit_id,ReadmissionRate,CongestionBiomarker,do_diuretic_titration
0,55.53132923827717,26.416609239823515,50.0
1,24.21684091075403,9.157017146720516,50.0
2,60.05944700278676,24.201929695419444,50.0
3,41.70863269260565,-15.306036757311631,50.0
4,29.659065995850824,42.17744825084655,50.0
5,49.04334655384045,45.631567508868656,50.0
6,48.82095929666439,55.37067047074103,50.0
7,34.99059105894373,3.2725505018570655,50.0
8,42.437702715970225,25.324817590686415,50.0
9,17.86675865240807,-5.33669582316938,50.0
10,21.08100865535452,17.092561334664094,50.0
11,38.80310999564943,18.250872032791822,50.0
12,58.45673215070081,52.91532983431226,50.0
13,65.13249922887013,1.418868922763263,50.0
14,43.13378959413332,23.656830958219196,50.0
15,67.17145392499575,21.21085614281018,50.0
16,39.13725968193086,6.721516125339022,50.0
17,25.378836253986414,6.314809700699969,50.0
18,51.659563086126425,41.8976843749606,50.0
19,49.72145016691363,21.004928685148116,50.0
20,84.04380811150817,61.592939021762746,50.0
21,18.28426249207761,-17.283192633131222,50.0
22,71.02974706355674,67.48644233790883,50.0
23,42.07168853722081,60.25937203689101,50.0
24,71.79973631406676,31.78786391545627,50.0
25,52.51590559012947,-1.6874213190967424,50.0
26,42.469623965055725,-21.529584666423794,50.0
27,27.22638762407467,28.556555878897363,50.0
28,41.43008946476,40.88904880672213,50.0
29,29.598568127333227,-4.156416289083313,50.0
30,33.92256094180926,30.358207164846252,50.0
31,29.96698317953938,4.338636518068634,50.0
32,33.51029713992263,-24.485113665540027,50.0
33,40.2626845380949,1.736468159990757,50.0
34,39.252019740149564,29.087992093145267,50.0
35,56.10018089146965,44.121532622013376,50.0
36,51.36398264158033,-1.6823828334398598,50.0
37,66.37598154531744,30.266945352789975,50.0
38,30.31145232521767,35.9435414794813,50.0
39,48.107843748850044,6.688682365189056,50.0
40,24.75029658388651,-7.390315592265664,50.0
41,53.87796531965117,45.22626501286207,50.0
42,36.72594832385035,-16.044071303543284,50.0
43,54.38769248649772,30.811297065202076,50.0
44,54.65417763464933,47.9256541830203,50.0
45,46.00000171726778,26.215857423728572,50.0
46,61.16394406785664,43.75176606240302,50.0
47,45.810593998731505,-23.22554383752702,50.0
48,33.66343774425806,-6.328220419419166,50.0
49,26.952442642205497,-18.777385939373517,50.0
50,39.97344292822329,44.99972072971485,50.0
51,59.89436958193144,42.52772529945653,50.0
52,31.78552150958741,10.485220989621446,50.0
53,40.588380051335164,-52.80968391671213,50.0
54,40.021637928470454,2.068454080201917,50.0
55,47.49585853273523,31.679228085479384,50.0
56,48.57961414599291,12.516949904196245,50.0
57,40.53609189914361,34.34811018331963,50.0
58,60.44250751296103,63.96312188968972,50.0
59,49.696431736602804,36.38058544902246,50.0
60,37.94628944835607,29.83797980178811,50.0
61,31.491442830020635,28.573076859627115,50.0
62,39.081171366637165,6.431322747657055,50.0
63,47.000525401470234,23.11344212325659,50.0
64,70.27875512343367,16.469166679586067,50.0
65,61.60770280799677,36.514280728802134,50.0
66,49.801742541556635,-2.413349847945277,50.0
67,40.03848152012829,-35.77180606650442,50.0
68,36.47632021760854,13.895542356080497,50.0
69,36.35930671883968,-40.93391628428472,50.0
70,43.837846727204536,45.920088906663715,50.0
71,42.62416555954299,51.91075248947557,50.0
72,41.5295530247042,26.503534279328434,50.0
73,47.99121983391585,57.943082464664165,50.0
74,46.215221370305954,23.508611606521722,50.0
75,30.7183765340365,-7.1042283364309,50.0
76,39.795914902605745,49.41311042133525,50.0
77,33.13304794420177,46.558635192592945,50.0
78,63.215500117011075,2.1848534017296615,50.0
79,70.28188999323882,30.66839816079514,50.0
80,38.037291378108264,-4.087238224552916,50.0
81,32.98689433457017,43.44228750690243,50.0
82,27.90988954599346,26.701056346581378,50.0
83,25.891065040145126,40.62240255845629,50.0
84,31.386326577427532,-6.924085568194901,50.0
85,40.274916906927004,43.14957783891279,50.0
86,33.456213994165765,-7.323053570744463,50.0
87,34.86381674327878,53.73432526023044,50.0
88,48.30046962625959,-7.569776988182181,50.0
89,47.27679770364232,-13.752450729146801,50.0
90,54.033143491054226,79.01442679156675,50.0
91,24.690060636513234,16.356090575835424,50.0
92,40.79955450535492,54.45664818572894,50.0
93,28.11717505661513,2.5260606432459856,50.0
