unit_id,ReadmissionRate,BloodPressure,Sodium,Creatinine,Hemoglobin,HbA1c,LengthOfStay,FollowupDays
0,63.872428102277794,47.5692436388963,56.51395115146185,40.43031788719616,54.28853758141828,52.33879711968201,35.901967876383466,38.6800366983947
1,47.07509802227845,46.103490453700665,48.80507517614099,62.61252262023256,58.002964012134335,49.50443224994325,46.773791199343854,42.27140734185829
2,35.38777505107259,31.407782188851744,68.07712159279899,48.5833364451302,60.07863162077872,59.84423178993156,48.07016243448806,34.84617878705971
3,58.50221812381344,53.18041697552339,27.72249275401073,30.87882602029157,53.76800232564029,43.686994587846925,39.55943966435666,42.00901941883323
4,44.34331563442514,80.47468312434059,56.83396043061869,58.54561632580401,37.21070836235522,41.94384269706807,46.896686999425384,44.41452172075185
5,43.60453834859628,44.54306436456418,38.30448054933903,44.294985749273636,53.99711403763853,72.51496998892677,50.80955230346048,69.24691543708147
6,46.824022914980716,34.2440068130544,59.34337878061037,60.08669385718431,68.04554016560756,29.504489600596223,53.96370745870417,42.5964433273016
7,33.93886147805878,55.144732073922675,61.92915602801796,51.469855052632184,46.11764518388697,41.48976238145929,45.707800369973654,56.551164911556945
8,50.09118592610506,20.148944267471375,64.4324182245363,50.706291333135624,47.94044846161832,53.785878749273245,52.16822435339074,59.65635264630854
9,63.29151803733423,33.72228078051273,18.497703465669865,59.39354909485562,64.66572900064834,53.08176400580033,45.90631860815104,35.526110280893434
10,45.46837771505787,47.04874767152132,53.476421134290085,33.492017445516694,55.75172902643003,70.59329134001568,46.64337531718784,46.41703182589004
11,83.8644468725457,34.59121172271134,46.3735545317765,65.82593141073058,46.897453928280974,60.471102652337265,33.24094290260352,37.797115822073025
12,34.61379101733742,61.45704752670636,42.08822784554078,77.92060327193985,48.80651094034653,48.21492404083733,32.136404450684836,43.05235503596968
13,53.332817765429624,49.00139520122457,38.74443626141551,51.09517974219809,58.889891242083614,41.43813607120102,45.46619375655472,65.20689406778567
14,71.07943892406638,31.311766531481634,76.99233200077106,79.0194047744028,34.67161089546655,67.56268662425292,48.646791697595106,58.915525060707715
15,65.25249494030106,39.96764661336731,54.09995759982987,55.175008561743255,62.52499104243359,54.56461118475433,33.594380332959105,44.97870423827536
16,70.17069824382253,39.3113749535404,35.29967096198377,38.49941638300499,52.72287417157523,50.02308705118812,31.895225363045622,36.57462500833775
17,43.23785862668137,42.430329173788685,66.06351925343701,37.15661770146829,43.135026176463015,45.43552362601093,46.12520626857534,43.677042320347994
18,49.56142239998452,59.3432361297782,59.33015244400299,56.650647074246464,63.34840286575881,49.82098535345247,18.655547782832198,46.579352613839774
19,34.282299149050615,34.4417017268904,54.51688692163358,57.99082310580829,76.3882697517566,55.299420369039034,49.53287495549322,73.54892751847129
20,45.62235932594248,32.765617492512796,72.6015070387311,64.96645684495188,68.35864867017912,55.573379227044995,39.57407384934288,38.034491424544285
21,37.81956722915481,55.21772896723442,53.247392432713575,19.69257313343155,48.1959139424386,46.83737045633762,50.27004017657844,47.416686617866866
22,36.00240386237279,29.845371311918843,26.519407793386833,54.14273587617721,53.25062483153519,21.643763288749884,19.791467371474525,45.12882230423418
23,62.88472563883344,54.86294230556648,60.20795068322434,56.865828516202775,38.055351865795735,54.671004672875014,46.42490947678673,43.094801076184666
