unit_id,ReadmissionRate,CongestionBiomarker,BloodPressure,Sodium,do_diuretic_titration
0,43.83462973122393,-32.22187237688464,74.8832446948443,46.84278983292043,50.0
1,43.57183221996051,-6.808775972420522,34.66660522646554,61.46658487377262,50.0
2,28.17603679925814,-9.58441908538612,48.22500755868318,40.46475754980334,50.0
3,44.35572277537819,-27.669431476080156,42.729245274508216,56.660458806251896,50.0
4,38.284959500652874,49.96993931619214,38.76617754915512,62.043885711252166,50.0
5,51.799239250834084,52.41229880741411,53.26652484543367,56.26339446303936,50.0
6,32.68291825864455,21.528350920531672,67.10368381891112,39.40427000397767,50.0
7,41.603398594680144,32.525190566679335,55.09652165987268,64.04625152549113,50.0
8,22.034512774788638,-1.4244783879025613,65.83868873735472,72.3429809348452,50.0
9,45.43883136622762,34.31418009399312,54.54217801557059,54.063325081029156,50.0
10,38.29219877795389,-25.653982924882477,67.81720555523603,49.91779162391118,50.0
11,43.982855286687936,15.54534200450717,53.4343896445573,45.27475759391905,50.0
12,33.305847326676876,-1.4810987827736142,79.8726192591622,32.43247464658541,50.0
13,51.8151612257315,-18.540283024310803,31.71209727883145,31.106777666842117,50.0
14,37.39786492672431,0.5600962839316921,45.16369153897622,69.98226020743967,50.0
15,51.99199811820162,54.43393538037051,55.688804888124544,66.1352463101101,50.0
16,34.834481894589366,-0.29366371727056517,55.203821946855065,49.13596137099859,50.0
17,50.542183937254755,-13.610374627452451,52.21750502331256,58.684981515517094,50.0
18,43.22801205974203,35.49317048820215,38.7473783150335,40.993389186191436,50.0
19,33.66873552738735,31.001643227278816,70.27068946464047,48.95123747072577,50.0
20,34.3595814937935,17.565695607393984,65.2570504638759,50.941606969752655,50.0
21,39.97469795275036,35.77559116876654,29.885027910338234,34.54122257144903,50.0
22,55.552843898628346,31.40609124008479,39.84434255546753,54.1592527678358,50.0
23,46.75650547872587,0.09978415152441134,46.89192367152353,23.98796579449798,50.0
24,24.682416776333188,52.3483202705289,74.13996603993344,44.9223070112183,50.0
25,52.65880210757577,17.6369458288038,43.126010424639674,42.42518714517476,50.0
26,34.742950071348815,23.109816760591798,58.470854900141205,59.40567372879131,50.0
27,73.2300605052668,39.3043174617759,42.18000515138705,43.51425746614967,50.0
28,29.68843307884129,33.58359850524159,54.58988651172056,55.19518865541102,50.0
29,32.47663470102291,21.00660041537064,50.80002392710749,44.854534578050725,50.0
30,34.919976607309295,38.459461201257575,46.15147517452586,62.850566092149556,50.0
31,35.87111594507529,5.118990653665739,66.68215317857268,36.825475085797066,50.0
32,44.30614600638229,40.880680327757936,39.926438425642424,46.66444905583539,50.0
33,26.414847670732204,-1.702965647173281,61.65701949905609,63.43837861956017,50.0
34,10.3210369258903,-23.573971727740215,49.48777040349165,41.24151464834657,50.0
35,21.20212690988285,2.540104108730519,43.62352201139471,66.3703329922029,50.0
36,39.459435278557294,-10.754300161379298,63.74777063054554,54.80212826996361,50.0
37,30.7822885412579,17.54672774528688,42.19119844192261,71.71014517607306,50.0
38,36.39221348502813,-4.032305219978076,41.385219846900306,59.71487418662032,50.0
39,58.985343514899604,6.972691720930378,44.49150143382253,45.36716744710904,50.0
