unit_id,InterfaceErrorCounter,JobThroughput,RackInletTemp,do_fan_controller
0,63.13421294100655,36.04637807018912,50.58276424465139,20.0
1,58.212237449470294,16.571433071769302,55.30814218519239,20.0
2,84.43605207495884,-5.393459802861619,76.4413009424486,20.0
3,67.6861675172498,16.833192224123923,24.58013101502636,20.0
4,48.022368678071146,28.131745789992088,32.58429948392691,20.0
5,49.165879130341736,17.941966196972164,63.588965033588394,20.0
6,70.0125907334795,39.22900100355192,38.5424536151634,20.0
7,46.35507588042764,17.087303275901327,55.43013175165851,20.0
8,56.2877898669951,6.24832207739544,72.72668411023126,20.0
9,35.190109310683795,14.310961157472985,46.74726448453077,20.0
10,60.00661223053077,-5.10014193682208,83.94415447796628,20.0
11,43.16551141026996,18.193164338604788,40.48755897921551,20.0
12,30.24759918115554,61.408146182566604,59.974557572489466,20.0
13,57.74681585414289,12.484410175903864,42.76734217340365,20.0
14,28.114118703197885,41.13358512118238,52.815581699186374,20.0
15,49.43277548495905,20.13922051944717,47.257452147525235,20.0
16,44.20543513673588,8.236225829476073,67.74168645408423,20.0
17,42.53357313575562,31.92522428303881,33.372497734158124,20.0
18,50.21398470636662,12.855457771080664,48.37356912799868,20.0
19,55.597493441912846,19.346714576597563,48.79778972017645,20.0
20,23.932928666457457,20.55635857910125,60.1931330958896,20.0
21,52.88486151694557,20.106062326843332,42.59051641051613,20.0
22,40.66826043438985,25.028552116593726,55.82789377164315,20.0
23,27.467761061106675,28.18024564334595,49.57895261396359,20.0
24,18.99792573419385,1.475002850098075,67.74522713314371,20.0
25,48.854498307117595,23.742402261084244,50.63809444556122,20.0
26,52.99661956193257,11.654147608755242,72.94461192167907,20.0
27,29.30869086896205,17.332708483246293,53.136654285398706,20.0
28,13.027268188505438,52.51700768628948,56.35286405094135,20.0
29,60.41182142194222,-6.17879954093814,78.11514096246316,20.0
30,48.276865987784795,7.135301758408774,67.40787494225182,20.0
31,47.94569836267613,27.565876401801667,67.07883605966177,20.0
32,17.03166443545461,39.99083667056083,51.53709890268912,20.0
33,35.296037560549635,31.14243145386768,52.61709590938323,20.0
34,10.037745433324712,49.25487405683308,44.77716788846732,20.0
35,24.878014637314912,20.235841488559267,49.714141266153604,20.0
36,68.13545872600793,17.328852470098024,50.59567220669759,20.0
37,71.54355307852967,10.610964710238452,35.58293935778202,20.0
38,32.78933391775345,16.617771930045578,54.74701728389591,20.0
39,56.9731923332403,17.632423352782865,44.54236920083066,20.0
40,65.61106148678584,15.775680547225914,51.38877832100089,20.0
41,47.33651789106826,27.986548443650236,56.14786829857779,20.0
42,39.333743546758605,11.619307740444215,59.44127781812748,20.0
43,50.44286073657478,13.031545465821731,58.98567515283846,20.0
44,78.61825387384945,9.525199658405533,47.22940334551241,20.0
45,34.07517760316259,20.551374596589355,57.010396397327774,20.0
46,57.12241209184569,20.619141946075413,40.75520817474358,20.0
47,23.003172320091352,34.19316940736348,30.412755474341946,20.0
48,58.52769518105782,13.931729708606483,46.6059824648803,20.0
49,45.54901564422205,22.92107600619208,39.92025759717586,20.0
50,46.03248147656229,12.678308156345018,54.34034080675774,20.0
51,50.49669593992641,20.211359612446014,48.28613585140702,20.0
52,16.2309769093223,49.05264454369145,44.960479979741976,20.0
53,22.32298725157418,16.10169842571382,56.50383384177798,20.0
54,35.099056499442334,20.935836778768007,64.57676732107906,20.0
55,48.364425428555876,18.490781869005836,37.09127837590938,20.0
56,89.40679614027599,3.6374646960467154,58.007622980666895,20.0
57,53.78383010682683,30.16247504031331,49.16591391015647,20.0
58,-8.668844307540635,68.19493561001924,50.62247209079779,20.0
59,58.63638848807051,9.982432364672373,67.2936723481357,20.0
60,51.894215132755114,3.539390764584552,62.84462206861594,20.0
