unit_id,ProductTiter,DissolvedOxygen,Temperature,do_FeedWaterFlowRate,do_ChelatorDosing
0,19.40708235176085,59.6225364321725,48.62544766942027,47.0,60.0
1,41.28342909704621,90.2951838866142,76.14073183379615,47.0,60.0
2,24.15455235381397,72.55870490550431,22.00236506620709,47.0,60.0
3,28.02241823182102,72.93766101605448,53.72496339507652,47.0,60.0
4,21.783730316234116,51.83770783565162,63.635173587471655,47.0,60.0
5,18.242596530207017,52.47068976847864,75.07084197227934,47.0,60.0
6,26.552681084136736,78.4295408361045,57.946762759905965,47.0,60.0
7,41.918360817118156,88.14960405056769,19.314921535662886,47.0,60.0
8,28.265558010714614,65.850154613788,43.31321042924596,47.0,60.0
9,21.889459466774824,59.56633871253931,37.50254626540412,47.0,60.0
10,27.57260906688618,72.53160853726735,40.048716936377666,47.0,60.0
11,34.806268339940324,80.63528742204879,68.06670498588518,47.0,60.0
12,26.84627639269821,66.03978894592969,48.298796993547356,47.0,60.0
13,30.81084135059554,76.50714936087567,67.39003402070729,47.0,60.0
14,30.402564737233988,80.86353622617199,70.39246530170175,47.0,60.0
15,23.141064834087842,62.326346857279425,54.586412171643126,47.0,60.0
16,23.52190962373497,63.50363991291475,70.83378825242828,47.0,60.0
17,33.45446241214568,88.1141295137866,41.13850054474935,47.0,60.0
18,29.81262295890885,82.97277076009973,10.702554720238034,47.0,60.0
19,25.92051086153808,69.81496617351344,33.24046984915331,47.0,60.0
20,33.12595827733173,73.96523638177446,54.636378055170944,47.0,60.0
21,27.014715776763115,70.76075872051257,50.54927410237965,47.0,60.0
22,29.77861750860763,76.12261350554992,48.229517775020106,47.0,60.0
23,30.10173364527342,63.92818227772314,47.586982197193215,47.0,60.0
24,39.52877515236608,95.98300859570136,34.632119464919114,47.0,60.0
25,34.36166369106675,76.79864286204868,65.00100690721763,47.0,60.0
26,30.261679129130922,77.33027571709243,73.95663375783647,47.0,60.0
27,37.33413694372925,92.77275693351656,17.262733952103897,47.0,60.0
28,20.235395754330188,63.25886329211195,62.019516593665436,47.0,60.0
29,37.28212758988929,84.68892629272297,63.02517542940325,47.0,60.0
30,40.126066487243946,90.22312247169074,56.91881709731807,47.0,60.0
31,36.96666326500399,85.53881277608953,52.97794823458812,47.0,60.0
32,34.800792025092335,73.57155379389417,52.170351211478746,47.0,60.0
33,21.296670767482272,76.22012468706497,50.02891176308586,47.0,60.0
34,24.490008900347117,72.0542696300321,20.867881982953318,47.0,60.0
35,34.39703365691266,75.98382588570458,30.475413945768125,47.0,60.0
36,38.85067404394695,88.76542626021947,36.10055294828235,47.0,60.0
37,29.54089194848629,81.4733365607714,62.996915305084606,47.0,60.0
38,30.221036235521044,77.41201153574978,59.156083482177955,47.0,60.0
39,35.43067140310735,71.09533008702007,44.441572554994046,47.0,60.0
40,32.58960028808892,83.2016646745983,52.99915615730933,47.0,60.0
41,38.750045084781874,88.13624817986091,45.91754878421919,47.0,60.0
42,36.24379350846746,94.42032483391043,66.174699561112,47.0,60.0
43,23.99876318355677,59.16602354064707,43.64502653271997,47.0,60.0
44,32.98110958684005,81.89831577664748,40.45192298891507,47.0,60.0
45,35.466154881912935,85.30903983651882,48.633534163806274,47.0,60.0
46,39.327011115408546,84.52640167518898,67.11533460686742,47.0,60.0
47,25.93711680114466,64.14756305790912,49.29059606819566,47.0,60.0
48,37.0183456357512,80.23741280685208,66.61474497930867,47.0,60.0
49,29.33971979664619,74.12840135933348,37.03702098551402,47.0,60.0
50,35.801488441377444,83.48297120401092,42.61587002926396,47.0,60.0
51,42.83013133729725,90.48952842165338,62.48356878406254,47.0,60.0
52,27.674944893615415,62.08904696935601,58.63657729746737,47.0,60.0
53,27.355558822664285,75.21382377782447,67.93984177590688,47.0,60.0
54,26.444956598087504,68.26823421574959,43.15347238025967,47.0,60.0
55,30.758935800770523,68.72240822254466,48.69299480847988,47.0,60.0
56,21.46998064395579,63.37495370244893,36.081501982822736,47.0,60.0
57,21.99611645772945,56.79997354219085,58.54206386679136,47.0,60.0
58,22.099763052419014,72.2176991529041,32.13500997052988,47.0,60.0
59,33.29864161948892,77.56585091050904,53.34338284972436,47.0,60.0
60,34.50464199227113,67.21247240763087,35.850330274888805,47.0,60.0
61,36.91507173889311,89.73860381566035,55.70027697704006,47.0,60.0
62,43.768238588964124,93.60850532044458,62.726186855316925,47.0,60.0
