unit_id,ConversionEfficiency,PressureDropBed,EffluentByproduct,FeedFlowRate
0,-41.999911677707885,54.854963706451414,70.5061534988373,47.93137687072025
1,-42.84137767546225,57.6855751505017,39.775394320482974,38.98878081129465
2,-36.68006117622103,38.658343523907725,39.345598807266946,36.885041198413944
3,-37.89035858326771,57.268094845764246,44.497347484791234,26.63053619391325
4,-23.686103837890755,69.37595123126674,26.093763632374397,46.83416721398151
5,-26.295842576151916,42.7283611735994,44.598545821106484,31.09094092809625
6,-39.14263528940019,33.23077739626732,40.70770229085458,35.871015238897535
7,-33.8993759798488,46.02144089708221,42.357210784929144,40.91184273372168
8,-34.68527188514938,64.34139749321457,54.40515399960293,59.1719931505297
9,-51.06357634496453,56.55676938148437,28.00400344029369,48.28704361992368
10,-31.91753488740861,66.01048715668598,22.908344025034967,41.64834869272614
11,-52.94051938514813,64.3775852982526,50.688695668657786,48.15395520863838
12,-60.27678409328581,49.115481439224,40.42358009783028,45.21453365110713
13,-33.90018971080353,41.11867862035494,38.80668754987749,52.648148564943966
14,-57.90218750657572,67.61772308951217,62.128099413219545,44.87024828618354
15,-40.73742244101746,49.60671136089983,65.23308058149553,39.04159442889391
16,-33.37422774578003,68.57497935136769,50.30805554804998,31.81012837897272
17,-7.239500529310295,52.162282312945536,21.304570691194197,13.689504697334108
18,-49.49284632303035,61.67034192178708,41.078543007348046,34.78046460777327
19,-37.770479670435776,53.2666017970598,51.45260604770969,41.52538023969559
20,-50.97233187843733,36.393959951015894,56.621480498303896,51.38743652292046
21,-24.512657204293276,63.702783472570644,47.168675819831485,57.753465720190235
22,-48.1885616458969,27.675318022713675,52.03580586299844,36.90008752098859
23,-28.2770016123938,24.511518772330255,27.468666595526933,12.812174191895082
24,-31.287837083629945,59.14369283697449,39.6460801086103,63.76077159015413
25,-36.0323457442738,45.17697820373551,43.1490036069423,49.314432313757315
26,-44.06980040089206,26.53028300641519,59.481064237343034,52.7407622138789
27,-21.304026111854995,34.23019429482852,19.466625312716488,34.40941121330705
28,-44.12621294432471,50.594497259990284,57.353753178816156,35.449724960524335
29,-9.205817292264431,64.62984635602712,18.345445522380967,35.25459070154602
30,-28.220865059080655,30.753308520619214,48.33918026479616,38.28285055022081
31,-37.28781458918058,25.182046509449716,39.40277879896771,37.63048832886693
32,-44.74633834158248,50.84997868600147,50.576463799636095,51.69215737065029
33,-57.063440703471166,39.77332379045051,39.55963104440829,45.81722942985739
