unit_id,ConversionEfficiency,EffluentByproduct,PressureDropBed
0,-47.17049064017495,37.09761759114038,64.69129100114446
1,-9.503863821054134,24.03845942933308,57.398159948170175
2,-38.70657712048942,58.471538898294924,70.79873639636408
3,-40.5944438734685,71.53542111695963,37.40276772845314
4,-46.96626051307065,46.494681798143446,43.45093787633001
5,-68.8696065670067,50.010391164885625,25.75059565518188
6,-53.22037128129419,64.98434095546878,61.74693038136825
7,-9.681257010762149,24.53226119161401,75.56629794312269
8,-36.14852991217127,44.987569545459735,65.4804621001978
9,-48.27095588179744,46.2378183009825,52.20127393836415
10,-32.249131455437386,45.8759348663581,60.083711750530796
11,-15.579194280573482,26.015280521186327,57.62427415061449
12,-35.55737007290129,20.57559348736571,52.08383008647328
13,-46.39522669287277,51.8936945130442,53.593585993495054
14,-26.696054373431874,39.84721309622926,50.969982987860256
15,-39.393118124444406,35.82032097122339,43.31025277619934
16,-29.57731240385424,55.45214459441544,42.03732891270226
17,-37.12499699953934,58.438615871596156,61.835691133253874
18,-33.9611902263282,63.19936531956775,52.02222101759603
19,-28.830956718969105,46.42111281525656,40.37500462989047
20,-22.561198084375935,52.3770678171193,39.875957728537315
21,-57.80109061395245,51.258814853418045,60.14358968996239
22,-46.60412780378723,56.1772351238271,38.316415340798
23,-3.8508735704789774,15.765500968000623,40.63564251144412
24,-28.31319225955491,49.75817070051127,49.65618456228737
25,-41.458947831455156,49.17235715192587,60.21374548167617
26,-30.963507388640817,42.74383918187589,50.863846872412566
27,-39.880779363174646,62.31519896011103,61.20141221918474
28,-37.03032396316821,54.32021523130836,55.22053914061346
29,-18.086667987289704,30.96203226513459,61.36397720336142
30,-31.40315140500591,34.288957912357176,56.32923335000549
31,-27.457741178513466,38.19152891172955,53.48802512985076
32,-31.972317479118086,38.94733181473936,44.31518274642319
33,-30.91549128514111,60.87825038668731,41.99492674916832
34,-15.454630012108412,35.53939454856895,47.55779603319077
35,-28.935196393238343,31.48389711964075,63.42373889495595
36,-28.518480826089856,40.806927312759036,34.12677684506227
37,-24.212243755280973,49.759798438159436,49.49482842716599
38,-18.08209176199549,47.899067037381606,30.92540461167228
39,-36.61500616994777,20.722175528888286,69.84177562343966
40,-35.47658390550554,56.559232457547495,50.274770863178205
41,-28.761683354230982,34.7589182292516,53.873225267128404
42,-34.248228292462414,54.96791306016053,34.404994282184646
43,-34.024718989902865,40.53180534698407,49.73113755036455
44,-31.904783417025733,33.16256290181511,42.24987222213668
45,-47.036397041066465,68.29518344525552,43.086056872833794
46,-32.250964798999775,54.72592862633854,46.60565329072379
47,-30.212577660537413,31.973654211063803,56.41640778542591
48,-30.906605042172536,26.15064947856714,51.60243612168269
49,-25.535086819362178,41.311152704752274,44.77207770446202
50,-27.501582836475723,45.170191642519825,49.05192830534698
51,-16.076396855095396,21.258992750510004,59.039121455406224
52,-46.60196442610811,38.40154574452184,33.214517996451036
53,-35.17823802196964,40.93120746440807,38.38452510662716
54,-36.08999927585001,44.56325407811014,65.15903175974714
55,-19.677961734624184,31.723335386146097,29.35907305290303
56,-48.05307003166557,55.41977940494719,54.95245873688648
57,-48.925409564232964,61.02530306527079,56.489715806421415
58,-38.87711624489649,50.007655773704144,48.973891510700504
59,-24.001443940214607,32.91473960476922,55.79462573119091
60,-65.94577649341045,40.53379672126641,53.39520722058198
61,-38.70349883757796,49.948612835075004,61.46134540243679
62,-18.151411091874603,38.74480778686332,66.474553135501
63,-24.6607200451991,26.55271014798391,52.87563373506112
64,-54.93141049662351,46.88904157210598,40.38300711135319
65,-33.820421677707635,52.88130683307552,50.14376698159197
66,-39.946580265247626,43.9890953589839,24.160598645240015
67,-45.35949514487602,62.941395025970145,63.631178237017004
68,-57.55714737202996,47.9276506016691,53.416488673051546
69,-43.76099281123987,53.61436684700632,43.07216300962173
70,-26.86902296456616,39.1514539632735,47.63425213596662
71,-55.789219527422816,54.852701367097275,48.848674052240554
72,-34.29225399009012,42.42531043364366,62.87790711063884
73,-45.24547213906357,55.07493091516693,57.080638235703624
74,-47.362165972386016,58.30973763679337,56.70132357113712
75,-19.483255207505106,48.14133457000758,32.286968925003244
