unit_id,ProductTiter,BrothTurbidity,DissolvedOxygen,FeedWaterFlowRate,do_chelator_dosing
0,66.21665671498646,2.2748079768417657,70.86959496687474,55.60474106904479,60.0
1,61.69074383747698,0.2825283856168772,58.13808864593413,25.225810474471302,60.0
2,71.52409232730213,-5.716461189628484,71.06138039576726,47.92229873538556,60.0
3,64.37604298061102,-18.22223797180245,54.94458780543747,48.59698818202984,60.0
4,64.13345703010421,23.501916889318146,56.800568582233595,47.581402273426846,60.0
5,54.40335635714936,19.68471286234289,37.69153898377499,38.50062757821517,60.0
6,53.2547886915972,26.23574433646465,39.21294107759828,42.251007458511424,60.0
7,55.53964311001412,5.238946063096018,49.17408404848084,52.12533985254762,60.0
8,61.463961108786904,19.34445825712941,52.09451850749885,41.78341481284696,60.0
9,60.19241658651454,-3.7418050128972604,51.92781799224429,33.443444842238996,60.0
10,56.27276804198874,13.317587120870856,51.75011431522927,38.199983707523856,60.0
11,63.06289679476415,5.135403256730693,59.80308944988595,41.09673368921251,60.0
12,71.45917598881692,16.90798835434039,71.87842287652231,37.425716272484394,60.0
13,56.21590716205562,-11.93948390718781,39.64246190157559,35.13867745253681,60.0
14,66.98580121069064,16.74170958544017,55.4672061978033,39.561964960211846,60.0
15,74.80351728071047,-17.7399033085695,71.62392756884826,38.15828020147664,60.0
16,61.211274941405094,-6.282744067942981,57.53826790064958,48.10414519863816,60.0
17,61.98256676983312,6.2168710018451225,52.03662497893909,30.49184672131094,60.0
18,71.74354723998907,14.881846116398133,63.23423331390033,35.23306767901858,60.0
19,68.04157113808958,-4.98714110584218,64.41000703252536,36.927557326423106,60.0
20,80.15442262413073,16.18447883282386,68.48335688063258,36.91331926553846,60.0
21,56.21593266115679,-12.833775803081377,47.1097809449141,34.250322174666344,60.0
22,72.26394327898993,16.260219013165106,77.47037320832813,52.16538296473465,60.0
23,57.55207915142039,40.32642264261332,53.57810614601674,52.111167439955715,60.0
24,71.84626602818737,-9.725543539948136,82.34489492098896,37.70739050425168,60.0
25,69.57745327381043,-21.851920498809843,66.99280504128484,48.76968753310063,60.0
26,65.24099717161828,-16.199986101781885,55.535854820052734,32.349370538051566,60.0
27,57.347893914877154,16.387223721562492,47.510023980321584,38.884141582922844,60.0
28,63.77496284524237,20.32371338723788,56.69663207808414,40.29602302128316,60.0
29,61.22411044642857,-0.9650746382250261,48.5726548853128,30.425136856690376,60.0
30,57.503229107710254,23.849722267160967,48.53244278705495,50.537620879296746,60.0
31,62.05949930302518,-1.2769749194905282,58.755802796965625,41.25181590362843,60.0
32,62.47376775109927,-15.381916050978882,51.11441378062786,45.220746176408475,60.0
33,65.56253443160811,-1.0516012656766769,39.46427282005808,28.505329533688148,60.0
34,70.09814153560903,10.393112974664602,63.098902286230576,40.38508142334566,60.0
35,66.99500959172839,9.766786277594418,64.8258357035307,37.553936296923645,60.0
36,74.44478158413227,-11.7844615088421,59.878412519978156,40.984928471675104,60.0
37,73.2088721186086,-5.004177631496831,79.82865903791136,41.78176093731939,60.0
