unit_id,ProductTiter,ViableCellDensity,Osmolality,do_FeedWaterFlowRate
0,2.0425482779708624,59.6225364321725,29.164606033769235,10.0
1,39.1702277433395,90.2951838866142,47.157360774029954,10.0
2,8.320333137937665,72.55870490550431,69.26105756765365,10.0
3,7.324332002753895,72.93766101605448,58.09827386516162,10.0
4,7.241997183446365,51.83770783565162,55.94499605853672,10.0
5,-0.723360683348959,52.47068976847864,71.53921271307438,10.0
6,17.78842899149607,78.4295408361045,67.43103524067936,10.0
7,39.166150420931174,88.14960405056769,52.996505918627754,10.0
8,19.177969202975092,65.850154613788,69.53739882507261,10.0
9,3.1118772521049327,59.56633871253931,72.87836678529544,10.0
10,8.965727191745748,72.53160853726735,41.396004509193965,10.0
11,25.474468108267168,80.63528742204879,32.03543272597587,10.0
12,23.261091542659475,66.03978894592969,57.94719586814521,10.0
13,13.276516673648816,76.50714936087567,54.68970296342631,10.0
14,23.046262542459658,80.86353622617199,51.04829202329397,10.0
15,10.965742766275993,62.326346857279425,43.42368386035015,10.0
16,14.505121509540881,63.50363991291475,55.406113367122124,10.0
17,21.822518889457584,88.1141295137866,41.66890378539138,10.0
18,15.10742896576065,82.97277076009973,47.72272176467789,10.0
19,17.745835881761042,69.81496617351344,46.7970613799071,10.0
20,22.78239788064322,73.96523638177446,61.699096412028354,10.0
21,18.09424147766018,70.76075872051257,60.22083825088113,10.0
22,11.486164994279099,76.12261350554992,55.13523455189183,10.0
23,28.706899296007606,63.92818227772314,52.567323700583614,10.0
24,28.449557109773572,95.98300859570136,47.444567759900174,10.0
25,23.626580106972288,76.79864286204868,77.22260288710324,10.0
26,20.40507798264745,77.33027571709243,25.170214124642477,10.0
27,23.111172339029107,92.77275693351656,59.08685889778824,10.0
28,12.653474419814538,63.25886329211195,69.27748646274884,10.0
29,28.843326672612367,84.68892629272297,36.16051188062831,10.0
30,32.85302313187626,90.22312247169074,46.34297906311799,10.0
31,30.56078341842658,85.53881277608953,47.5289053924015,10.0
32,25.712913640282018,73.57155379389417,67.66015721396323,10.0
33,11.139741877919821,76.22012468706497,51.15704376927308,10.0
34,8.739620087941596,72.0542696300321,22.338201601850365,10.0
35,27.87753512048387,75.98382588570458,39.136227151695444,10.0
36,29.01772654181302,88.76542626021947,47.97091437772608,10.0
37,18.364603604571876,81.4733365607714,34.44361745083234,10.0
38,24.04460852497686,77.41201153574978,49.27208630256727,10.0
39,24.73907255140425,71.09533008702007,33.82079284655785,10.0
40,21.77613174251111,83.2016646745983,58.804417436159795,10.0
41,26.385245892715922,88.13624817986091,28.627837894590755,10.0
42,24.80508526847929,94.42032483391043,45.71841481419313,10.0
43,9.656688780670128,59.16602354064707,49.217144180117316,10.0
44,23.008079861280304,81.89831577664748,22.860531801432376,10.0
45,22.776914526100374,85.30903983651882,65.63332513413972,10.0
46,23.253623981544354,84.52640167518898,60.34170128982078,10.0
47,16.32092210992107,64.14756305790912,52.12354817243428,10.0
48,22.134715486722296,80.23741280685208,37.214121556729005,10.0
49,24.109950243009596,74.12840135933348,43.23061997474489,10.0
50,25.42919057037639,83.48297120401092,40.765666914362434,10.0
51,34.27961269827729,90.48952842165338,21.625081729485643,10.0
52,14.91167638075521,62.08904696935601,49.07286480713636,10.0
53,22.236984171721414,75.21382377782447,53.252448587337945,10.0
54,16.436421543407956,68.26823421574959,54.91034065206264,10.0
55,11.480585462980562,68.72240822254466,27.07797367091337,10.0
56,0.6210837193290913,63.37495370244893,34.76831538423861,10.0
57,4.208420792287147,56.79997354219085,67.96627680641261,10.0
58,12.135526494907166,72.2176991529041,47.26270712878422,10.0
59,24.668580999165673,77.56585091050904,49.95090225989491,10.0
60,13.02783952916966,67.21247240763087,69.80188206386377,10.0
61,27.851591991845073,89.73860381566035,54.642524962626155,10.0
62,34.55858467530755,93.60850532044458,41.44074477605359,10.0
63,25.83196852803528,82.15030513381713,42.01261754155195,10.0
64,16.911787556424752,77.50175345025056,54.35889296644964,10.0
65,10.26186303673653,69.82035538893014,50.76477900470654,10.0
66,17.479927594278287,80.14640782052378,32.083519642873064,10.0
67,23.939271095267603,89.74083012812369,71.6268387754768,10.0
68,6.628294562031455,62.450189830306996,60.517410327529824,10.0
69,-5.682301001039739,55.08632701330161,37.30946881719243,10.0
70,18.506751736645292,72.28614236232083,34.86512409522396,10.0
71,11.287166520987947,61.621622162316164,58.50831983076461,10.0
72,9.611800483178335,68.17669646181474,27.684727620522413,10.0
73,19.516702614301995,84.83685755680096,60.23529740969239,10.0
74,16.531705116928052,77.9850021468826,67.45982732988848,10.0
75,33.886606357006144,90.4659153825577,51.30850586325282,10.0
76,15.884019843094661,67.81532563693175,76.60699460628834,10.0
77,19.918487539502742,77.66613881705352,56.37043244371542,10.0
78,9.03076357162595,55.75851936972801,54.489088026141644,10.0
79,31.148041813716183,75.91307994678967,55.78028852684373,10.0
80,11.316929228156585,65.78522984522637,34.133424434235515,10.0
81,18.143573528745648,78.20736316683427,41.468342149160584,10.0
82,15.746800003332424,63.13590566910574,46.387215773163405,10.0
83,18.756000362736327,76.73085401693818,40.8881380393299,10.0
84,27.885913443572083,86.62079951360005,42.69341808663374,10.0
85,17.762536356993465,66.01755507699022,48.138796765953714,10.0
86,40.56500515433618,101.85830276217469,46.38321530404549,10.0
87,35.96127549633457,67.10057530316212,52.027452431800754,10.0
88,11.664631584242347,62.74118261712151,46.3086663949874,10.0
89,27.947878447246154,88.45258003364982,76.05720661967561,10.0
90,18.223299602374357,70.12287969247119,47.81402176259671,10.0
91,36.34457260424139,103.18321153256781,58.51128689458847,10.0
92,22.20481782429973,73.03561474988138,32.804506621319305,10.0
93,18.221563203679246,73.98007700314972,39.97149651313077,10.0
94,35.510101869625245,89.40404465259334,46.700568484187094,10.0
95,13.447843948659823,69.14635144527293,34.73407062030985,10.0
96,20.155194193531404,67.91915461305258,51.42569911158934,10.0
97,16.812646816203653,63.59322004143373,54.68305921244861,10.0
98,27.432568086228965,84.31767417283602,59.44343902750245,10.0
99,22.28373929037085,80.31692876408786,35.909330375455085,10.0
100,23.999209793841622,89.1105781797758,57.112607637147256,10.0
101,17.37885683974945,60.354957516224054,55.771733074669,10.0
102,14.569314009129041,61.20903385128452,28.832839819824912,10.0
103,-0.023172261230282487,64.82065304344843,51.587675220837,10.0
104,24.173574411595464,82.42254475120053,66.76905437290215,10.0
105,23.241306257659897,72.03243055477047,38.9801306648432,10.0
106,35.461507027834145,81.01213441950402,60.56864755945191,10.0
107,18.111968493338615,53.704890881436654,57.86484440360058,10.0
108,6.545532655185856,76.00377918341702,52.75147795944525,10.0
109,20.727622434829875,61.42474965774904,40.992226954561694,10.0
110,19.5704914721735,72.7927220639331,52.62672539196226,10.0
111,27.841976945498338,84.5142519467049,69.28187927776969,10.0
112,11.396134383332988,68.28782702276705,50.83061265298059,10.0
113,11.772442546844314,62.38546975958532,29.562751656626304,10.0
114,21.838349928126675,99.39675479847723,39.6695644596557,10.0
115,29.613381714212583,95.66164562169249,56.260380280605425,10.0
116,19.835271199493114,62.80046377650092,50.4119568531712,10.0
117,25.737524538613872,84.98409584587534,53.2345785392179,10.0
118,16.62187987679962,69.60805048903156,31.096244258856395,10.0
119,13.317917697777329,81.91572045727267,66.34526904893364,10.0
120,23.787886441597156,87.90274124459256,75.74725864434195,10.0
121,15.906583369465487,64.8096649465632,36.24682059964046,10.0
122,19.64874072585277,73.15666312283531,65.5280355480735,10.0
123,25.580725198092257,81.89781836915277,42.68333652166463,10.0
