unit_id,ProductTiter,ViableCellDensity,CO2Level,Osmolality,do_FeedWaterFlowRate
0,-23.050916616913902,73.45526296540878,61.79832603424989,48.24833192805579,80.0
1,-25.018376443588124,58.53243750038425,59.08219343009216,55.68261642215951,80.0
2,-25.911714634303067,63.904698807419805,52.60380919221072,58.2014266200574,80.0
3,-34.98914774929065,63.30340168206772,47.568987706594,56.18612715390878,80.0
4,-22.979708214844518,63.49626957003873,58.09354180206613,58.925400528638576,80.0
5,-20.805375168973633,66.97686377675917,53.67803146091628,38.15564489164092,80.0
6,-21.426783365492234,75.12284941433353,57.991253627976015,48.35767508179743,80.0
7,-27.84783425822879,82.76337465329243,51.983895943192174,49.97654251815014,80.0
8,8.752731941279109,76.24717444602541,50.48723225848202,41.61650339827571,80.0
9,-20.78608663121849,76.04287670330258,34.05835475758885,43.78302591681419,80.0
10,-30.431203803304985,61.288853671881796,37.67164026784389,62.916492199688534,80.0
11,-5.282699950220664,92.29341713953282,70.01251899289804,39.10765298235364,80.0
12,-19.966645848760276,72.22205249691304,41.310773535653254,48.41760978236832,80.0
13,2.1278741202242277,84.68561845901249,54.15933243038964,52.324043823535725,80.0
14,-4.399836685958115,63.84693867769342,50.26895465182516,65.15097814874751,80.0
15,-36.23688053548834,54.42765120170801,50.988019853709126,65.45088913116963,80.0
16,-26.20627792187907,67.61287700188262,56.17543619779724,43.28056174012979,80.0
17,-28.409005607903243,65.95684467652694,53.34947976971351,66.03180289266811,80.0
18,-25.250292661573017,72.19956341653467,41.028358736771665,57.024359979974605,80.0
19,-14.092019933831788,63.501887645905484,47.698949818867916,42.51507841151038,80.0
20,-18.51880299087067,76.54388125227909,48.67981639095417,54.63911208433188,80.0
21,-28.633939707290686,58.60259452290816,60.34181034200263,46.87454515970324,80.0
22,-1.2519019292602493,85.26411429096369,31.27862768412249,47.64243604099336,80.0
23,-23.39455458827607,79.09504428463678,46.971001928450946,40.36171721408377,80.0
24,-19.241355820234126,74.40854848594915,47.21771953788111,55.83950664166701,80.0
25,-14.057648497669216,83.9719070875073,51.719076879895816,49.925145472429236,80.0
26,-30.03104710678035,63.65920123859238,52.91476275777666,39.900600195186236,80.0
27,-27.498592296568273,61.82253406537914,43.004385870009926,54.2668287820344,80.0
