unit_id,ProductTiter,CO2Level,pH,ViableCellDensity,Osmolality,do_FeedWaterFlowRate
0,30.27761797035474,53.93146268076554,33.53082974462209,75.12778984668705,59.42906206362368,0.0
1,23.249608718390714,43.79601668155649,45.938155212102885,63.25234479843326,39.95094924629612,0.0
2,26.905801002353478,48.04808667599468,47.793994652013836,62.11970113612427,51.789094947971414,0.0
3,31.703606874604922,55.295537555745184,63.401081257581126,79.781669148333,38.23305734321772,0.0
4,25.61548903563017,65.00014532474613,41.85052263976411,68.97885462787661,31.016440090585906,0.0
5,30.507773955516637,39.45263498305298,49.03754035182136,73.05886042262968,57.664409738433186,0.0
6,30.364547530019003,39.92480955427378,44.565809278976424,77.20754406567865,61.414579725134665,0.0
7,24.798050817557122,58.133273470951586,55.41243336327328,70.85664199205024,47.65854400516807,0.0
8,28.042529698666073,55.91157289654299,55.581982429660435,66.1899155499249,50.31704548288749,0.0
9,33.64047356513699,36.268592213773374,55.3208619533344,80.37361613897454,38.7663085694004,0.0
10,30.639054447844455,53.20992728305616,58.70626385426479,79.97923157734557,63.49130880929975,0.0
11,30.064769726814987,34.103573319922326,40.01170551011807,68.37977130994194,37.964155843705555,0.0
12,35.25563052526939,67.67462721715195,32.377572375700765,83.77742614967215,56.038683250023865,0.0
13,22.091505636472032,52.21374039276211,45.352704348237225,52.403449846780205,63.85919580735439,0.0
14,30.839920307533262,19.330817673592062,65.90550917866125,82.65196569602556,66.0395049261223,0.0
15,23.16760753035513,36.52566271143833,65.89229220022533,59.69160193195995,32.96817486344475,0.0
16,34.42867390928009,32.75039189239384,42.190201051642106,77.50493705637189,56.224785379078725,0.0
17,26.140343902278232,35.50815306815361,47.089841831445845,68.94728143418818,44.90843687810909,0.0
18,24.975836575146555,44.166477641017615,43.457887854755214,72.08190242921381,54.21422919426672,0.0
19,23.292351828513993,53.94758378015895,37.8011214534306,69.42949666103468,57.83038974114764,0.0
20,40.41398980746648,42.061032200889336,54.50421070856702,91.6266765402086,63.43058085146107,0.0
21,35.0371219676467,69.90419334165001,61.811201866534574,76.74848724855018,76.19377508239835,0.0
22,24.240358606034828,34.279039452346986,66.40779586385003,60.808351532583124,41.752333589175976,0.0
23,29.66714422868102,31.16361526600103,55.757798834941944,74.20147261783983,58.61095298412307,0.0
24,49.77861937140865,44.092012519508984,56.573103853959054,101.0995902036797,50.259414737770626,0.0
25,26.71560553421867,31.593824702596073,61.80856868073501,75.33897775805367,56.15211277237326,0.0
26,24.369582695290458,57.65214171640384,63.23667328259841,78.56362324096486,56.48134005356861,0.0
27,27.120211647579154,42.29408935196382,42.99721516965989,73.36138390011375,51.6162986254571,0.0
28,25.698812776744067,36.952704805017426,39.57184435650004,70.62526584100969,52.43447655239643,0.0
29,29.482677012977646,46.95063016951949,75.64820029313205,67.1691621018072,53.20954962517107,0.0
30,42.10725686691917,42.464002896557574,54.40668747913484,96.61773576313693,23.883771860564103,0.0
31,36.43402339524514,52.71082297949733,47.34588941401455,82.41946858898537,54.10415454926874,0.0
32,34.083131468634846,51.85272739847121,50.501174900720116,91.06943731797486,44.01592057996068,0.0
33,37.422045199590386,53.24722394585294,31.849679942550672,96.81027678928695,69.90916784554119,0.0
34,22.800336557802144,72.77948299010367,55.54577439120093,69.89177595068601,41.09806463127917,0.0
35,23.74998682238057,34.41360069272346,38.18526789053375,63.69752747649472,44.31023818780646,0.0
36,33.153480286068145,46.928654646940046,52.98447912929748,85.48775273155495,35.12967823953943,0.0
37,29.66414102460269,25.037860244332407,51.97241217266778,78.3331671703159,66.04348581087561,0.0
38,20.076088896981094,50.212892062904906,53.51235646614329,57.79441692469373,51.62446473577916,0.0
39,38.532047959687574,65.13114611597723,44.01906810219795,80.83854894628253,66.68293494563282,0.0
40,24.07920948941722,45.25336807717127,50.19704960080017,69.02439261756263,45.201614554937024,0.0
41,34.43359827414309,73.33325086305472,34.51670258345904,95.18912767396147,57.82603130951553,0.0
42,20.338477679560356,46.8581565690768,41.410709729335544,66.54876776990722,54.728913411574915,0.0
43,38.21287008748395,66.81499077414506,30.093138913140457,86.21858843363381,45.410180282310975,0.0
44,28.29149452076915,20.21046996024333,37.14824235111986,63.56557991073904,50.959130028257015,0.0
45,25.162304602190368,53.87042923882357,47.207951361943536,57.4743113857186,50.29544127446279,0.0
46,39.70088883974324,55.23573903557944,34.78959359102101,86.94901579486239,57.75928916374075,0.0
47,26.37970819077379,57.0745768008212,44.035006965024444,69.93383241629871,74.63880013409504,0.0
48,37.6415709123631,61.44118409845025,64.00480965438219,80.87128956754414,52.46723939067548,0.0
49,35.0866151238985,37.156193072479425,47.97060541754269,88.67389440542459,56.32796328686985,0.0
50,26.828246124823384,45.391548457986225,50.85287179034772,65.09933243014169,47.99172167090729,0.0
51,34.05110162080552,38.744489100957765,56.24515794611732,74.18210635033157,45.36338695833485,0.0
52,34.06740895085615,48.49261981014784,66.64987671137722,80.38950218031154,45.44305460204464,0.0
53,32.15907758807277,26.508289367565244,53.31606846170338,69.5891422425534,62.822954752762556,0.0
54,35.58746053079295,60.191880848537444,33.26807158874848,80.08100080230318,50.01902540413295,0.0
55,28.664264324120836,50.05273621035201,43.23018110714992,78.84147211095743,50.22949849261559,0.0
56,31.804469915115117,45.168917204678316,64.83313549812398,81.12836821923632,55.20481478053884,0.0
57,30.138576013669706,53.05871151009693,40.37085093571256,82.25390204789606,44.51391693422299,0.0
58,27.50442625702828,48.46587238152465,51.70828055113564,69.80371444173271,52.32405283429742,0.0
59,36.665556142873996,52.605595754780445,48.54864681057148,87.67632203516719,51.90514911772668,0.0
60,30.354193126773925,43.36557977111385,51.39074302878698,71.77782073855148,45.78843937337363,0.0
61,34.533153084026914,49.713067899595494,53.70656892545839,85.20446757233952,53.32313589800829,0.0
62,28.745751835229903,28.209880698145348,67.9820052275135,82.90510101452237,65.00962081953395,0.0
63,28.68268821194752,69.32520002212955,54.46410062514361,66.24714531341324,45.85450130196525,0.0
64,22.201966793061217,45.377543799937385,33.12871826821019,65.66982055685969,40.59060806609975,0.0
65,33.89943319371955,40.55964928597677,55.13528745886387,86.47566500410956,50.00726194600844,0.0
66,19.938706650268713,50.21622441337602,39.82903969039547,64.1599179528641,44.19719357720648,0.0
67,26.620468691990617,50.24355628436578,37.33364426318315,65.32805454255032,90.50610085852263,0.0
68,22.23751728722065,33.80175514929408,36.039114270936004,59.40624140582525,60.46264685876876,0.0
69,39.06386265713472,56.81360670931198,42.302374026152094,91.74480433086575,31.481602625434146,0.0
70,23.531723282315802,60.58682533102115,50.10191585953918,72.03742150838036,42.99599689607705,0.0
71,33.97647188195913,42.03788294142214,57.113214420564134,77.31201497482073,52.014928682112654,0.0
72,40.991425589843985,52.910983377244044,33.26444918804592,92.31967504481538,26.419103155975716,0.0
73,31.949279180271226,37.31375931884509,39.79851267879765,70.75538450551485,55.82063011145799,0.0
74,29.608578196920703,34.196105482002565,15.824794570075786,70.5565677537165,40.617107972786584,0.0
