unit_id,ProductTiter,ViableCellDensity,CO2Level,FeedWaterFlowRate,Osmolality,do_FeedWaterFlowRate
0,10.98604446407607,69.04676931854192,22.388614661616884,20.199158543775724,51.74385497368165,20.0
1,10.088946043635442,67.92053067696096,62.1397010945579,23.359279515063776,59.24607431291033,20.0
2,-2.6261273950270088,62.646857348941566,43.93731382786751,15.489159545166277,51.9186997041015,20.0
3,11.810623035326671,72.758794155448,61.64572502331877,27.459609583075643,39.3077444732124,20.0
4,-8.695247154386664,78.65457011741438,52.20755628324204,18.228760812736724,54.32134543819247,20.0
5,-0.4587192282674104,91.58591258344478,61.037467638628975,18.186600151499775,36.82459471686137,20.0
6,-0.23712903813864972,67.8797321488198,53.10581591361913,20.923661741987246,37.20142294830519,20.0
7,6.432765673135357,69.89415471769746,60.332970752098895,25.556596563135994,47.15995094249571,20.0
8,-6.904730011009059,70.88224436707821,48.24987553590319,14.73929054237766,51.01095911139176,20.0
9,4.712039201459763,57.90006018746184,36.11386977761348,21.45412349065888,57.75705181067005,20.0
10,7.679634093833782,84.55230238377723,59.65570284761918,17.683605488018117,55.61012859310763,20.0
11,3.659046537509109,55.58299718011824,35.81212416533938,18.815521532529768,46.95379401359575,20.0
12,3.1296192881649487,76.92144890686711,52.376997959834945,19.125409077989964,49.86651653002083,20.0
13,16.068759720778065,78.39188961201019,47.15127232878921,22.911713009420538,55.792097249614464,20.0
14,7.410928381608412,81.28326796250353,40.673890896239534,20.76049966642918,42.066521094830065,20.0
15,15.329639950163092,87.69158571160608,35.924820093515,25.678084801450517,46.36948790865405,20.0
16,1.216233627033985,64.69018874476322,61.965007763746534,17.194345945713955,56.897604367856886,20.0
17,0.308592434782072,77.87912504325001,54.45104843710083,24.301733223578392,53.603525967131176,20.0
18,13.323259005599681,94.42654775283108,50.77939780323355,18.439056624549387,46.75662338096982,20.0
19,0.06619817774626657,69.3982570559301,29.26775581351549,19.144594146282095,48.861327505466306,20.0
20,0.98474237795647,67.46523655369579,34.58692187430448,18.547006657818397,51.53205481782508,20.0
21,7.559488641937165,70.02364269543709,40.46133079427343,19.446345450245143,52.79291027405319,20.0
22,7.6918979317676435,44.8909598105784,45.97216938645777,21.29774052149305,38.53548535005566,20.0
23,17.374301104982212,108.91352035601905,68.16103525499403,21.968555792925876,43.614397526274225,20.0
24,-4.316836952249383,81.01175410232864,58.353213642103015,16.605212686570503,38.19875701450425,20.0
25,10.55599966764574,90.15318285502549,51.17577692506916,17.536204009735783,39.52804101815836,20.0
26,-9.227675468532848,75.58857045636671,24.124041824397988,21.332505764182947,42.30246815912338,20.0
27,26.778565148845743,73.76275873479929,40.93440992041075,21.551589960087217,33.57047120268545,20.0
28,-10.165095852643866,74.67174764512538,31.88070165895665,19.838959644473075,35.006930274509195,20.0
29,2.38488783500281,80.65889651921307,61.3682918655863,21.293910222210435,29.154844996283597,20.0
30,-1.6832186541101164,57.460480204268784,52.48377923948183,17.474045160940342,49.58951837377674,20.0
31,4.231785140138632,64.77900958319773,62.23996396461198,18.83377349195414,73.77608999571774,20.0
32,-4.894814512138868,81.8532743351793,47.788715100304856,18.95355939092864,42.869423453628336,20.0
33,-9.123041336731898,64.42053845987682,45.42311559708093,18.101385426665725,61.6380194427683,20.0
34,-19.580482066442848,41.15524372302593,41.520873219249694,23.204373091393606,41.31962706562198,20.0
35,-11.473121138992916,51.53621177384932,63.93172334519553,16.676314565008045,48.6241230926386,20.0
36,3.1105080578203337,63.7649681347477,40.74623466243776,21.37862524254331,83.11216168590329,20.0
37,-11.768164712615746,66.07828737064884,40.20340335741854,19.083699182537803,31.938426282965395,20.0
38,-4.344289206992136,68.46185381019869,38.66233762496461,21.337844457224804,51.10463899353,20.0
39,20.57935440346468,76.74813367365536,45.86146994180836,16.924416338080277,55.66722459879352,20.0
