unit_id,HumidityFab,SlurryConcentration,EtchPower
0,75.13860922974234,50.28090987183671,93.48946854150287
1,60.17833435695137,56.24081384904292,52.479119829531975
2,50.66538780439197,38.89202496054021,59.26409096026573
3,35.3218974517983,46.560405026675475,95.25295818458909
4,51.17124723520489,56.09633657965748,55.98632439171683
5,64.0781846985999,49.288263207831264,96.9298526897753
6,32.487943990535946,45.248424418857084,32.54906396899018
7,53.415511621772275,36.43357924462769,37.948594156636254
8,55.109499698805955,59.854846880521755,58.354486019560674
9,71.34304525329502,69.92424847656949,23.303299810616647
10,50.49878935066883,29.946979632710498,59.16839413687658
11,55.54597288463205,39.650409436493355,91.7981303052864
12,62.07779724959142,49.872740235338,69.55912222431076
13,45.02797324832222,39.378191648156715,54.84768911497979
14,38.685122550930096,58.913401591717374,58.77582542328663
15,30.652766846611282,46.06832430116634,53.79973467808832
16,60.106273992994424,56.559318460084086,55.061534212284904
17,48.39365665836976,40.72610214013347,40.47828639428451
18,43.10996812975714,62.38469689034309,65.64768578285825
19,51.81256717393118,74.38443492710122,41.0819710370487
20,65.4572550167143,64.8721761102121,51.881765963760984
21,40.59776379655834,50.24057414552412,87.28354053028352
22,37.76562787212419,59.21025046808489,40.60503630661047
23,61.29050619181887,47.51524449914586,70.96565146032553
24,61.98411493194115,65.74152494763422,51.61646590770496
25,46.361376538642,38.07977079343341,40.07191958526089
26,43.7032956962822,31.419691531552623,44.25239684381248
27,47.103379757188605,77.69958752545618,85.64564662964764
28,48.44447603054274,33.736549069845985,33.77801390272803
29,56.52541894205517,56.84495399389476,41.26349851946265
30,48.60307479121228,64.25436670978762,52.13522579696424
31,53.759076513006214,63.8117679308391,53.75870100975614
32,57.477757062415705,42.475449247679194,55.838899079669076
33,47.004924414284524,49.691984602337776,108.12021371921891
34,44.19316569268757,46.881281150968086,115.69268129666733
35,45.04870752163629,40.453121693225704,54.7908798721235
36,39.002639725279295,41.84374354715881,67.31872704587691
37,49.278380020313435,62.745885843602714,89.13359825885516
38,54.325436881068505,53.79887095373213,87.77555678211635
39,50.215751818082325,40.57021227350373,99.8978625671863
40,65.92027106504615,57.07342388723159,41.63925612427774
41,32.864692588592675,40.194030530620005,31.128894414696926
42,57.14012372040422,61.755004980925136,86.5251354887504
43,62.60693266996557,72.0231788393999,61.714060808865845
44,57.02296468044757,63.55101861586615,95.91668162796623
45,40.844775851879604,49.29897314221029,58.965666556665994
46,56.38271550785218,59.4342437392664,80.78097582247564
47,70.5205871097631,49.74671823354978,68.60706549299869
48,51.46789207227435,59.096609309198215,84.27741984865729
49,40.045570813285345,44.06359812292954,52.28048658269306
50,42.35861537897492,50.18890346362875,31.96183256685568
51,43.0390474223694,44.481817545886706,79.75315351910338
52,60.16561863768374,48.784901931954046,31.309798386989282
53,47.9108441275765,67.49823057632176,64.77155886543382
54,48.325484596502505,47.9614696289201,38.47865768546535
55,63.73977883538823,57.792727202939545,66.80884519520015
56,51.05983468783633,46.25856746376576,32.28535651236812
57,28.170639548859338,68.84067869248165,87.83004211445447
58,58.753550858783086,51.08192654920532,33.22944305224961
59,41.91654681843437,51.441760700259124,93.97148899733642
