unit_id,WaferYield,EtchPower,HumidityFab,SlurryConcentration,do_EtchPower
0,-9.860826640037967,68.91366933624248,49.51894070206326,46.84278983292043,75.0
1,3.181908667061883,72.07940154997037,59.86351935335288,61.46658487377262,75.0
2,3.4477144319166975,72.52965550162095,48.32548059858982,40.46475754980334,75.0
3,-1.6224422058575803,69.61090664816113,52.839125074655314,56.660458806251896,75.0
4,7.901000170015788,79.04677584341918,74.67056515303435,62.043885711252166,75.0
5,3.1297475802475123,78.78736403087916,47.18801290741226,56.26339446303936,75.0
6,11.411968601248814,76.01056449175115,49.2727518671329,39.40427000397767,75.0
7,14.15323054368779,76.73382402576458,75.60628858348211,64.04625152549113,75.0
8,6.92020591544315,74.13953603718043,67.076996373572,72.3429809348452,75.0
9,-5.020178613336334,74.90766980648917,55.1373347224991,54.063325081029156,75.0
10,27.193828896401225,70.45643641527059,48.95994798681876,49.91779162391118,75.0
11,-3.35615133606982,72.58026271933205,54.92029885419886,45.27475759391905,75.0
12,-6.69621256897678,74.01154010452704,36.85653856984831,32.43247464658541,75.0
13,5.296802015196276,69.77279367832571,50.72385039404651,31.106777666842117,75.0
14,-2.856767457213077,74.30129547149993,39.840674164594716,69.98226020743967,75.0
15,-8.698001272279992,79.11563143180761,30.94854690446475,66.1352463101101,75.0
16,1.4197208163148098,72.89901860419747,52.67339077021874,49.13596137099859,75.0
17,7.129909176979695,70.26758794566824,57.84232078880661,58.684981515517094,75.0
18,0.4024500646859712,78.75868665513049,55.74529686561818,40.993389186191436,75.0
19,14.139195612891971,77.04913003244171,33.37441691298754,48.95123747072577,75.0
20,1.681681439909308,75.34223194759842,44.54054584886827,50.941606969752655,75.0
21,5.078645405995992,78.0542693516799,62.24659377429038,34.54122257144903,75.0
22,20.541026594671354,71.99295930456108,40.0723051720017,54.1592527678358,75.0
23,24.188525146237268,74.21820084097739,48.288825221982194,23.98796579449798,75.0
24,-1.9857052510123347,81.245156381396,40.835394553980855,44.9223070112183,75.0
25,5.740443701265709,75.29266355668469,60.38295378043133,42.42518714517476,75.0
26,-25.10965355882805,75.81635821142561,34.89634059468062,59.40567372879131,75.0
27,28.094944816338423,73.46657610787746,45.02769291585683,43.51425746614967,75.0
28,-29.825420117891255,77.64516703846488,37.74840191362084,55.19518865541102,75.0
29,5.41965223994947,76.78664716693615,58.56340026244639,44.854534578050725,75.0
30,10.61144689190971,77.0209655207296,31.038368635614265,62.850566092149556,75.0
31,9.929943721712435,74.73531483676791,39.57966148332748,36.825475085797066,75.0
32,3.61348878237607,77.59903797049131,48.98957503490394,46.66444905583539,75.0
33,-16.925803517757412,73.42683086256203,52.73937808955783,63.43837861956017,75.0
34,-5.417956340595376,71.11347911830623,46.83720568478785,41.24151464834657,75.0
35,-16.18631738567706,74.28673766462961,59.78277093922567,66.3703329922029,75.0
36,-9.546408018691967,70.59301858214819,60.5166687109945,54.80212826996361,75.0
37,3.7745587184979983,75.23262783306201,50.884544685226274,71.71014517607306,75.0
38,-1.3176598190702176,72.5688193817878,66.3063330171438,59.71487418662032,75.0
39,-1.8483160267959917,72.18669143416547,34.66200999695146,45.36716744710904,75.0
40,-1.3596424642982383,72.83138022826239,63.88604621988204,65.43776847773792,75.0
41,-5.4621491635289505,80.32830253767787,42.163599938938205,42.618594835619334,75.0
42,7.173571128500643,81.0492699467589,50.50581733456278,65.27525770148536,75.0
43,-7.961431616988933,74.89028840482494,54.724207169385465,41.23270620837565,75.0
44,23.10469438714486,76.7741563594888,39.11303683050316,58.69784937190176,75.0
45,-3.768136774340828,75.43695249095911,63.72657178527168,43.456571976121154,75.0
46,-5.425817225276612,75.5771900531073,57.10690663937183,73.73420621902997,75.0
47,-8.70708356788567,76.23284021814429,49.34991081069907,52.69025334721957,75.0
48,6.427154738570674,75.94323144381981,70.43099748027969,46.23359180381316,75.0
49,8.337933804779487,83.2753396250252,34.88304547203627,39.68280916162618,75.0
50,19.343595747705937,75.00723576522165,52.02021911090578,35.38492298578273,75.0
51,-11.317153067432324,74.40236812023957,65.77342215252449,56.95853336373911,75.0
52,1.6482164770568568,77.91215237733635,42.58761556396729,33.40078519689091,75.0
53,9.526618547672859,71.23415082476377,61.427662890112266,28.819161004654788,75.0
54,6.108020294692311,75.99361198818279,56.55569794422036,44.38438189405863,75.0
55,-5.49010018633567,82.40994360423055,46.08906017972587,55.16059640190046,75.0
56,39.32903579582938,75.30214184265508,30.129086791381916,61.422755100017284,75.0
57,-1.4425417416727337,72.12461654033376,57.67452048199169,43.87531350237711,75.0
58,-6.247296708483648,69.26508168662409,70.55079673910967,36.95764921675381,75.0
59,-3.450134627872092,78.36165442921525,37.535175784026634,69.66342940520745,75.0
