unit_id,WaferYield,do_set_GasFlowArgon
0,1.0192364335443007,82.0
1,9.171706948685449,82.0
2,-7.742084986739429,82.0
3,10.072958018782309,82.0
4,57.860929780960845,82.0
5,2.896804129418898,82.0
6,5.8587252826911165,82.0
7,-0.6050897254171226,82.0
8,12.881159596560694,82.0
9,12.09203864432287,82.0
10,17.196836186117295,82.0
11,11.303646775588987,82.0
12,9.036221753961485,82.0
13,27.46563294401514,82.0
14,-0.893853543859457,82.0
15,2.8127500602840123,82.0
16,-7.584559166811064,82.0
17,-1.0146610336187225,82.0
18,3.4215479044148664,82.0
19,9.89419408586092,82.0
20,3.441960842489487,82.0
21,-7.32573747809502,82.0
22,6.953404462852529,82.0
23,15.590045540593508,82.0
24,9.708595755643202,82.0
25,14.552658778417081,82.0
26,8.27612904417641,82.0
27,4.412279129188931,82.0
28,-5.083133540776705,82.0
29,4.59403937783917,82.0
30,4.978439377535362,82.0
31,20.14368604316012,82.0
32,6.522633621358517,82.0
33,9.211942069650139,82.0
34,-10.253294276396357,82.0
35,17.818007478432058,82.0
36,-1.2498655099576261,82.0
37,14.369114415610351,82.0
38,5.543282529167385,82.0
39,0.31053545349664,82.0
40,3.4314963287450744,82.0
41,0.7856048766482848,82.0
42,14.120050132802406,82.0
43,4.914353216848342,82.0
44,23.387947882225692,82.0
45,1.1707946118361887,82.0
46,7.591772842301119,82.0
47,5.288567652235632,82.0
48,16.50726634102057,82.0
49,22.23189574577094,82.0
50,7.9365120916268195,82.0
51,3.6105041283574746,82.0
52,18.173522716833396,82.0
53,-7.943113634345751,82.0
54,5.445583947427442,82.0
55,8.83258937115005,82.0
56,16.248300369003427,82.0
57,-3.4028486296469556,82.0
58,-0.8953383104154415,82.0
59,7.417322605255892,82.0
60,5.34606697812828,82.0
61,11.025229898808982,82.0
62,5.560502016881884,82.0
63,5.157139694991444,82.0
64,1.6201855093435524,82.0
65,32.6023829667557,82.0
66,10.012178381329866,82.0
67,6.598576316391141,82.0
68,9.535155212401607,82.0
69,2.8375922826629045,82.0
70,17.14279129180789,82.0
71,21.140991288090905,82.0
72,4.0911653830895744,82.0
73,4.9123049233973735,82.0
74,11.287469491781348,82.0
75,12.218048485248906,82.0
76,15.80472181520263,82.0
77,-4.024523095779004,82.0
78,-3.3517270840424453,82.0
79,17.339848830000783,82.0
80,19.436903811842377,82.0
81,1.0866893798191979,82.0
82,3.9653219001386235,82.0
83,32.319235644942935,82.0
84,1.3006776080523608,82.0
85,2.4537901537770948,82.0
86,4.977329120204677,82.0
87,3.492516869458842,82.0
88,5.459289737983317,82.0
89,-3.8604838002124797,82.0
90,16.235804166909116,82.0
91,-10.762619178560435,82.0
92,9.356626849615719,82.0
93,-11.97886677050643,82.0
94,8.239171201178062,82.0
95,2.022731650936428,82.0
96,1.7381165431877053,82.0
97,5.742177740635015,82.0
98,12.343128653490428,82.0
99,-7.545365910827715,82.0
100,-3.9926393281619657,82.0
101,6.143740770548773,82.0
102,5.545329557527688,82.0
103,0.2197023478412825,82.0
104,23.315224136139257,82.0
105,23.390262706058458,82.0
106,5.751497788704964,82.0
107,-3.4363515504554156,82.0
108,7.259513345032257,82.0
109,3.214953739849546,82.0
110,1.4420506910314694,82.0
111,12.80559850488827,82.0
112,3.5946278640927463,82.0
113,-5.720256975730624,82.0
114,18.36246185563998,82.0
115,-3.891179478292342,82.0
116,-5.91091050380452,82.0
117,12.16098735019736,82.0
118,9.280887057450727,82.0
119,19.332891387534236,82.0
120,-1.2198224498095414,82.0
121,10.122527451062279,82.0
122,-0.7347811713496055,82.0
123,6.198950411798958,82.0
124,-4.755904433714365,82.0
125,-9.61346513376353,82.0
126,34.073764736543616,82.0
127,4.663501981450862,82.0
128,2.153747634059291,82.0
129,10.3995517738399,82.0
130,-4.2063495580480215,82.0
131,26.10021421017421,82.0
132,16.936609610947514,82.0
133,-0.8164690187346464,82.0
134,-9.709977995700593,82.0
135,4.639746830417958,82.0
136,18.062334430132257,82.0
137,4.0775241561519096,82.0
138,8.194042941051821,82.0
139,-3.20805574343642,82.0
140,-2.390773650137671,82.0
141,-3.8550762591801,82.0
142,23.70696468947234,82.0
143,0.7590363469521035,82.0
144,-7.170366758972206,82.0
145,12.974464542066825,82.0
146,17.986914074125494,82.0
147,24.956157131476456,82.0
148,22.424270767178626,82.0
149,22.034512427383266,82.0
150,7.805236920428937,82.0
151,1.0806984401066995,82.0
152,-5.9400311743993655,82.0
153,-2.5346733169105042,82.0
154,8.538647693608333,82.0
155,13.121348160137147,82.0
156,3.155765702439112,82.0
157,4.639010273193457,82.0
