unit_id,WaferYield,HumidityFab,SlurryConcentration,EtchPower,do_set_GasFlowArgon
0,7.5222084105955505,63.042717088356504,59.176342634854514,55.30373357066465,75.0
1,7.450464502497273,54.990860004860345,55.13405583113701,39.68651967673189,75.0
2,3.6445688239216434,60.563068269347355,42.47766434070445,47.3879105548852,75.0
3,-12.355477649741406,45.868074043068184,53.74661702699728,39.941409287616445,75.0
4,-6.507715768032017,62.47895699608157,50.88041236265194,49.74782485992957,75.0
5,0.3096345514800459,40.48874638227099,36.31778185817252,53.85929216375497,75.0
6,15.376158958845972,52.42064314738713,55.7235849380123,50.66550233356049,75.0
7,0.6738568799197857,28.810110002109816,61.64709190415844,51.3535747258448,75.0
8,27.734547179199307,20.28419589045393,47.34680097484875,21.75491886003319,75.0
9,10.8498835927798,60.947547312034544,43.48360230251299,77.99263424976395,75.0
10,2.096099961548222,41.37232782599014,57.169432995749396,39.965495479447355,75.0
11,1.9676155921670424,54.89438095254187,62.56364858752881,55.047106750982806,75.0
12,-3.0323972045878276,45.53051377805249,28.23832695942669,55.157404750723224,75.0
13,-3.774024069246665,38.518257661362426,31.835722727928555,52.18300429858,75.0
14,-10.900253711050176,48.37215289745984,50.02953198494547,22.68411880048014,75.0
15,-4.791015327981183,50.83799860853137,62.118581788501984,65.05568342471572,75.0
16,9.858763080922772,51.51529751309633,65.64509537543258,53.17501195529671,75.0
17,7.6109008654917005,52.38141094327222,69.54260048960033,51.71808777604772,75.0
18,1.731408969676909,42.83402914960572,35.52084337683515,46.070575070142496,75.0
19,16.58135685506952,39.388761484041936,52.19952189028674,39.43754603183653,75.0
20,15.14917333179681,43.06288960416356,54.20167224370858,75.46473186685733,75.0
21,-3.980247615035923,73.14780250352197,57.57999961239957,36.005798115887686,75.0
22,20.223309604651288,31.880954019460045,47.746522631024334,64.86969091496297,75.0
23,10.64818013919116,53.06233968172398,53.34657354744013,9.623538760641974,75.0
24,9.108007345126412,49.57089352728451,23.39444749001806,58.43866936842723,75.0
25,12.032176379870995,34.07471252964204,49.097852644466215,75.33708274731666,75.0
26,-4.791890376822229,40.79900273405867,50.890272774621245,41.523335503385006,75.0
