unit_id,CO2ppm,DissolvedO2Nutrient,VPD,IrrigationVolume
0,64.91234850316198,39.08562251854545,42.852713981785215,38.327141251753694
1,44.11095405736273,45.930797186141895,48.73014234338112,64.07221428660897
2,83.12700451557036,71.08299918480697,59.5147983519556,49.223904002405924
3,82.24767641191119,49.54201418628563,30.087675268635518,47.64452957952756
4,55.76843467335427,40.3245396289328,71.1645084136103,53.943997954819224
5,23.078363027735655,39.617659309004715,66.17397102895754,40.54339943070647
6,61.382203464925844,55.27716088914351,14.075322223171291,44.69759971511237
7,43.418084077791576,44.07723093527556,33.7842407934308,43.491530790203214
8,47.530101573339074,57.80148770867233,64.4671764046642,77.98100756264918
9,44.90751803713232,61.43231071296248,50.0760466701302,52.96461721559315
10,48.89081649399456,44.51851032953734,79.52836470683432,55.59083842631786
11,63.81974312504508,61.04193401685603,44.08688451997825,55.72944945841664
12,40.732669310709596,31.95274542130494,58.76800431080686,68.14318062117658
13,47.14874554570059,51.02091536695166,46.709456589058696,51.14415475786358
14,70.74466393923431,39.34899318410842,46.88010245672226,40.36286738697805
15,34.82839668723553,26.078741768306234,40.24877972008254,35.06807737273352
16,36.92935319351698,47.503667056914665,66.82985594496459,29.877280620543804
17,57.790553669624956,58.46778209637809,54.033980228517635,39.04773356219219
18,38.57404829080441,34.81217175125463,23.149884878572884,57.67164326793214
19,35.6563947859199,75.71450203286722,37.58803826451123,41.034627971944914
20,50.27685006832843,67.3827713755508,46.4494650109783,64.98839440959104
21,47.04479162541051,26.631980644960212,52.454876756944635,51.213402103258076
22,38.96033940909492,28.396100717991406,45.75762789675348,50.61673506225787
23,53.76658899606204,63.793087895163076,54.83074394970603,53.23830609800944
24,35.48244841646432,58.752834713935634,42.17765002638843,50.05011036472322
25,26.108409362531763,50.635996930507915,45.32086617302778,54.250133584214055
26,49.74346409300611,60.321651897276254,35.33098201241562,43.71883017452369
27,36.38450144914388,64.29351774996535,61.569330600249785,69.68731800185972
28,44.023630671318784,38.07590572670354,83.49572779692845,29.29385063974722
29,67.1718719371275,63.67687731298995,55.54578484939715,50.698642469378164
30,69.9723506508638,52.81226465152188,34.271634038171534,46.784277195580984
31,71.27137357022345,25.792143036341255,42.458455787666864,59.08196854769167
32,38.445562513897144,41.426460592338124,58.76243360012422,44.58839050369207
33,18.19152119946764,76.88180708506113,49.99099133051685,43.30190427268302
34,41.891147550701355,47.7389726843441,44.46252813770338,36.3175348264429
35,21.525979648320327,57.95470989330892,61.389288249467704,50.11302160173456
36,34.806695646288404,47.23681122599755,44.678442747562556,58.37740531457456
37,31.880075883820545,42.32549490502978,19.641395734710436,54.036034804325254
38,58.311550710293055,55.11481893305706,29.25552640782637,37.45008223185695
39,32.87226717722546,48.117601614146814,36.509441845045565,45.08999811647975
40,56.20453257078487,54.28272077932504,30.713349889483897,58.17388761432513
41,40.04302721253592,39.48892841425428,65.74427585625904,46.172318845499284
