unit_id,ConversionEfficiency,EffluentByproduct,ReactorPressure,do_set_FeedMoisture
0,-29.946592060927415,10.198526244669203,78.77783020446729,30.0
1,-45.22151834588554,33.99772234406389,76.6751083557206,30.0
2,-48.338754446120525,41.74750938745333,67.48077664285819,30.0
3,-33.75834792474557,20.475876791835116,82.77110995811209,30.0
4,-58.31944563077498,69.87137568701017,81.4962663584068,30.0
5,-45.93396432228692,66.9759001931049,84.99843968806438,30.0
6,-54.172487791388804,55.165978635217726,71.91100074034676,30.0
7,-48.62224856847223,56.1238119946857,67.92336531067738,30.0
8,-47.766270237392575,50.63301640867637,79.25063794310313,30.0
9,-38.309293303687596,33.13033193418969,55.10096924529621,30.0
10,-72.6783329563567,39.02974401516619,86.99619248594435,30.0
11,-49.61990394573227,26.17065869430713,62.43019001067981,30.0
12,-42.936057468562396,40.55388110144763,78.82508518840879,30.0
13,-38.49604321134179,24.27617700112382,84.65397947493082,30.0
14,-38.87637684933666,41.91422177700808,84.87108649147756,30.0
15,-19.99701760599423,42.64970410472994,87.17392441037852,30.0
16,-41.768372780260236,40.25878779122352,60.68087676741123,30.0
17,-40.84661769957329,37.15081974503755,86.61675196821723,30.0
18,-27.629123502007527,57.696031780986516,84.74846214302713,30.0
19,-55.87959043300767,59.74986018802456,73.05582380664403,30.0
20,-43.19028474049211,48.965830011617186,63.638037830299865,30.0
21,-33.50159408267225,57.26429067574835,61.134979682060965,30.0
22,-26.811850202201015,11.50438795287551,51.997479092978814,30.0
23,-47.804616993852974,51.536579170152606,108.03671429031215,30.0
24,-59.80434074902899,72.70899232179764,76.13388232373846,30.0
25,-38.32013581466473,50.99259292854481,90.59596635819082,30.0
26,-48.1263642583903,37.24542399440161,67.71711398177986,30.0
27,-23.252240890082714,19.627531851200153,71.91077258004076,30.0
28,-27.61981718614258,34.492773281619066,72.36005912390483,30.0
29,-40.38953018496221,57.045976392286335,75.54179413675223,30.0
30,-41.312989085884276,56.72177696436197,54.372698330909536,30.0
31,-31.999649037387904,50.68541983917418,63.45034688888823,30.0
