unit_id,ConversionEfficiency,EffluentByproduct,FeedMoisture,ReactorPressure
0,-14.750816260713274,26.26849163555432,41.194800103573904,84.95243927464549
1,-32.2115066999338,44.802843416476904,34.431974832748445,75.39601566603586
2,-42.9304567930068,52.55474545524197,71.34562924387318,78.55039288168017
3,-37.86729693915318,31.094374152922263,60.09025025382484,70.78128865189322
4,-43.87711173682045,71.2833672389479,39.25168111511466,79.57896935247113
5,-22.931483346116448,37.06869360934013,41.367675854162805,78.9653435004552
6,-44.18882310721887,32.329634949505525,54.54663858541677,70.1828484079946
7,-49.86317742325824,43.69367005682373,52.49560627227902,74.56252553933122
8,-18.9790609513761,40.194412273136805,59.095807843899514,69.7135382737996
9,-49.38390194431163,57.71225534023104,44.11119048487535,55.430005625722174
10,-23.483921106932833,27.428232460560714,42.47185381435726,67.89453400750752
11,-32.30541660936449,31.896737236677772,49.32084757044573,83.01895974748615
12,-68.00381066074262,64.46540570188205,63.94606385560956,78.03470581986724
13,-13.73408106591638,-4.795750132987244,52.90427054642812,79.78537297363553
14,-54.79776877192715,38.788455402193215,54.19419936102366,69.66369920538585
15,-58.73358961571485,47.283799280287525,54.1852205372223,60.9876021399693
16,-68.99362444912352,41.03986834535776,62.15098525403881,79.64412063957998
17,-26.56796936449289,24.931763470449216,27.68018767598462,65.45774081832312
18,-48.944471629008305,74.62272371698414,36.135594846656524,54.97435622529634
19,-35.17772134365306,25.502308143061036,34.431985842631526,98.0572605366279
20,-66.95287741624156,50.79766294827017,59.40056305354718,91.79118786678964
21,-58.71880005935288,56.79159876639048,37.76492313318519,65.49354388146584
22,-8.834172691553901,9.40428987611848,63.14582988615893,84.86052136135581
23,-43.118839717051635,38.05378623955024,47.91247126618102,63.53180441508351
24,-24.085073859874242,45.92879526023343,56.631347915663035,73.88073823538126
25,-57.368496831324954,45.02820457928835,55.90050382808162,77.71977019110544
26,-33.50476414707836,52.00084029359244,69.32539652606857,75.94506641810266
27,-33.170749184185,46.28681541943945,74.69349795917196,87.05778403377369
28,-41.1120232247993,47.94993839557538,41.96765173205577,66.21810180936617
29,-48.52723377323128,54.961039729574786,43.16155639450532,90.31393431792138
30,-28.124752249497,50.077085809181405,59.227489558726816,77.30033557819831
31,-22.651105983494,24.7114668109625,31.224028464717026,72.08881076154003
32,-33.325317433868385,57.55963642097848,54.219736962929694,76.34119769188005
33,-35.130142783206864,53.09966275797738,62.30869363864577,66.80174926559643
34,-37.32496665917119,32.693599504880915,42.72877114402141,84.19450319283202
35,-59.42782205367992,28.36629597516394,48.848073964431805,70.24664757720913
36,-63.401148309019135,59.949259443928426,64.40684114778841,56.375105287194394
37,-33.60301277493775,25.233210022113056,48.28219634836849,79.79689465446226
38,-34.103041776855065,63.55242371909809,46.33848387064586,81.32242138884776
39,-26.358163822383982,38.28081265745793,36.34417927108367,75.55696106945491
40,-39.30821438279828,36.34802968955475,48.341219164136014,75.53813316533443
41,-36.30662082047431,63.19078760189001,65.63382451704157,88.55294484411334
42,-37.97106048332213,27.659144643744597,52.13722109050116,89.18423599646455
43,-19.626861673762996,19.004420934191803,69.23724387456609,80.76947720894992
44,-47.35636347430882,52.32227285146128,52.69368491331039,60.832004316963015
45,-47.16644235430119,38.80280987641539,82.49918092327353,86.12370531078773
46,-40.78324137109704,51.45943793845018,70.59953487206008,93.10329285024835
47,-24.70071171368669,45.16888441806124,35.78528522168359,105.36732173774428
48,-51.575717307627976,60.459050412838,48.35679592467708,70.26643158820933
49,-19.27951775341846,26.355212379679656,48.86507960751248,47.55723731801781
50,-35.159121801280335,42.217754231834945,45.433525243656376,77.08437865781032
51,-54.525811071481975,59.694011419925246,45.21254189092338,63.10005976459738
52,-53.499186533841346,63.15145141866239,63.97302874332779,57.48662997378516
53,-21.81937631216865,24.90800944045653,23.755889520490996,81.34870705647218
54,-31.719365952731046,25.3316930245125,40.15635160666328,67.57542777785409
55,-31.505070348028024,49.54903177873232,52.96159249412667,92.05808875040728
56,-19.309967657261645,42.44824984375384,51.921662816438186,71.8494569393408
57,-30.532069009734997,52.575337247447045,58.414326904172746,74.32377783680327
58,-9.873955145513312,14.17212170720747,61.58936393468186,75.12174492537072
59,-26.88347566991916,31.18293482473165,49.63389415532155,81.9478163349048
60,-38.01085148471169,50.89050521265863,45.17197870508363,82.55404775304652
61,-45.09643518171962,44.39276974781483,36.06751405763293,63.09533065717372
62,-50.44771336095566,33.880777233360924,45.85425672896959,70.0611787263428
63,-41.57560843702182,36.09994900546633,53.165855173480715,75.98196091501019
