unit_id,ConversionEfficiency,EffluentByproduct,ReactorPressure
0,-42.97901495009793,20.227030052299966,76.11819795980227
1,-62.95215588424806,54.982087107833095,60.02928651970386
2,-47.23038652298311,43.96113840866763,62.70469474545701
3,-27.21913358565068,37.13406335640413,76.14063987370592
4,-53.811881485608154,47.921154055086454,75.59699363530532
5,-48.45684176911905,58.327463601998915,67.72674897420576
6,-46.27277413060069,44.3725886333225,75.80458765808602
7,-42.63806881404433,65.45132324985742,72.66721466412177
8,-38.77629007118646,44.983484538517246,67.47502164728873
9,-56.031396438350214,51.36868574706463,91.00460014346149
10,-52.39594732118589,50.58887940792901,82.85032583449855
11,-34.34219828583255,38.309119998190205,62.7307620666567
12,-19.022111169420445,45.11368989677991,88.30989332977765
13,-40.31673107694611,49.1739683391393,55.70172382141383
14,-38.132826650608635,42.55593508105036,79.17456362347062
15,-47.885341165343505,38.668088929600316,67.83870329522603
16,-42.378625931982285,40.098620734905204,85.48353011731265
17,-15.23974626950471,15.459230881240728,77.01756703130052
18,-63.193404073267416,59.845303853520264,65.39355209772458
19,-2.7213471064662373,10.667325505096061,69.17564660748774
20,-35.59549249835929,35.904244313532246,96.78442867581201
21,-31.51203700978905,53.32712205190694,74.81204037738237
22,-44.970669385160186,31.99834751058377,64.20813054015267
23,-38.070825974368994,60.73000651655311,71.38344362906983
24,-34.22091557750669,56.9770507337286,99.7281758472588
25,-49.954635457283395,65.56161648514298,79.00261579115079
26,-47.62710017642676,30.865963097944537,72.57039205985826
27,-57.69691713994434,76.48243400680454,72.97582541451648
28,-49.0999393197662,50.67689615169293,63.58288681463519
29,-45.480468141918735,52.3088837252962,66.33594006731023
30,-26.314007500828854,31.57194211440474,96.99659602187782
31,-41.577640526140335,39.08029965711008,87.10811447344895
32,-45.617207736122694,63.53987343125697,80.64823403230585
33,-36.19716973438257,45.38202135076095,95.45318403931714
34,-63.16507497610674,47.742386117933535,69.17604554142089
35,-42.75275322337376,60.04168142067724,59.419604185480864
36,-41.89548082279644,34.15439643679759,91.81116002820387
37,-40.01656040845704,40.92583388471205,81.20332916804796
38,-63.24574473056586,48.86978365842586,56.86146309226957
39,-24.132809984377857,33.4351469167751,84.8168530680719
40,-64.03041783982732,60.517837259646036,67.2239532265713
41,-43.44103311182912,47.49945136955797,85.08779879387099
42,-44.66331398227215,25.40280481387913,62.887560017101094
43,-13.811505452256721,16.855426333384592,86.72283250657475
44,-43.336127871032296,56.62020068676228,57.079897369405344
45,-43.77062316489137,43.3609715838111,58.38854102683895
46,-32.49092450249567,34.526171145581465,85.71632571293438
47,-44.200120859594385,40.94462149884117,71.41115638431278
48,-21.987277140169702,27.64652367680323,91.12724076615523
49,-62.65147563768048,66.55810303578649,77.46333269552571
50,-27.792186128471947,40.58020319397124,67.03620900017248
51,-23.30913807895579,30.085368032898007,79.28211799889894
52,-29.989681635395907,37.40808885061866,83.08445799379834
53,-27.84218241843225,30.388355606917713,73.48960391668203
54,-31.645803283579784,35.708157471609546,78.31339458538578
55,-41.81316146003649,44.6149939656974,81.88960933646054
56,-54.414045366072955,51.134673013294,74.16446541570555
57,-40.98356003606126,56.950249989558706,81.60789364537509
58,-44.86814716817725,49.23192092407794,65.38339641252477
59,-26.895861678959168,28.023689562924137,85.80741167028894
60,-47.917822493219546,53.86154346959707,68.79732976059888
61,-43.9464784227032,34.95817713467523,75.64496171825617
62,-38.232943594074605,44.21150249006217,78.18501662596874
63,-38.02548613800814,63.85766446883444,64.82239507004971
64,-32.06840366786534,67.09155403243705,54.78345526194162
65,-21.3400960197745,48.185512284464515,80.74684158241432
66,-52.9651564749748,40.35088779099471,55.20320916196063
67,-46.56791944294986,66.07738592563899,70.39910266012727
68,0.7386809938782455,17.131940048778212,58.39326676207648
69,-40.60321473039938,47.92501303586427,88.59437508143664
70,-55.49836777044556,45.99376808304561,71.91775114617819
71,-48.474696317765094,59.49082918993047,77.22741899696283
72,-45.57199956456532,60.45757334568517,96.8730498239016
73,-47.14031188501813,46.09387846495379,66.25918164800788
74,-46.9929457841732,55.686162363750654,69.9171026527835
75,-54.25900420680958,53.62746819197769,81.71231114656783
76,-53.72195433943379,35.07042661249615,81.83158212684631
77,-31.73051660617499,36.26799352189391,86.50759770054243
78,-25.95075241559352,45.55538149533828,87.85450430723212
79,-41.375478858005906,29.83972610350287,70.77842878833212
80,-25.197856780669657,0.7511935233902456,59.40388610824629
81,-37.57619701768923,30.53924840732444,87.8874605989455
82,-35.118286490597725,37.61305228414475,91.22753081812127
83,-65.82327191061516,52.24380003036852,77.04835232265589
84,-51.809853160437136,56.54294571951744,58.547638597295204
85,-10.585774954948793,26.410706218707137,91.58326423682468
86,-1.6274083211055574,34.67244865760768,76.5853799442429
87,-52.34950999876876,50.59141517784026,69.38766304103262
88,-61.96848723514753,43.27625756537809,78.99495513426572
89,-50.99927232318409,35.709111742801184,88.19805271170262
90,-31.354160515253163,25.809940903499545,80.11017654002364
91,-68.47600780379344,37.425944250652066,95.6574937122859
92,-53.319036819003045,41.771341922477625,56.399075585407026
93,-55.501463396205146,38.3629441176233,75.41744556299233
94,-44.622457678663956,60.72802489621856,68.11666372399516
95,-54.643265530570204,55.07548333630525,73.86842046070981
