unit_id,ConversionEfficiency,ReactorPressure,FeedMoisture,EffluentByproduct
0,-23.815386234757227,64.47218829799777,52.99876767940414,26.914429021452406
1,-36.80886671384592,63.0822918338374,58.56755699647297,34.0636033564911
2,-37.062563460725734,73.3216316465103,26.265322756171116,58.316282165400295
3,-50.04403362310224,72.62004228695393,65.70456265147779,36.20661928249486
4,-41.95753915075971,56.01374466751733,52.196827675071646,39.652877340117996
5,-37.31067131602922,77.22705097830962,38.935162054270734,68.91368259668499
6,-24.535543234315433,69.38655650096571,54.371409596476795,25.85095786625425
7,-54.65013225011507,73.52616575203966,37.3602595875435,44.93913358003526
8,5.734481132449234,69.55445871417925,56.59090869396578,1.0825534563371608
9,-40.4906532874971,84.68090694597828,46.8701574378317,54.597223838454134
10,-28.990482000206946,73.39456726642595,50.612191544387,27.611519407188013
11,-45.75763835953654,98.96407418591788,65.17440390635119,60.366149995412115
12,-62.85744274844661,73.48260089944439,39.77414288050405,26.5137449039664
13,-39.36711573693361,79.26824816939867,55.21278433535081,65.38703410019404
14,-21.20064332181101,68.6369810809194,33.87109427324638,37.78543698337867
15,-69.18004156014666,79.88501877476098,31.93215259773418,54.353192028821574
16,-32.47469258442776,97.52381230192383,48.01918319091345,63.81052532140478
17,-46.92684752432464,84.10922596272673,34.81501876592376,43.90817226005002
18,-47.85862387037148,89.15085693787638,62.371066073488045,43.93956306595176
19,-26.83058574943012,83.68852883317206,54.521698853204505,26.949791928889415
20,-44.57768869165539,80.59374859161274,28.008421830115907,35.994629770101525
21,-34.334885506934725,82.00596774841762,44.650706993050704,33.31777063465445
22,-27.175612052654248,79.35357083522827,45.66264878598403,50.260842442776465
23,-13.156082203514885,73.95377201786508,71.18404292219297,31.561851866878058
24,-23.691442889119436,69.80896107524858,44.62190508519841,54.71511369770613
25,-52.57729790990035,83.63896824371704,72.37456623311571,64.6936466612386
26,-45.70460026037031,66.03192553894387,47.24355777963984,47.29373695915995
27,-11.529662549419061,87.5011474143265,60.790639033397625,25.326098730517668
28,-44.528930915704336,85.97779957395451,53.84266358486874,36.229669076694634
29,-46.62357397651091,99.16462250345289,61.778812798446246,43.59892830106547
30,-33.714760615341206,58.60285643312726,50.27014933517152,38.23950783709128
31,-47.67771654057037,88.9851103627556,75.58311020131796,46.83817446916286
32,-55.78235997316044,59.90664353415535,68.85655168671283,63.124629930574756
33,-49.42765837073424,77.61779276795211,17.914935828441465,57.82293794438935
34,0.40482011869814727,86.00770186415221,22.554389121177834,17.169117493327036
35,-39.50270803409395,64.11949664064706,49.244048082947145,40.058599472411025
36,-49.00719524634675,81.28389675784398,53.78270188968747,41.512250745897816
37,-21.45364169314519,80.65958717643491,54.76264931256414,40.27129332710533
38,-53.68600872982624,44.45534534104792,38.6354177295,62.80827171620754
