unit_id,ProductTiter,DissolvedOxygen,ViableCellDensity,Temperature,pH
0,16.847239913357047,59.6225364321725,57.072764502378014,57.20819055770951,58.81352679643809
1,27.442168680794378,90.2951838866142,89.5690835895432,53.317518236628025,27.483176291063415
2,17.30475903533022,72.55870490550431,67.20420891155527,47.799588917356765,60.40007656461499
3,23.4417729816008,72.93766101605448,67.31256543408466,46.886829714934564,48.97591861123626
4,22.87025456712761,51.83770783565162,50.75822607847725,66.7195442084998,61.64096103251003
5,18.39447279744301,52.47068976847864,56.38953850920595,35.78566627888917,75.73230222448571
6,19.32035257705747,78.4295408361045,76.27684560080759,55.766985352187945,55.46095139028751
7,27.62537369560307,88.14960405056769,87.11293239079001,48.68396882572935,36.64992818683064
8,24.218769356935425,65.850154613788,75.24837102618696,55.84755152645109,78.89999416030982
9,18.381923376584897,59.56633871253931,65.81695692294886,38.96199195981232,64.50751224221106
10,19.291538477797985,72.53160853726735,70.3188592908564,68.43506606699243,52.22877853058592
11,23.36609576127663,80.63528742204879,83.38202698131774,56.63542291359971,42.35782571171635
12,20.60276905236888,66.03978894592969,68.540298350799,61.920836404549625,51.483431342012004
13,21.42155404486976,76.50714936087567,78.01154745125065,46.047793069855246,68.83556411383806
14,19.287547170982105,80.86353622617199,80.17475369958382,58.05186866424047,39.28329330589266
15,18.55737764185068,62.326346857279425,63.6733621406166,35.91700780863453,48.59534166900215
16,21.785760124946112,63.50363991291475,63.028176052723445,53.79261257700635,48.87686510085987
17,21.842158427051253,88.1141295137866,78.49567939239213,62.107448781029774,60.67054861675463
18,20.253040687525843,82.97277076009973,76.88928178323663,80.16542504858108,47.539267330583435
19,20.51023596931243,69.81496617351344,62.17212594260709,70.95047428035538,58.47515656387722
20,26.412894489946567,73.96523638177446,74.13128848282926,60.47151832148316,44.53545926666817
21,21.100248211563223,70.76075872051257,67.16705859468516,38.518342986155616,50.421439095865516
22,21.689967538340976,76.12261350554992,75.43794667404835,43.203335605694626,49.19835059062302
23,26.92050351626962,63.92818227772314,63.73818685154688,73.33470076064938,56.48560455952148
24,23.266719599036275,95.98300859570136,101.29980722413106,50.96275077726685,44.548369832861866
25,24.614901350851422,76.79864286204868,83.5572263594916,36.716011781010835,36.47509512418891
26,23.189043072399677,77.33027571709243,66.10924395780994,51.93665772105426,50.830338021033036
27,22.8599090725874,92.77275693351656,83.59632889014364,45.72369791994693,43.56551011074081
28,19.40334606345823,63.25886329211195,58.52099761603046,45.35611285504445,53.578899283167644
29,23.959232222543534,84.68892629272297,83.89756026346598,47.40845012006165,31.9045605319858
30,24.181398804183345,90.22312247169074,88.25362383990837,25.71606368642367,40.49963393200672
31,24.133235241465577,85.53881277608953,83.23940431321284,66.51645255613947,33.163580968488084
32,25.375668126315105,73.57155379389417,81.04405527022062,35.37401485163858,64.95179418966939
33,15.296601844293061,76.22012468706497,73.73012189271941,61.08702530023877,51.53795190443472
34,18.704212227083485,72.0542696300321,68.72060625204605,48.70111770058026,36.34759578146456
35,24.80484147132535,75.98382588570458,70.86702071896087,54.5282972434294,74.33446967260598
36,24.308582181575943,88.76542626021947,91.1691540969329,64.91294250624816,49.629746027440255
37,19.435658967276648,81.4733365607714,69.58226175309646,46.97755736410272,44.81767673878824
38,22.739544596736238,77.41201153574978,72.99014292511607,41.25090329344109,48.071586499080084
39,26.47046747654511,71.09533008702007,77.08227215301767,61.28152063245413,38.61337194294243
40,21.93585820143319,83.2016646745983,83.44323307223864,38.15418264396004,57.16777407027935
41,24.896142319293496,88.13624817986091,87.69619970355895,42.83424124168291,40.75477699848396
42,21.403399055018546,94.42032483391043,91.5611692270148,54.20503978316778,55.68871155891607
43,20.785206182650548,59.16602354064707,62.344894512973184,61.804416523725074,72.71511631566517
44,22.300110612391542,81.89831577664748,73.81340668037957,72.49132265280329,48.847928265975064
45,25.454201295264298,85.30903983651882,81.02311178916224,35.583537988712365,55.750181731353095
46,27.005841510835925,84.52640167518898,84.33068388707066,65.71498648874552,56.02852381079212
47,20.169206130500804,64.14756305790912,74.21768199375246,42.540563058705004,53.981946004439074
48,23.76943045567894,80.23741280685208,90.14771954864219,23.408299327372237,66.77108285124952
49,22.80373193610856,74.12840135933348,67.5541457358363,41.141546641658586,70.90462809568936
50,25.816014830206377,83.48297120401092,88.57993585210299,58.26643551913717,51.662030130301396
51,26.942722340714248,90.48952842165338,86.62052458869884,43.647591512653165,62.010922647178575
52,23.099048502746772,62.08904696935601,60.992236334836974,41.505467280521074,25.13955457383162
53,19.950087613892688,75.21382377782447,72.2622786129016,40.54004017718628,72.68804603695379
54,20.53607981554719,68.26823421574959,71.65370580651833,52.8123064697005,56.357935315616814
55,24.402322263112303,68.72240822254466,73.65923586186004,44.27105579644529,39.41418342220487
