unit_id,ProductTiter,DissolvedOxygen,ViableCellDensity,pH,Temperature,do_set_GlucoseFeedRate,do_set_GlutamineConc
0,20.16467744391715,76.01265764105717,78.36001034174622,30.56153733022073,48.08850870802612,75.0,75.0
1,20.812443763368798,96.9044675724123,96.21161948581467,38.18682678461665,53.937642806954244,75.0,75.0
2,23.05711120485901,91.93472852796268,87.6406149997509,46.74936967312079,52.40304200353463,75.0,75.0
3,21.384978761544733,59.38418358232299,59.58811904168378,66.93633967510722,56.87863998282779,75.0,75.0
4,24.344334256610967,105.1721468766472,100.20966894112351,51.79794150805422,46.90377648775212,75.0,75.0
5,22.447072283898883,55.05590938287382,60.7789201920529,43.3192414372908,43.650932809879784,75.0,75.0
6,22.560625148683755,75.18371264316906,73.7940971811952,41.40169887261392,39.52007938830451,75.0,75.0
7,19.61542413829619,72.26702196115909,69.42140912920271,57.577531280218096,53.47476243714908,75.0,75.0
8,18.865656953426395,81.01245257456779,76.3431733162377,54.62723592505517,28.105071148023363,75.0,75.0
9,19.335293973513007,90.3540880734494,87.25201774543385,51.418306212305644,49.616918570236756,75.0,75.0
10,18.877746087383645,51.15458940066323,41.924305549624634,28.95841491530597,71.99339614200937,75.0,75.0
11,20.616126107670997,85.9124193480496,87.7921734312584,71.68653254058574,45.71653701490189,75.0,75.0
12,20.96613446208369,63.77026966219504,67.52508695254137,54.40677433726288,68.75656761468899,75.0,75.0
13,18.38341428515277,55.8744632123737,60.68480638376,54.112992074632594,59.47168782956341,75.0,75.0
14,19.421362486134164,71.78315997233204,76.09891715894986,45.49242148238686,51.87536516520915,75.0,75.0
15,25.97917353192907,65.7710824818743,58.933272142126846,65.35670779775263,36.676617885152766,75.0,75.0
16,22.839839104935418,94.53100765842063,91.5605602116973,53.45436293725746,43.67467426072916,75.0,75.0
17,27.36195129440608,93.37640003065695,96.41191753210845,72.00921762583229,44.971504226443066,75.0,75.0
18,20.83550201812204,60.7107864158292,71.41293277735005,60.510922190308804,42.33706896013024,75.0,75.0
19,23.392482548943963,68.60705445875428,75.5472890132731,43.373658734123794,31.176408419317827,75.0,75.0
20,21.140748379085423,60.11043353450237,60.344799755817704,49.47975467335937,70.36405339099024,75.0,75.0
21,26.045357668033017,77.49603772176515,82.38681082690327,56.75920263703996,83.75926226264262,75.0,75.0
22,17.633807678340894,86.45069336550318,88.08073872383726,29.271146235298506,34.47591739147089,75.0,75.0
23,25.25521804613196,82.68957540018783,90.43490952306146,49.59630110736629,68.62193498837664,75.0,75.0
24,28.458543558920184,76.17755882633054,82.72145193051023,55.631694062645096,61.7707263769592,75.0,75.0
25,23.429842693413498,89.40568969237626,82.47394405184204,40.083288438973774,23.688128006228776,75.0,75.0
26,23.203664632160823,99.26752297907474,86.01664961428418,54.526170917784896,60.01346914574326,75.0,75.0
27,20.311809279022867,72.41049118110612,76.45989947581698,52.993656098507266,41.08010069209262,75.0,75.0
28,21.093391032191178,92.31827961456602,94.85710777121086,60.224859325425385,41.20363095324587,75.0,75.0
29,24.493177228953616,83.26922871889573,93.38801536861126,37.892367164221255,71.97446442280824,75.0,75.0
30,25.997425914779605,75.6909643336732,78.78745300529782,64.6422975964281,54.57144772755343,75.0,75.0
31,26.48940050381036,83.2027609426773,74.81632125355522,35.37437280537862,47.680703975883446,75.0,75.0
32,24.311672250500287,86.51529520332306,93.06949225771066,59.57133466464148,50.9861572919077,75.0,75.0
33,19.965459565016758,77.84523990892036,66.13835706347294,39.814944465888956,46.79392997569892,75.0,75.0
34,24.076784091019736,80.37420706323026,80.68312060160378,15.466446105634926,52.76451341515872,75.0,75.0
35,21.401460974080244,73.87040004169049,76.3272653846321,57.39085893760087,63.07530109165945,75.0,75.0
36,25.831747216055838,77.40070331044187,82.05788321514648,49.88976781021163,46.13004047774651,75.0,75.0
37,21.278583821438357,67.47141266507064,72.76540577808274,51.03592365072978,72.61868362527741,75.0,75.0
38,17.24346984114991,90.67794603859576,87.34372275132174,51.53791119702231,56.09318568045685,75.0,75.0
39,24.634876723670402,86.46684989547138,85.99549508149988,42.87325754910671,55.168576468110054,75.0,75.0
40,19.005603773589115,77.78678268573574,80.52426048539525,34.77752240040642,46.861592066461945,75.0,75.0
41,18.509178442772235,54.10757687567053,52.00084877675095,51.213233682194954,43.09834181240155,75.0,75.0
42,23.203047824107234,87.87077256072271,80.50649983045713,39.92768931786089,58.49075040875652,75.0,75.0
43,22.4077580065318,57.81263852289156,56.034239670428335,57.599795600727894,36.42660025788357,75.0,75.0
44,26.298611613468143,75.5738100604764,75.14878377774555,58.380678345563986,37.846958968798646,75.0,75.0
45,20.208237108258565,81.5351610960657,78.84176040910911,71.96150217905331,38.180361080562264,75.0,75.0
46,16.99813457655943,82.83693267453863,88.44862604256971,51.04823041851645,48.487085860850655,75.0,75.0
47,20.57777075742219,73.04721558867249,77.95765113723591,43.43333851766144,50.971026019980066,75.0,75.0
48,24.24143308924309,83.3762030107541,89.3627242322283,21.47545539534578,39.96019427550772,75.0,75.0
49,26.081380563222908,95.50304201051647,107.51991146052056,47.260808350230704,42.25714483783466,75.0,75.0
50,23.830426795867453,87.35942954669474,92.32457241873881,60.761517748142126,50.428659313011096,75.0,75.0
51,17.728190229373702,52.63649974624128,50.720449068826575,31.57233009800822,45.292395396975216,75.0,75.0
52,22.408393220655626,70.58667079573738,66.62671788013076,43.783052013076926,49.84932049491829,75.0,75.0
53,18.376085917316225,62.3671361619563,63.552903398453694,49.76694327742826,66.62530229117834,75.0,75.0
