unit_id,ProductTiter,DissolvedOxygen,ViableCellDensity,Temperature,pH,do_set_AgitationRate
0,18.711219296279445,73.45526296540878,78.0144405453798,61.79832603424989,57.08770245036719,75.0
1,23.688224532512592,58.53243750038425,63.802526075584765,59.08219343009216,65.53802835261183,75.0
2,19.4901772632409,63.904698807419805,61.06432843921954,52.60380919221072,39.881181296550785,75.0
3,14.664276432814312,63.30340168206772,58.20744569926507,47.568987706594,62.648913257658684,75.0
4,25.782397571451604,63.49626957003873,77.05142364995561,58.09354180206613,57.54632539745334,75.0
5,24.681569940610885,66.97686377675917,65.31901532818495,53.67803146091628,57.00548898285264,75.0
6,21.384069384134403,75.12284941433353,77.1733866761124,57.991253627976015,58.61295789114893,75.0
7,16.88242443075509,82.76337465329243,75.90304161471985,51.983895943192174,46.690604931863135,75.0
8,25.480707007166174,76.24717444602541,84.93371987145561,50.48723225848202,23.884748031286183,75.0
9,20.00467745227979,76.04287670330258,74.68567054245223,34.05835475758885,48.977261969672696,75.0
10,21.24997210743361,61.288853671881796,68.54039761163708,37.67164026784389,57.63772817843225,75.0
11,26.787138333722712,92.29341713953282,97.52719132987849,70.01251899289804,40.49809170131706,75.0
12,20.821611874475874,72.22205249691304,75.88451592064973,41.310773535653254,49.98258270418979,75.0
13,22.500987563624538,84.68561845901249,97.41172887951639,54.15933243038964,55.54455755605993,75.0
14,22.859911248286885,63.84693867769342,60.00702673940517,50.26895465182516,48.20907786181877,75.0
15,17.731667823595423,54.42765120170801,51.207475194040555,50.988019853709126,51.36670710222389,75.0
16,23.187928049928097,67.61287700188262,68.17806455080472,56.17543619779724,53.02349521999965,75.0
17,18.296952528418576,65.95684467652694,80.05659137316898,53.34947976971351,69.66616766335484,75.0
18,18.969633498516114,72.19956341653467,66.82134547279901,41.028358736771665,35.783309873310735,75.0
19,20.52552602930474,63.501887645905484,62.49116480537134,47.698949818867916,55.82759132971761,75.0
20,22.354828233503643,76.54388125227909,79.83160906738658,48.67981639095417,51.136099049588175,75.0
21,20.431280641566982,58.60259452290816,67.30472074472293,60.34181034200263,45.901539294614636,75.0
22,16.104109604714683,85.26411429096369,83.92466198204201,31.27862768412249,59.05598350274177,75.0
23,20.593489538463928,79.09504428463678,78.1697737517286,46.971001928450946,27.100850965306602,75.0
24,23.635541907515403,74.40854848594915,72.53365331455379,47.21771953788111,60.35112063907298,75.0
25,25.72006829923442,83.9719070875073,86.76538388527747,51.719076879895816,42.01099578300694,75.0
26,18.992631712432157,63.65920123859238,65.54000364837313,52.91476275777666,66.0123267488852,75.0
27,22.470765586323555,61.82253406537914,64.6635398090602,43.004385870009926,52.74212729610937,75.0
28,24.294246263348054,78.55384824091075,94.09670830806728,48.99504386037159,53.58765103425691,75.0
29,17.44235905330988,72.20018586058868,82.47650533698447,57.10239161937604,58.448094192307586,75.0
30,24.156135998091244,85.43492019138168,96.15849759737159,58.16989680005793,49.47512808046405,75.0
31,25.60457862789734,84.90771316863326,85.15539428206125,53.1010584754311,65.82416421348542,75.0
32,24.358491910299897,79.9686252838767,83.59421111322901,36.078704663145295,36.8837762345987,75.0
33,21.51407672814837,86.23999301730498,75.8829097097156,60.096728925161806,28.98943422406898,75.0
34,16.885994369233835,74.80586137079965,74.94540879083462,38.914353357263344,47.78132933122687,75.0
35,24.437147206898292,93.59064559973106,88.42215641216941,48.09335701411,41.56888104899292,75.0
36,26.94827638659627,63.5443021718801,65.67991117373404,42.376715569633454,45.57367986244171,75.0
37,21.81236943264645,82.862333822603,86.97398032784947,42.17297420122981,69.57460399009,75.0
