unit_id,ProductTiter,ViableCellDensity,do_set_GlucoseFeedRate
0,15.559423467811685,68.655620770405,25.0
1,18.43453807375296,57.191083209554606,25.0
2,28.01477774179709,86.46923346918489,25.0
3,18.962264655913387,81.785913044897,25.0
4,22.136978912178847,60.12057020813274,25.0
5,15.033864046130232,77.14820578645724,25.0
6,20.002401184020126,91.69182596602627,25.0
7,20.54061332566545,83.90862342644436,25.0
8,25.90489266326466,69.10721508486046,25.0
9,29.19185821508752,76.26298177105684,25.0
10,20.030085431918085,63.14702337314237,25.0
11,20.39346981569617,85.25615082201026,25.0
12,24.088275973819712,67.18066673279658,25.0
13,20.24165845161416,80.30047857196674,25.0
14,21.877181064838904,66.30548699900478,25.0
15,16.66168882480057,72.62725264788277,25.0
16,25.345964561057546,89.24001596731307,25.0
17,20.36794903371662,73.9673376920586,25.0
18,18.361145588549817,71.85350953879622,25.0
19,28.145209240430425,70.09158392802681,25.0
20,26.35141418416767,67.97462106644919,25.0
21,20.375888067372028,92.58199195586344,25.0
22,22.37631069607257,84.28769115959757,25.0
23,27.357915783592674,77.96167756346934,25.0
24,21.86485814463537,93.92008064178293,25.0
25,21.56837571351694,78.17282933329665,25.0
26,20.281656987719863,55.18394349973046,25.0
27,22.50665219408621,80.3028440720748,25.0
28,23.15946682785448,79.19429565714523,25.0
29,18.830107152636796,63.90103145740469,25.0
30,25.6268053021831,89.03114081865539,25.0
31,21.92698612034086,78.94446947019124,25.0
32,28.316176912963567,73.719533661934,25.0
33,24.29160824784882,79.30553708603371,25.0
34,24.20459192286803,70.58630020150532,25.0
35,22.684100810688182,89.83945670867277,25.0
36,22.508658644268397,78.3065235358739,25.0
37,27.47349255965401,78.40767151570438,25.0
38,26.28455631892175,74.84739464249802,25.0
39,22.342732998260104,64.33170222957649,25.0
40,23.459943970124137,77.50298072761342,25.0
41,23.932186425830295,88.49877034426125,25.0
42,21.21616323195693,68.45436272423372,25.0
43,25.037325557008426,85.94787073614529,25.0
44,17.946128213884137,53.50893422478896,25.0
45,25.178486108132702,77.0334475887754,25.0
46,22.459791628469066,92.5033519601138,25.0
47,21.41151454690009,71.183659598006,25.0
48,28.857005272694,86.59120246545378,25.0
49,24.91466090787912,94.22747789190461,25.0
50,23.883095202025167,71.71469548561625,25.0
51,21.146424309239944,84.969834795637,25.0
52,23.927716941770186,74.68046210596188,25.0
53,20.554642036390188,78.51418029273589,25.0
54,24.447032987503473,70.08077034173851,25.0
55,20.186945885335934,68.70060725027962,25.0
56,17.08191764191993,62.205635641475645,25.0
57,21.348745297657214,83.36095416106298,25.0
58,16.461052198142504,80.54090257542393,25.0
59,20.727362159454145,82.33528804092566,25.0
60,20.65805031734466,66.80675245493497,25.0
61,25.610950077325082,59.644077708199426,25.0
62,23.91084749235766,66.61682800604669,25.0
63,23.408725224900877,68.53803409788314,25.0
64,23.742188424196193,59.57153812682812,25.0
65,23.34835040076891,74.21259563848365,25.0
66,22.48466182079961,54.813874687914016,25.0
67,18.438693217099708,76.28053339474751,25.0
68,22.40697622748639,57.67148957817443,25.0
69,20.955191833100656,71.38508279208797,25.0
70,19.969115212309443,79.72353163265606,25.0
71,21.056983078112445,82.62148166859043,25.0
72,25.220875678478144,70.91563309650033,25.0
73,21.919903135389937,82.2175367192257,25.0
74,20.724403119149137,70.47992219288923,25.0
75,22.579438662799305,51.903069205767395,25.0
76,28.096952072665303,96.78643859249145,25.0
77,19.491606465814353,53.07170970689049,25.0
78,18.107980246151083,65.09346365471336,25.0
79,22.19829571081259,86.17644732137677,25.0
80,27.63617005703669,74.87696303239458,25.0
81,21.137652723799754,58.52802155319666,25.0
82,21.26382726193649,91.19320660227848,25.0
83,21.519822318392453,70.73026398447222,25.0
84,17.981969392240828,85.60973849710489,25.0
85,26.857213825286124,79.31803982479533,25.0
86,26.86773605655355,72.62930314360318,25.0
87,23.859641712145798,78.98688376471011,25.0
88,21.860232997662667,82.13225752404223,25.0
