unit_id,JobThroughput,RackInletTemp,NetworkTopologyHops,CoolingSetpoint
0,17.766550793257906,53.86162195655431,34.58308735775742,44.91009743746262
1,16.735359322607977,45.48127836494067,58.09102366373045,48.10913830752578
2,10.219007029981007,80.5795290052662,55.83700477489794,57.95414665008265
3,1.9164794019852,69.3913597533373,47.98237885537155,60.516159311691624
4,37.83196303437779,29.83941281961117,64.28723237871803,79.16006408821391
5,3.933994231455129,67.07233552090908,54.89217880665882,51.21688040918566
6,23.887752303522518,50.77197765328055,49.42782007278897,55.69981853663171
7,19.036119013778666,48.17746987247741,31.141228300992907,48.27335685705062
8,12.965944114567646,58.79132010016687,47.07499196163802,66.47133657203725
9,19.08007462377786,36.88517673433142,39.9643429819923,42.05796588137118
10,28.761641010277305,40.94309698177402,64.57477849288777,56.34473899546585
11,14.910041318475667,45.076833666555316,49.54232056596076,37.22846269071266
12,19.24597898400007,37.78021631360018,60.449013597411195,44.339073705845244
13,27.04063984356765,38.89797022920157,49.83442287401838,47.8812711973962
14,6.70503132124454,62.01516024239612,46.104286035858976,60.64668373059015
15,10.61233447945712,54.866993683528634,49.51793808901343,47.29869630901523
16,19.421149284608244,56.65180494745275,39.88011347313913,38.395606214301715
17,6.512515477406897,70.2077240087328,50.69302761044861,54.64783304850776
18,19.0156335577397,57.42959584898719,39.91156420046063,54.338344675786615
19,22.585796130559963,40.784396221217754,44.40717264212641,57.27235931113537
20,11.619509361883978,49.90807955556955,72.7927238238287,52.04104432643754
21,10.295588093747332,69.1939507070923,49.43872318142847,55.19556769981877
22,10.161892976779503,51.343903236848945,54.176258692817115,41.75143802671427
23,20.916994886541374,41.303555724103404,33.5773369486685,56.33248303002788
24,14.76872467680009,41.83196642556794,36.27563440781102,50.005166917460954
25,15.8538626706929,41.01609404373716,54.586348105391096,55.64315175991784
26,11.668778832666785,54.92652139745501,31.31776515350601,40.92577971675253
27,15.403459495259522,35.35669397732774,56.96084630980415,46.222461731999104
28,29.74254307182402,52.09708634617177,65.02389857817917,45.565379671318844
29,17.60796689809517,43.41641424057269,64.163329174516,45.056075469794074
30,5.219308012805967,61.35454883663171,46.82693481861152,55.106545800071174
31,38.1664364986567,35.18737667380299,42.881735397068475,70.1303163725726
32,12.814033661218494,69.87313666030465,30.60669118202497,63.94792294155314
33,30.044777128005496,36.47390293079918,46.569506954871414,60.90506686852247
34,4.937382051394479,72.77251373860197,44.505174110675426,50.10787677401808
