unit_id,JobThroughput,DiskIoWait,JobQueueDepth,RackInletTemp,CpuClock,MemoryUtilization,do_io_scheduler
0,37.087157388286975,78.59555727766734,57.304522522921985,62.72343851721006,60.25601404549368,29.395806245074425,80.0
1,28.271907638233063,82.05953864473027,51.589703813573784,38.345802907699365,56.53590218559986,44.49413282615758,80.0
2,4.9834003090690775,80.89886620133609,43.5767021276137,65.65444726213346,40.22127780465654,41.05489720463831,80.0
3,16.15269348145223,84.94622098267203,46.554943841176886,75.3068914252228,43.5448888390033,64.33888177594194,80.0
4,51.00921979595471,78.12534959058777,66.00376258580927,59.13824603736023,47.8646469827008,60.43006823572674,80.0
5,25.229535180569304,78.13978282280472,38.64651674922923,67.94812540476771,64.28823647167957,30.07119652191693,80.0
6,15.163659578267142,84.73919182737653,64.71900423238415,42.579107139861236,57.411793527615224,51.85609512072947,80.0
7,28.837562148579497,79.11438203209829,48.877829867638056,33.62639735636573,42.829752430687606,40.41022506227937,80.0
8,38.08427641989849,78.58690546946343,62.785554507276174,49.341905297680874,45.05718964053317,41.99189734653406,80.0
9,10.340600477846982,77.00287203140043,42.85651603537667,67.01764355588668,42.91317309550522,50.98605310478485,80.0
10,3.140783925144165,78.48735733444022,63.495872960874095,71.9823919851238,39.77813057536581,45.140883012350905,80.0
11,15.590375724143307,79.11429001031581,53.16858666968419,57.70850088392503,50.294255895009954,67.68557765511346,80.0
12,32.72207223379691,76.46618904749366,62.50987134877774,35.50213004818847,59.59472367868727,60.66077650728157,80.0
13,3.880645950199324,79.5376346266255,45.65376646832857,68.90885846250521,51.72390689020927,56.771036980618796,80.0
14,18.518634655348514,79.32045360289379,60.51128875763102,42.58324970580953,40.24484519902434,61.13427301723166,80.0
15,25.809105051175216,77.14497829332666,36.47993788207547,53.94774251909767,46.869021698060536,20.355524303932043,80.0
16,38.55692080017965,83.10364044233685,56.54566080323656,50.87653107202562,35.186024126437744,63.68889700453175,80.0
17,8.720807195079017,84.42440706328743,61.3632406597487,53.326426417109616,50.121757259424584,18.73988952969225,80.0
18,6.974527783497358,84.09529518647653,80.5171957288892,60.916568035642754,39.09100435380277,61.73762394185619,80.0
19,24.032737843175866,81.4795624184862,62.69564963934666,54.48326739785386,45.01481603916504,57.97099905953473,80.0
20,31.354135255540715,80.8810459747396,59.394873245136765,56.3661429587175,32.773676369294556,74.21507604406631,80.0
21,22.701162652637876,81.03841161825373,45.192339251464674,39.581444947135324,60.8039464588969,29.314089022816155,80.0
22,13.685834120146309,80.81553506609698,44.18434259814977,68.1695182396049,52.839079956593594,55.63842071056948,80.0
23,50.288604020352004,80.90945015635351,72.3998143708094,33.598854407172695,45.05693697393913,42.58995409686716,80.0
24,10.33442412430886,82.02374330373074,56.06639764732424,56.22726101523536,50.21516190844906,58.853478557848895,80.0
25,14.572704148410457,78.86511016312424,40.4859820440749,54.52326940730471,48.043434589171305,49.549937180043024,80.0
26,31.541834026207237,84.1672353670291,44.65206668253246,56.66220520088463,64.9337659999399,55.07676692954176,80.0
27,4.280532339985201,82.7615117864651,40.252698617928615,62.87488797932776,49.9755044232523,67.71416700592906,80.0
28,38.806486404193556,81.59699852029037,45.433273151209875,45.22787449059642,41.4035150554652,53.733021125232,80.0
29,14.09937896032391,78.86738484091055,46.40255113533817,48.73039956872423,40.856250116750644,77.9010076849368,80.0
30,12.052798897757741,78.45597255464088,22.949222694062087,46.88532489195647,50.49310616670141,46.85144190279069,80.0
31,25.45479174053917,79.73283800899381,63.01150526765168,47.41828707311473,53.9998216690662,47.68095795622305,80.0
32,19.840990102483936,76.86281193509849,35.46590145621808,54.198087936329685,43.71723117792938,41.5301185397717,80.0
33,17.911818071948417,85.16079497475116,66.60960347548163,50.212271201733344,39.984758377302285,58.749040174135075,80.0
34,25.696843044007117,82.43117842548361,45.946786164225344,67.6794711747396,46.747503084439714,60.59370636971982,80.0
35,21.61398360495347,78.86422441022677,50.000343362826776,45.00407264253422,51.21593931461777,48.22411778126259,80.0
36,18.948559846170376,79.26444247542905,65.9011342549725,52.68337433474255,49.24497184660195,56.8082928362551,80.0
37,10.289840464170169,82.05111892254072,35.81520688519396,60.90490155154925,41.88887107565486,75.76817284044496,80.0
38,25.817932729749128,83.51226914583796,39.51185148494107,47.425625052446165,38.369533131422806,29.89861637762331,80.0
39,26.04819880319038,76.18970767586072,64.26461126097051,51.18986094797597,61.23364624295877,51.55470789335214,80.0
40,10.844950700392083,82.37144676702779,39.610695032844134,55.9150272977469,45.922883831877456,67.83800073222555,80.0
41,12.680787337525643,80.45664975096614,45.532878187898234,54.088355314890656,55.59666473706469,53.25596645150477,80.0
42,7.252337203674941,83.42739881182763,52.94827889733439,59.085770377352596,54.86685484120038,50.126636384972706,80.0
43,28.58732178022166,77.12218969759664,58.64569818510654,64.89659507959877,42.33719047884948,41.59942154749845,80.0
44,13.080969582530656,81.41627344956443,69.56393189589052,50.49888770908094,59.84418528123018,37.078779913314,80.0
45,14.847537736854918,84.69100290745939,40.95490677972469,52.9401190593274,51.546523287610846,62.94847810005656,80.0
46,9.07840110451825,80.27368713983525,66.99714304405947,63.124554882230925,35.6824963278138,39.53861050402334,80.0
47,22.605682688572482,76.5705153310667,43.596670830059885,56.186182071976155,46.24399355342138,39.38589641485071,80.0
48,6.741401761859917,75.60986328075316,29.383595850714844,58.44952399907846,48.5393861764801,66.55361556044501,80.0
49,24.811918446130196,82.86331987569184,40.82293093704687,40.30118875958962,45.17296878394396,63.513423731863256,80.0
50,19.160280448590918,83.77590257340432,65.0276147483539,54.71936519805848,54.75168903112394,50.44338260361398,80.0
51,13.177518510861164,78.77898853907143,35.11945476634104,55.77307024622898,55.94788585740639,36.83332141166541,80.0
52,31.065393634655734,76.58155742050285,37.23285188027343,58.35371806432764,54.80519661896184,78.70234858130299,80.0
53,25.84097955588329,81.82015934116174,38.89918483902619,44.06282840234822,60.5595348242447,46.10126711563233,80.0
54,23.404509013097773,79.24719706443643,56.17526790521937,50.78882908146252,43.73547535587472,51.521088949962994,80.0
55,24.93263239262783,78.87707011235214,42.52351906263565,76.82517386746055,44.63147036301899,58.29068956637733,80.0
56,20.746471431065657,82.07392361717251,42.68019573491046,78.11034715706694,59.0857539849349,31.133919854546594,80.0
57,36.8928943189152,81.6033988111434,41.217537092010375,71.03665588125527,48.2599405346191,49.98962087107324,80.0
58,16.080078112671778,82.08531576762613,48.45679866349927,52.99885832010113,52.58161288094864,45.569369829015415,80.0
59,15.97723081699212,78.03082689474782,65.71775595639872,48.33008508249165,40.1312547498076,48.04614645707302,80.0
60,8.53424214771749,75.10314301463191,52.05044073543497,71.25568207391537,67.57560967755788,43.270332065643515,80.0
61,17.06402821337452,80.9551691791485,68.14246314893873,41.24893946893957,50.81403902297131,50.690257595662835,80.0
62,17.31928311031617,80.7271981658416,65.19640494320896,51.308501755039245,45.59983286035081,71.23093342485676,80.0
63,7.469061211658885,75.42544433423026,45.80599100951171,54.99956067670507,41.96019766266624,43.16157137049842,80.0
64,4.706136034079057,78.31445476705004,57.52322194265525,63.26910284270831,62.647492835177076,45.58422269833751,80.0
65,16.886995783287038,80.30108744681644,49.464024793440935,72.73482173163228,43.51320648847837,48.099868620104175,80.0
66,18.00463652098592,84.0202419334724,40.01490752919469,48.59352903455078,68.22814330094315,66.09867895351157,80.0
67,7.995295405104674,82.64193198901188,42.23463599903923,58.352137936994595,53.45704908593775,39.67817538219522,80.0
68,14.59618313942281,78.55946683340004,41.896586254478756,62.03248691673957,60.40041328719763,49.37659620650151,80.0
69,42.07230922447068,82.56944291498434,47.94532587482116,67.54360272350785,50.54691015505092,53.18772988690334,80.0
70,27.44418969127796,79.65868839284921,42.02904461993087,60.36282958051256,43.779728478179116,30.728326327265126,80.0
71,26.65731033209748,81.36694364089566,59.70777162360752,57.32204172491993,62.5924579388063,38.69781874383729,80.0
72,29.338782622721077,85.08954898548116,40.641883011465154,45.723183313475225,57.637095095997815,44.171355276298016,80.0
73,9.506358882087845,82.35680921859571,49.85254954095766,41.628976198971024,53.366598814086835,66.46838056065619,80.0
