unit_id,JobThroughput,RackInletTemp,FanSpeed,GpuTemp,CpuClock,NetworkTopologyHops,do_fan_controller,do_cooling_setpoint_controller
0,14.514556153833396,42.89190960984439,81.54242172629489,45.06593656462185,45.97416392718898,39.809019068819936,80.0,40.0
1,35.052285938022855,52.45723361600512,80.56165073815134,56.51602898874804,55.93069462445622,39.152746777792906,80.0,40.0
2,21.793787525853684,36.8596240009832,80.33039332935351,65.19598419053646,51.0134548306866,47.53841704232538,80.0,40.0
3,14.385473260841945,44.26295138677018,78.73172264621199,55.344614277689544,57.28812229880914,59.23706884416,80.0,40.0
4,24.98036337886773,59.25981019674808,80.37895603339358,44.607574959861864,57.80925391920315,39.88078272535796,80.0,40.0
5,1.758564374508342,74.17760050659625,79.49093593647297,53.75948411801376,69.82015179888522,48.997253988742216,80.0,40.0
6,0.16174703905030197,75.89280267163367,79.94523009748309,61.16958102491156,34.05309717339588,23.691743709081866,80.0,40.0
7,2.25581362471007,60.24879491475403,80.0353883909478,54.917139722041426,32.205022506766355,79.50134270883062,80.0,40.0
8,6.583701236766125,64.0634311060902,80.87562394751599,61.99660818159573,42.54479981296995,36.255816978032286,80.0,40.0
9,33.43453107218216,55.82678215193898,80.03294269112774,48.835426369147775,49.55907909922642,40.29275589224015,80.0,40.0
10,7.667620224151446,61.57088793249712,80.3809215398872,47.46244272751427,50.53356909968317,48.349018174342945,80.0,40.0
11,12.382143916777075,51.7997784315175,80.55175785469457,49.9316935996273,54.058283343169485,69.95264497112011,80.0,40.0
12,19.30326737184671,46.067814803454674,81.50663942750886,47.781981084429574,41.89142690574631,54.214885047251066,80.0,40.0
13,0.8324219765801324,67.93981797859338,80.78246852981624,69.3381845436243,50.60883829879846,57.04682408330301,80.0,40.0
14,12.537131445244434,60.82055706116904,81.06629110734413,51.98746568871965,33.70868309399819,53.61725929381693,80.0,40.0
15,29.426343875688723,26.405745922879728,78.26535718346342,58.52223035249781,55.02361666510335,36.79794781863766,80.0,40.0
16,12.092717129602676,45.64335406329148,78.94501668705132,46.596871023552396,49.0649226758917,26.521736110476365,80.0,40.0
17,14.545245718042956,59.940556676677545,80.52831977113755,23.50277405040703,53.51094926866083,79.87070093386022,80.0,40.0
18,21.095008202734544,49.99743992641649,80.23564818839925,54.09896612335237,48.97074022296756,45.76249737242372,80.0,40.0
19,20.893330280601564,40.22816011228882,79.22014445556206,75.8107633477266,29.284622766202766,48.97479604232537,80.0,40.0
20,25.079268854183006,39.46995515423126,78.6583627733367,53.96224372628281,62.87953953616132,42.87509182017574,80.0,40.0
21,27.9662066273284,57.54782681988455,79.83403310906394,29.1793756094026,59.97172136738991,52.72921054457542,80.0,40.0
22,20.898432986469004,36.520978525630156,80.45655661796646,26.280304751012302,59.77602075669322,29.54345011158056,80.0,40.0
23,4.323155343494181,71.79499769673407,82.02331685879577,36.45888964380243,40.86580173105973,57.55539987953794,80.0,40.0
24,18.911475658764093,28.68120371748618,81.57336863211593,61.37297185092442,52.65826860369347,47.044256524918524,80.0,40.0
25,24.470412671629077,33.96442486513206,79.48720611040021,59.328322515287454,46.952371257495514,49.27946584115189,80.0,40.0
