unit_id,JobThroughput,RackInletTemp,CpuClock,GpuTemp,FanSpeed
0,5.277658266334777,67.87168808333934,45.929419594010774,61.51774463966395,62.11334524392185
1,14.364610735727695,60.24379389296641,58.352409999892515,43.57946030172871,59.388948630798026
2,8.522488338302585,41.56512244216587,53.01266639654162,50.422618722404955,68.21249153004275
3,3.5061943547415577,69.68758846169999,37.41690227638322,66.15892977047116,52.88004872398432
4,27.145259792327042,47.964846749837925,52.890781171567426,37.78869343823334,54.55901203314099
5,15.458135336752434,51.967155471152736,46.86002737934734,32.90555740844403,77.24665033956046
6,20.760500475265204,55.84392265050256,54.81921918001523,53.540106129287956,46.141311295048204
7,24.63392838834257,54.34329225963259,51.18266877161492,41.27927032840429,54.93883033033476
8,17.686074417202985,51.28471087754955,47.20232789247196,35.21399514184247,64.9513531688992
9,3.7354899069589615,66.69862033941119,57.02077958301654,59.98197412022532,61.81992165748825
10,17.42270093626744,49.905461993512546,35.11851775415651,41.37496326086596,76.25228450418881
11,18.227396149701956,77.02999509578255,60.239034976032244,41.8744899314846,67.07253671467595
12,26.114042118227633,55.524262003546625,67.00924048678995,42.401203622930154,58.98372365809418
13,19.894272964570007,48.61633868164845,47.895893913728834,53.468875104151756,54.00236783229303
14,10.46134900279105,61.91687686409966,69.87566849069827,61.176106109305366,74.1106041797194
15,19.345727990476554,65.54221236205692,53.62519860633441,49.82338209511485,63.4934738033316
16,15.47784596443745,73.69207582225206,43.90799801472503,43.37866888785924,58.32931792855818
17,14.21308389545582,49.42682679756145,41.69708407624096,52.19150131671083,56.49018668209787
18,33.95892218585388,67.64739285555076,55.20374330115787,34.3640440255998,59.78761126859863
19,15.127016215916013,47.29698572412395,57.54762146170246,55.27966778184397,63.250284287657934
20,12.002503345535917,50.64149507309586,63.66076758515952,39.62606927366211,62.543437776498855
21,16.548301132224864,53.25539205142135,29.170079328776456,44.97922641414148,59.19572838278138
22,56.72176596994477,55.446286020440695,52.03177126314987,50.56600700428946,37.15148579312982
23,17.837575534922678,70.0106527553718,55.34934740662622,42.24165400152815,62.81693829390322
24,9.630298353366495,50.7557007068435,44.29856805716242,56.439657439207416,67.47089026874039
25,11.742314368170534,53.11022370080929,38.99559128744605,47.10267752436301,69.73965505833243
26,39.84603100810431,64.1428228824254,44.41829047800853,39.21645314089352,55.325191603931906
27,24.9029933035085,50.014769916986445,38.50006733009286,45.33548711594827,45.557835179886126
28,6.62995407625163,62.61795791336178,60.36709827911548,59.60200809345596,71.68914062904574
