unit_id,JobThroughput,RackInletTemp,CpuClock,GpuTemp,FanSpeed,do_cooling_setpoint_controller
0,36.673174447864376,48.837670562074706,52.321016980311626,53.21188446311679,58.73437837782084,75.0
1,52.029112247031605,49.890716610529196,58.17387759537565,51.1182708795642,64.13990320443523,75.0
2,45.20003911174808,47.45714489648596,52.334304055952174,36.38460960369403,66.95378387740975,75.0
3,45.59423911585179,56.89165358330702,51.907838294307766,45.29730320635231,63.40187535276337,75.0
4,37.7746779948393,60.88788485204402,48.580952863125546,56.014842747189164,66.88782395020004,75.0
5,52.090925485919364,50.994348441050455,54.27396430256301,55.91334951766695,51.70453592268325,75.0
6,38.595242416763945,52.70619269124994,50.4531815027021,51.77126765233819,59.25814322310187,75.0
7,10.976944403943762,78.88977498639157,47.30930406714366,51.02248844035804,59.229861360189815,75.0
8,43.12243213414461,30.135831881831802,41.83878936357003,57.46745855204016,53.972661763566315,75.0
9,34.356131558836225,49.25595058074117,50.275612062677475,44.61286578597979,56.945558145197246,75.0
10,42.479609424352084,63.00883164267732,66.31283546126777,33.68256825549499,68.27909573817801,75.0
11,22.840761488582544,44.770173529205316,40.48386682170625,51.17975994187154,51.43949656625335,75.0
12,32.20278837874771,44.999084381823145,43.95543672226259,60.158535541894885,59.529821028050826,75.0
13,30.73135341384392,31.746183094014143,53.59202795580192,54.8434034269607,59.930118533472694,75.0
14,59.4835017371053,35.582323754967,49.62735543822768,65.43469263043428,72.07834996879865,75.0
15,46.355161847320595,65.63092477215544,44.966382312060226,47.943381975859744,72.86471160934624,75.0
16,31.755371125954134,71.78953519531962,45.81958393253577,38.751803370190565,54.09539515280813,75.0
17,33.23931093305477,54.339335118326204,52.25926362603737,55.601460936090795,71.91623861432373,75.0
18,44.48930268347513,53.463592401318465,46.27240634803303,48.013553907456235,65.71870440348877,75.0
19,50.32255024744325,35.58225672521576,33.063143045698496,36.528327177985474,53.26799560622475,75.0
20,28.517816458186775,49.21464543598995,54.32219347657217,43.973626687319786,62.985034554759515,75.0
21,43.39215448545517,52.528996075304946,48.931512424376244,52.1970409042752,55.097580575597206,75.0
22,27.175712038916384,33.370878783741816,37.672593402099636,63.65800406776038,57.05144543461262,75.0
23,26.808802245306705,62.31558759294843,42.685488600138434,29.62826306381919,53.251135240511,75.0
24,39.97461500311974,52.16071413247715,36.22906023149566,42.67082777181714,65.78573156426837,75.0
25,15.033345059465901,64.12562192454672,61.53032588873926,26.650367518219277,59.40611880739632,75.0
26,38.70657079073186,59.1234115294383,46.942316030574005,48.03664141401717,51.32841662487604,75.0
