unit_id,ProductTiter,DissolvedOxygen,Temperature,do_ChelatorDosing
0,-10.34756895027915,59.6225364321725,59.55738628676026,25.0
1,23.326463365597995,90.2951838866142,65.03777902828536,25.0
2,8.946130721187528,72.55870490550431,37.86435758334883,25.0
3,13.742007655692742,72.93766101605448,59.27022354966471,25.0
4,0.3002563444517041,51.83770783565162,37.17522542903888,25.0
5,7.602259196637821,52.47068976847864,48.62489568178632,25.0
6,12.099739618940514,78.4295408361045,39.87550405246818,25.0
7,22.178626115798096,88.14960405056769,55.2394818377943,25.0
8,5.66398992723197,65.850154613788,50.96433668891226,25.0
9,8.65998709923319,59.56633871253931,68.33015189070106,25.0
10,12.209015581142596,72.53160853726735,42.82724736236957,25.0
11,18.355907121290088,80.63528742204879,57.22414010787397,25.0
12,12.278710855941984,66.03978894592969,41.31451356519478,25.0
13,14.56301433344585,76.50714936087567,54.98164128838418,25.0
14,10.281255702402365,80.86353622617199,38.581114188508366,25.0
15,8.321852102385403,62.326346857279425,51.27200376934818,25.0
16,12.907115561228425,63.50363991291475,62.506718453989315,25.0
17,16.527318397603995,88.1141295137866,22.856445764371028,25.0
18,13.775855722070629,82.97277076009973,40.467045962567546,25.0
19,13.05272470179637,69.81496617351344,18.745654674248605,25.0
20,10.269899230424677,73.96523638177446,47.23048578936302,25.0
21,13.23152858188256,70.76075872051257,60.60681817160864,25.0
22,4.338687443774619,76.12261350554992,64.2690611500091,25.0
23,19.27577117681269,63.92818227772314,53.04980406825218,25.0
24,17.696482843904175,95.98300859570136,55.520541374561,25.0
25,17.540593592752458,76.79864286204868,54.98811438312409,25.0
26,11.73484150432159,77.33027571709243,51.02795088941993,25.0
27,17.50489069228756,92.77275693351656,55.052694312385924,25.0
28,4.4464217189237605,63.25886329211195,43.95649666607078,25.0
29,19.515342033102236,84.68892629272297,43.56008889391157,25.0
30,20.515198021609052,90.22312247169074,36.57819706682687,25.0
31,13.59216918293878,85.53881277608953,48.142861318519984,25.0
32,18.473998848386742,73.57155379389417,61.368982451581054,25.0
33,7.810666720391703,76.22012468706497,65.421925478524,25.0
34,1.9365629771044182,72.0542696300321,73.52398849607903,25.0
35,19.109082569032974,75.98382588570458,29.43329647437566,25.0
36,11.202502566148032,88.76542626021947,33.198611365735765,25.0
37,13.611842899437512,81.4733365607714,23.777382278300934,25.0
38,16.136895824992187,77.41201153574978,30.724298752934917,25.0
39,17.63614275175162,71.09533008702007,28.411086835282717,25.0
40,15.95495184616339,83.2016646745983,56.41080337975462,25.0
41,20.084923808568654,88.13624817986091,71.09005302292145,25.0
42,16.96462680806784,94.42032483391043,57.53307071454032,25.0
43,10.78385798785855,59.16602354064707,45.76179102291129,25.0
44,17.152329369203827,81.89831577664748,42.413430926985065,25.0
45,18.39829455091539,85.30903983651882,49.37418129340742,25.0
46,20.696498590370133,84.52640167518898,44.264878047732076,25.0
47,12.72999573510252,64.14756305790912,49.19216706491712,25.0
48,18.913256904548422,80.23741280685208,42.45006577398817,25.0
49,16.215102486590943,74.12840135933348,55.744945836460936,25.0
50,20.176646274310293,83.48297120401092,57.94483449788756,25.0
