unit_id,ProductTiter,DissolvedOxygen,do_ChelatorDosing,do_set_CO2Level
0,16.760647132328554,65.2382107374582,75.0,75.0
1,12.53669796079003,65.49602679519307,75.0,75.0
2,15.87691555318482,65.23444905989321,75.0,75.0
3,18.61640337265677,71.7599290454949,75.0,75.0
4,13.446220337526265,68.16711801326655,75.0,75.0
5,19.046770931562133,68.22383871592939,75.0,75.0
6,15.629542833039741,77.28462326614749,75.0,75.0
7,13.060700485948953,73.28980525911601,75.0,75.0
8,17.232709081917402,66.04875169570454,75.0,75.0
9,17.379869536539726,85.43857690734326,75.0,75.0
10,16.528693568205256,75.23792376532816,75.0,75.0
11,19.457297540517303,63.23826800057867,75.0,75.0
12,18.47351320737372,91.87467755690099,75.0,75.0
13,14.333800146078861,57.645032855868195,75.0,75.0
14,15.697462331282525,78.89487434987912,75.0,75.0
15,12.751681896426927,60.24656800714674,75.0,75.0
16,19.439728367411707,78.59781526711566,75.0,75.0
17,14.26498186153248,66.45093832776571,75.0,75.0
18,13.314733383778176,73.06251085251859,75.0,75.0
19,11.005933226560277,68.00640738703287,75.0,75.0
20,22.745556404459066,86.7965654176949,75.0,75.0
21,19.928164606348222,82.98317512959433,75.0,75.0
22,13.280134701311328,62.953184224397724,75.0,75.0
23,17.582102328063307,77.6972911884906,75.0,75.0
24,28.097384848483852,107.83057556091717,75.0,75.0
25,13.897589077106243,77.69748709745153,75.0,75.0
26,11.665880377898844,66.73345664794009,75.0,75.0
27,14.276409855873355,82.7245150971886,75.0,75.0
28,13.618713724331553,70.37451096795836,75.0,75.0
29,17.480518841552758,71.52538084057575,75.0,75.0
30,22.513593723328313,94.07798954855375,75.0,75.0
31,20.031542303562397,79.78388120680515,75.0,75.0
32,17.643387143334344,91.074082273196,75.0,75.0
33,18.100878592749368,96.49711242335458,75.0,75.0
34,10.877736975401405,66.76813457293588,75.0,75.0
35,11.728724158265507,72.17231984852108,75.0,75.0
36,16.594554062500773,82.5154234571938,75.0,75.0
37,15.670437218874318,71.2218709469142,75.0,75.0
38,10.772545614330364,59.035332511499874,75.0,75.0
39,20.682963529700025,89.27932872625782,75.0,75.0
40,11.349196373084245,74.0955406811855,75.0,75.0
41,16.795429430275117,86.6325176537603,75.0,75.0
42,9.850721905514776,60.12036852463279,75.0,75.0
43,22.83564185816401,77.45246333126755,75.0,75.0
44,17.522602041936416,66.769490051901,75.0,75.0
45,15.059605283821362,64.32348449245318,75.0,75.0
46,21.6361179348369,90.23193451513414,75.0,75.0
47,14.802049081232429,67.64513617109705,75.0,75.0
48,19.94205337766013,87.5041837821485,75.0,75.0
49,18.084807256086112,92.49755069799802,75.0,75.0
50,15.278007166088074,72.37840388008078,75.0,75.0
51,19.729765096678264,76.85408860545326,75.0,75.0
52,18.255381075752855,79.84655864342946,75.0,75.0
53,18.412911760713175,70.81530129092468,75.0,75.0
54,21.240053956547374,76.76460664989449,75.0,75.0
55,14.18894374759766,79.89002051836214,75.0,75.0
56,17.119954054070657,78.80982436912896,75.0,75.0
57,14.99922058679164,82.13588119908071,75.0,75.0
58,15.960509709575462,66.91147086749504,75.0,75.0
59,18.88445034868022,88.07780183345773,75.0,75.0
60,17.48734084656628,73.03636961608836,75.0,75.0
61,18.807806149538926,79.10017012771951,75.0,75.0
62,14.370394916887994,76.57436067713984,75.0,75.0
63,16.98771623022889,75.11796541636836,75.0,75.0
64,13.215129830798531,67.13809462009593,75.0,75.0
65,18.921772377818247,80.83464037438424,75.0,75.0
66,8.920513930744773,61.64539086188196,75.0,75.0
67,14.943919627479572,74.92681682994458,75.0,75.0
68,13.29694143811816,61.58460090567177,75.0,75.0
69,22.10174375853477,87.64407043022086,75.0,75.0
70,12.216905987466681,65.10589343476775,75.0,75.0
71,18.413356663686454,84.80701778844397,75.0,75.0
72,21.455022902815145,98.99013506859865,75.0,75.0
73,18.650401818239164,74.6548662215644,75.0,75.0
74,16.95006609673878,74.13631627647361,75.0,75.0
75,18.01421622480335,83.67517184067106,75.0,75.0
76,19.326212000193692,75.70788598928084,75.0,75.0
77,20.36886464879228,76.85271803338624,75.0,75.0
78,18.105111484374994,96.02829335412002,75.0,75.0
79,18.56845006623234,71.81382015942033,75.0,75.0
80,9.21112586260713,54.89520864319843,75.0,75.0
81,16.171947351712255,75.47787107333595,75.0,75.0
82,18.060433910516164,88.68794582915696,75.0,75.0
83,16.86114153956396,73.62257077963423,75.0,75.0
84,9.046456705606541,62.382332771533804,75.0,75.0
85,26.677073105790353,94.43291399178732,75.0,75.0
86,17.178049601958005,75.19548567997205,75.0,75.0
87,18.19548210637945,66.16389678791231,75.0,75.0
88,14.950805541063701,76.87598576068689,75.0,75.0
89,20.951684515526964,84.32138749470248,75.0,75.0
90,8.902574230281807,71.86619959075851,75.0,75.0
91,15.699250614821072,84.68748519189654,75.0,75.0
92,15.641574480685689,56.634957123168405,75.0,75.0
93,8.191794672176073,69.85782917993747,75.0,75.0
94,21.25132992862575,70.86353253949248,75.0,75.0
95,18.800748831691646,80.98526597058,75.0,75.0
96,13.473791293293814,75.6216874195551,75.0,75.0
97,19.473852981066315,79.02369810487335,75.0,75.0
