unit_id,ProductTiter,ViableCellDensity,BrothTurbidity,do_set_CoolingWaterTemp
0,25.5475569289304,75.27152833759408,8.755648428198878,40.0
1,27.243578148214308,83.09629060846298,9.449142000139265,40.0
2,18.92940452694088,64.1799789630793,9.60331358347458,40.0
3,29.0577439138571,89.95525717514661,9.788861408434572,40.0
4,27.875429753558304,92.42666180799888,10.050872306382496,40.0
5,28.599119782445136,93.67342936777082,9.903442312775148,40.0
6,27.48924354233489,71.20757808419017,9.85596106457117,40.0
7,24.60718595038526,65.95939723083724,9.685840815968477,40.0
8,26.57493349545078,86.02566514779794,11.07655948381114,40.0
9,23.90818559902653,74.30502800056873,8.822676850755087,40.0
10,27.494353102349272,74.6225346616269,9.647948444764381,40.0
11,27.793990131634075,80.21790952575404,9.961096310509781,40.0
12,28.53672583169889,70.66267365427247,9.325951562995364,40.0
13,30.838968027650964,83.03833183726158,9.575145194722937,40.0
14,18.471313128155003,72.63373478482293,8.621003201174577,40.0
15,27.524074725909674,87.09255374326555,10.228564409611765,40.0
16,24.02745632783009,59.79273383599202,8.468976917269032,40.0
17,24.27296377777382,80.63952188872997,9.217301041068273,40.0
18,27.583965645117402,72.81619800870158,8.631105434860693,40.0
19,21.09500512467146,73.53675861686706,9.57521575324695,40.0
20,23.39883609388064,84.87380763631876,8.762344810039316,40.0
21,19.988434704631388,69.09425322973733,9.171106219289284,40.0
22,30.969501505164633,91.28844302832411,9.571989127849413,40.0
23,21.579439875138437,81.86688453517645,8.414048036919805,40.0
24,24.548963860075418,84.51402697968076,8.881112661965178,40.0
25,22.966591489740367,88.06458318480809,9.403564022170183,40.0
26,33.62282009551213,83.799045824564,9.047158838052308,40.0
27,22.352784644143814,67.91176229284335,10.158004440906417,40.0
28,23.35149840800669,58.07944590979477,9.471698115889266,40.0
29,24.847565825342997,73.31682967961713,8.78759774753972,40.0
30,27.00930697137412,93.63395699565298,9.707862602161013,40.0
31,24.99566356653409,64.23848840050249,10.235108209010612,40.0
32,24.91342466728141,84.204610643385,8.660897382160613,40.0
33,21.51492093734092,62.73428228824444,10.528935682482386,40.0
34,20.837580005805776,66.96056332463856,9.745606387662873,40.0
35,32.05090040190569,95.02094967971676,10.387776315327859,40.0
