unit_id,ProductTiter,Temperature,DissolvedOxygen,ViableCellDensity,do_FeedWaterFlowRate
0,26.684971331550862,65.24664318231534,64.47218829799777,72.90082423865343,5.0
1,23.023968987824862,66.32311340412078,63.0822918338374,60.77499680416718,5.0
2,30.904082689609794,52.694930249399306,73.3216316465103,71.46820082278377,5.0
3,19.671880742002205,35.73031052147467,72.62004228695393,72.70964175818565,5.0
4,19.361670544170263,84.90895909997016,56.01374466751733,58.42692509215902,5.0
5,27.508424921856836,56.98431954108433,77.22705097830962,70.98713968561248,5.0
6,31.53441031812376,37.1726309719137,69.38655650096571,70.45048475138363,5.0
7,31.7771939879608,73.00321067789886,73.52616575203966,74.73693522356209,5.0
8,34.21516036022571,51.04087423728474,69.55445871417925,63.883548191141706,5.0
9,30.07397474702065,44.58755224046258,84.68090694597828,82.98389155214225,5.0
10,25.57181069720813,52.88012886210708,73.39456726642595,61.19021759983328,5.0
11,39.160690449490225,66.19220382691424,98.96407418591788,99.58200695460138,5.0
12,26.419295177826736,60.38035640464112,73.48260089944439,76.82973702042122,5.0
13,25.649477829974234,53.909684850442176,79.26824816939867,74.07324707854181,5.0
14,26.082853437691,27.000078911423657,68.6369810809194,69.81482978958455,5.0
15,24.238951401471034,44.532566185580144,79.88501877476098,85.87344911751636,5.0
16,43.51539308144796,51.06484539124445,97.52381230192383,88.71769170003964,5.0
17,31.71638401636407,42.032296888397504,84.10922596272673,71.82570177533067,5.0
18,37.40116938903484,46.32724901494396,89.15085693787638,89.37249028547487,5.0
19,30.261539520190446,71.2734319183109,83.68852883317206,86.15537181507982,5.0
20,34.496183552645775,33.444691816085,80.59374859161274,73.89705638632076,5.0
21,27.80505905117448,38.711760617157864,82.00596774841762,77.25210580009538,5.0
22,33.87526542541415,35.52211709198396,79.35357083522827,83.39430994364673,5.0
23,27.75639658974097,36.56159923571098,73.95377201786508,72.67537353860864,5.0
24,27.016083869431533,38.49985144463037,69.80896107524858,67.5848516252899,5.0
25,31.993866413916404,51.941579919841615,83.63896824371704,75.72220152908707,5.0
26,22.417117247098147,47.190122638899034,66.03192553894387,61.190148437506295,5.0
27,36.218974371730724,60.5238336435097,87.5011474143265,81.79329901591632,5.0
28,33.089206152265305,46.87948254046944,85.97779957395451,85.20610139309618,5.0
29,39.78972629448887,36.66609265531011,99.16462250345289,96.0672251351618,5.0
30,23.328326492071827,39.642768150950914,58.60285643312726,66.913718475468,5.0
31,41.13498141772316,81.91589809000463,88.9851103627556,98.17835197661985,5.0
32,18.413675200310195,68.1938737122168,59.90664353415535,58.07768695208913,5.0
33,31.492268376630495,54.656588039001264,77.61779276795211,72.18628164814535,5.0
34,40.88903130931415,48.255291991044054,86.00770186415221,83.21017896601784,5.0
35,21.755230347901705,38.43279477137146,64.11949664064706,64.60577123014961,5.0
36,39.10519602236011,66.8695564238418,81.28389675784398,89.31414216515368,5.0
37,33.2210822626979,65.63880715138686,80.65958717643491,80.90302131020911,5.0
38,9.63352124825879,44.78856986455456,44.45534534104792,43.37612121250119,5.0
39,21.208044041849455,33.21888317503696,67.15452487713391,75.49434697973031,5.0
40,27.649818213078486,22.6483938858992,58.4839422869537,70.06720450164735,5.0
41,28.48127215692504,47.723778658681766,73.28846197002053,66.2277182744642,5.0
42,32.516252943903424,64.38148125127466,71.67706938122126,77.86127989659711,5.0
43,23.267381130021803,57.65006544035976,71.64135631045964,69.75750228527986,5.0
44,31.506618403354665,42.55777721818027,76.4414477989893,79.509191785845,5.0
45,19.810531343223417,43.644513582133705,67.66819579506723,70.60246935365983,5.0
46,42.7305706442999,51.15653771090232,92.88400015246732,94.61220639233848,5.0
47,21.291152982426894,70.7453386741528,72.04107417982284,72.43906258868209,5.0
48,33.51771547522516,33.42675648809376,86.55441288159409,86.07371730568745,5.0
49,30.099754390238683,64.97308917651215,77.30456672444,67.74714680662657,5.0
50,25.469481455944102,62.60685536139149,72.89725718584552,78.18156083221245,5.0
51,32.241705858085695,76.50175910078272,86.4786944406541,86.84080606543847,5.0
52,27.62223788992666,78.29582306391309,74.52713615014659,74.03228452063713,5.0
53,33.138851950362216,56.176288376948996,93.01321153333006,84.98626658318594,5.0
54,29.228477249821026,54.2950843190743,61.532332168616186,60.59707772342495,5.0
55,19.378343174925423,68.19198216303789,57.18367789634706,66.55928722535272,5.0
56,31.74704772874512,36.771637315442014,78.13763294840125,72.6703482810817,5.0
57,23.77122602341808,51.98360788504316,73.88679315118172,72.55042993320326,5.0
58,24.688666553753805,44.70591485362946,68.02131122178672,67.50250571635559,5.0
59,24.17568350217162,54.29771575526753,64.61542846179249,70.28205128594553,5.0
60,24.806634191059068,42.87513262290361,70.46182367575538,71.65119458564277,5.0
61,32.43915795052767,61.78926891922978,82.89785206413688,74.91492712531388,5.0
62,34.578817918384864,52.1136709932025,75.22046080402968,80.26101079054804,5.0
63,27.200683365714056,71.64076198079016,72.90512639614656,67.4817520501354,5.0
64,25.196238903206286,63.20835424057383,82.39943689801724,84.25973699232138,5.0
65,23.060755738338564,35.134757457776004,72.71517680093082,72.68803269429047,5.0
66,30.009161531197734,34.25697942514395,71.79505553187659,69.37103719211012,5.0
67,21.028093747545608,45.70212531854281,56.16552759281824,67.4787373734132,5.0
68,16.73066452217264,64.39962793215997,59.32237516904441,56.13956662482449,5.0
69,33.38687657964963,63.25536993490015,78.10570372776529,84.227859950179,5.0
70,28.59029483465628,17.089102868273407,69.61038165573174,71.3923499999344,5.0
71,23.72787241879486,48.12413181027101,73.27620828817757,72.71247229955723,5.0
72,16.962129051772543,68.76894011145664,52.41320457153355,60.04290819826258,5.0
73,28.770542266029516,58.015723264568045,85.36052266989053,79.24640468376495,5.0
74,26.15352942342989,61.63857690951275,66.04163999021327,68.60477960601511,5.0
75,22.966636787551266,60.59562579486169,53.53160168629264,59.7514292673728,5.0
76,41.410336641250744,37.076949216521264,92.93911644924762,95.21762630443617,5.0
77,33.838007993288045,54.86754705874918,90.21094185994627,94.73534351056954,5.0
78,31.556897241993195,44.138367392678276,70.22087156464123,74.0351798780336,5.0
79,32.89619596820768,42.66434687968744,80.84305847030895,81.4552464991211,5.0
80,30.730578155853255,26.310062161736855,77.70032047789459,78.33613798914566,5.0
81,28.59680263046198,29.125165416665467,81.36836887299518,74.02650553940273,5.0
82,33.74425499985556,67.07306133645653,66.07705293646642,66.82693053426803,5.0
83,22.913150170699026,87.24902023894936,66.62792554706671,65.80174297206229,5.0
