unit_id,DissolvedOxygen,Temperature,ProductTiter,FeedWaterFlowRate,ViableCellDensity,pH
0,101.68513913374407,62.94006564273165,45.59423573049443,37.1879808357494,108.02042650836071,35.924884242344234
1,83.35861934008256,63.396042858385776,37.41019744727683,11.156827395203226,95.54952821388223,34.48198401337971
2,91.18541774875722,57.00856386594805,39.11049639128337,15.760516324027048,91.66856747662894,41.61960839646119
3,67.73751603310991,66.83498413869883,21.755094669717188,25.715773202394125,62.92894409970411,28.660939749199372
4,73.01486540259742,79.21094609566276,27.017088875745348,27.497745089504143,81.516783835518,48.193078482256055
5,65.34026810886924,81.37957284758022,22.058630715192834,44.87444540912557,64.66414212145543,59.05902022621856
6,71.8593094015009,68.42584515822745,24.735544090969036,30.04654121731084,73.29156874142033,40.66233963975751
7,61.60734569830194,68.00308429755567,20.986427389007414,42.96981352127878,62.53166506095673,28.06660455107254
8,83.6039945772796,74.89042712840525,31.17809433879279,35.93482632629376,72.30565873998626,44.78262781709524
9,85.44059032289668,79.82591727678981,37.42197220852918,34.57460422097005,90.69220941445371,42.10303070361378
10,63.806831484368736,68.74586833792593,26.01115960248488,28.331997396267383,63.497614053865505,28.663776424190093
11,67.52338863855968,34.25660569450782,-0.7807523283293949,60.27270618169014,62.88381419770468,47.46294235358562
12,81.5142733093467,72.02113396408649,33.375314647679765,44.094572921650695,82.78456476862661,63.687852581184366
13,53.02300241406903,48.48899675309133,0.9775581197628951,52.967156406105,42.821504913663915,48.491245141855806
14,81.11589401485583,81.53592573450068,23.549811547401465,58.02308567761625,75.94341549665754,54.932803188703204
15,98.13822159871154,42.51706598216386,17.272252562991753,54.57459856110239,105.32053487072794,54.080042864436564
16,84.6243535633669,49.15320715525009,27.093150119717045,48.37343628942548,96.08846307279616,2.2644202264174824
17,67.6659304013101,46.22987021129222,19.986496795417306,48.264243786133264,61.794202989743226,48.54074336527008
18,77.9671570771608,71.59090185590736,26.69988844219086,41.83986440450635,78.91593678451515,57.709830081509445
19,66.68404775625386,67.09354974373849,20.598354169870362,33.91271970190693,70.13644331863,45.278070738195595
20,100.08844164397803,41.33455115718501,15.769555835502606,68.53092954059218,95.85826001692283,40.445880949056814
21,68.98912804031016,57.66679724230911,27.05309835656544,28.9485143384474,74.17656671621054,43.07063522639536
22,56.82041639165971,68.7201495543538,6.3235594857644095,51.746030565055186,60.70362085624247,66.34629524168474
23,76.54820362776128,61.24957917539108,28.11143898597941,41.85800661056602,77.88015311722228,50.80255394716676
24,67.69489419796811,69.8493154011791,31.294210385781668,53.237417573749454,77.3524703565484,44.56015483296812
25,58.434493346875264,60.85788348361354,8.314205405119807,52.36886348281867,57.33209653549949,59.816088475141335
26,73.56350647913119,73.60483066822117,25.773935974616712,38.670418545145424,71.60916883204347,59.777520551267195
27,66.07438915553664,58.14855179734457,13.28634893828319,49.84800025368772,79.21438894777046,61.476497520245644
28,78.1242255235717,57.25147285378684,28.864367696085857,49.29627073211323,76.04516297103697,39.27176148922916
29,77.58139993532097,64.61778754851923,27.71385379946653,44.044760440712935,74.8329694520298,55.25861208425575
