unit_id,ProductTiter,DissolvedOxygen,ViableCellDensity,Temperature,do_FeedWaterFlowRate
0,17.30928001390516,59.6225364321725,57.072764502378014,48.49700504913696,0.0
1,40.64345806224078,90.2951838866142,89.5690835895432,78.44448439786848,0.0
2,22.172734277878483,72.55870490550431,67.20420891155527,27.63288078586451,0.0
3,25.502285592555882,72.93766101605448,67.31256543408466,54.1674778934201,0.0
4,19.974813704425447,51.83770783565162,50.75822607847725,64.58954908439236,0.0
5,15.907128746093882,52.47068976847864,56.38953850920595,71.25637467849259,0.0
6,25.26534993876689,78.4295408361045,76.27684560080759,46.01073758631102,0.0
7,41.21534264060642,88.14960405056769,87.11293239079001,19.056440146451283,0.0
8,26.979873706672407,65.850154613788,75.24837102618696,34.06253978814585,0.0
9,19.579632659224295,59.56633871253931,65.81695692294886,32.30984749798499,0.0
10,25.28737029779743,72.53160853726735,70.3188592908564,46.63430774453545,0.0
11,33.47443323491886,80.63528742204879,83.38202698131774,72.68915331110588,0.0
12,26.05740882369344,66.03978894592969,68.540298350799,47.51341706790986,0.0
13,28.64334236610311,76.50714936087567,78.01154745125065,67.91540282274286,0.0
14,29.26587040901117,80.86353622617199,80.17475369958382,67.11323851051435,0.0
15,21.552800784022512,62.326346857279425,63.6733621406166,53.83583874038854,0.0
16,22.2203706811651,63.50363991291475,63.028176052723445,67.16305728412134,0.0
17,31.89655100589349,88.1141295137866,78.49567939239213,42.13077803979079,0.0
18,27.954509965989825,82.97277076009973,76.88928178323663,10.233527146493872,0.0
19,24.69370297555356,69.81496617351344,62.17212594260709,44.24690270383159,0.0
20,31.72118817562107,73.96523638177446,74.13128848282926,56.07190482363281,0.0
21,25.722429491957993,70.76075872051257,67.16705859468516,41.65061241530091,0.0
22,27.562248743819982,76.12261350554992,75.43794667404835,46.92150845174659,0.0
23,29.5448347037711,63.92818227772314,63.73818685154688,48.83349738364653,0.0
24,38.0441926433613,95.98300859570136,101.29980722413106,27.827256971509254,0.0
25,32.89307634380449,76.79864286204868,83.5572263594916,59.97437988979887,0.0
26,28.899184362939785,77.33027571709243,66.10924395780994,83.66942180919888,0.0
27,35.52370282171935,92.77275693351656,83.59632889014364,24.557399688128317,0.0
28,19.07881953850393,63.25886329211195,58.52099761603046,61.9166361987782,0.0
29,36.029509838748666,84.68892629272297,83.89756026346598,64.36637407570122,0.0
30,38.973817713799164,90.22312247169074,88.25362383990837,60.607938420466844,0.0
31,35.922774373822335,85.53881277608953,83.23940431321284,57.651211285905184,0.0
32,33.49359315344297,73.57155379389417,81.04405527022062,52.04783573870608,0.0
33,19.89345761756216,76.22012468706497,73.73012189271941,42.66547419609537,0.0
34,22.55475749903812,72.0542696300321,68.72060625204605,24.540324031426536,0.0
35,33.32027728386781,75.98382588570458,70.86702071896087,36.51268578657163,0.0
36,37.49542139683479,88.76542626021947,91.1691540969329,34.78296394998321,0.0
37,28.033569188258593,81.4733365607714,69.58226175309646,77.88004927696296,0.0
38,29.181387857244555,77.41201153574978,72.99014292511607,61.47481922684465,0.0
39,33.98547019147353,71.09533008702007,77.08227215301767,40.46411838363888,0.0
40,31.111160637857623,83.2016646745983,83.44323307223864,51.05713963879721,0.0
41,37.13971272548825,88.13624817986091,87.69619970355895,42.31936618926543,0.0
42,34.71511939276434,94.42032483391043,91.5611692270148,67.85038074222318,0.0
43,22.194245202957198,59.16602354064707,62.344894512973184,47.85665098421135,0.0
44,31.583104282592604,81.89831577664748,73.81340668037957,44.35511066479876,0.0
45,33.81808616755563,85.30903983651882,81.02311178916224,41.47170910912318,0.0
46,37.32932900293961,84.52640167518898,84.33068388707066,65.40579253311549,0.0
47,24.580726458621246,64.14756305790912,74.21768199375246,47.88245237305583,0.0
48,35.144877326761296,80.23741280685208,90.14771954864219,58.6476829481852,0.0
49,28.37842023956457,74.12840135933348,67.5541457358363,37.4618419249963,0.0
50,34.373897347995225,83.48297120401092,88.57993585210299,33.60096439030833,0.0
51,41.55764125443766,90.48952842165338,86.62052458869884,73.85441777914536,0.0
52,26.036014005180913,62.08904696935601,60.992236334836974,64.3333978311309,0.0
53,26.41694356285586,75.21382377782447,72.2622786129016,70.12764889345367,0.0
54,25.056383365147358,68.26823421574959,71.65370580651833,38.66952379956785,0.0
55,28.432759244953772,68.72240822254466,73.65923586186004,51.02304378689273,0.0
56,18.925251285963093,63.37495370244893,57.270882734989094,43.33871768806182,0.0
57,19.814522553019966,56.79997354219085,53.399950355770244,62.81471578099372,0.0
58,20.70797902744718,72.2176991529041,71.53590766235737,30.248651170282223,0.0
59,32.03078117710344,77.56585091050904,86.34574863663644,45.429286518135974,0.0
60,31.87764953451982,67.21247240763087,73.01536802070453,32.34199701988527,0.0
61,35.62620051150901,89.73860381566035,86.34235163373376,48.05447169096104,0.0
62,42.45735054714451,93.60850532044458,95.14016215022544,60.23864245974503,0.0
63,34.403793596339604,82.15030513381713,86.81666524340737,33.46493996533948,0.0
64,29.89936666318499,77.50175345025056,76.28402115262806,58.399171422766166,0.0
65,25.479997257085216,69.82035538893014,70.57290610824094,46.59247396788399,0.0
66,25.172637783563715,80.14640782052378,72.72428621332921,51.41843345596433,0.0
67,35.37033055155894,89.74083012812369,87.06748666609734,58.97666349572378,0.0
68,20.001176136197355,62.450189830306996,68.57435866208863,24.300954928175596,0.0
69,10.00190996031213,55.08632701330161,53.46014191889652,34.60463296249154,0.0
70,30.795798738961544,72.28614236232083,72.33607818878198,16.81834097437985,0.0
71,20.218652816577535,61.621622162316164,53.95377395063153,48.87413956830789,0.0
72,17.08247728702072,68.17669646181474,61.127176744584865,61.25540768434666,0.0
73,26.624635961072514,84.83685755680096,79.39594141505115,62.25684313571967,0.0
74,33.03572221059262,77.9850021468826,82.50586445463631,38.238417155015696,0.0
75,38.05306912086527,90.4659153825577,78.39630438597482,71.64240785335987,0.0
76,21.787768234634786,67.81532563693175,71.13048788824182,33.684907955466876,0.0
77,27.006024600980147,77.66613881705352,79.85733912377515,42.76872106713894,0.0
78,19.31227405236515,55.75851936972801,57.95299890678548,32.590850826735576,0.0
79,31.92188121417012,75.91307994678967,78.56730624025288,70.07346240710348,0.0
80,18.939482546208477,65.78522984522637,59.475108641168276,77.41164204865981,0.0
81,32.6590425687543,78.20736316683427,75.29880211440575,34.05584533837497,0.0
82,30.151829985269046,63.13590566910574,72.47720938374108,43.35909042147911,0.0
83,30.623922418222058,76.73085401693818,73.63090167977509,39.93396429924864,0.0
84,34.10962978038219,86.62079951360005,81.45405721397731,36.00654079252321,0.0
85,23.83121376715245,66.01755507699022,62.09418920534574,38.84728356589219,0.0
86,44.3855547369228,101.85830276217469,98.67215112256356,41.49882158642481,0.0
