unit_id,EthanolYield,ViabilityStain,do_pHBuffering
0,35.65974041820201,7.107176229049055,100.0
1,35.19055538514599,27.587891435280593,100.0
2,29.24386830867269,-3.261709769299367,100.0
3,36.41290915578406,15.35751492197813,100.0
4,33.3811539632612,29.75771974755321,100.0
5,39.336109474691575,0.6627204805789031,100.0
6,39.19612712316791,-2.9986030361476192,100.0
7,32.11762861264995,-29.436569792489884,100.0
8,30.637841759787165,-3.6281334429812127,100.0
9,30.294433686017467,19.3990990393435,100.0
10,20.353805993214756,24.264179553671795,100.0
11,36.3503158499137,-8.972772496741804,100.0
12,37.66854563330651,10.603091031479154,100.0
13,38.425433127562926,21.002700369988116,100.0
14,37.928109296131375,32.1454165006121,100.0
15,44.261265526059425,22.702196516732975,100.0
16,30.365586363303624,-7.004781483660704,100.0
17,31.864345660112985,-12.89419161586385,100.0
18,35.753904972210286,-5.555863705545228,100.0
19,35.09882036735353,37.21442436506152,100.0
20,37.34670537953973,7.286451910930857,100.0
21,34.52402265912515,5.598120969208834,100.0
22,38.339720550606394,30.64002169346829,100.0
23,43.71408988855356,-7.482581343792653,100.0
24,36.1989000598715,31.436175767148878,100.0
25,21.422225707076613,-2.394962788085225,100.0
26,43.97804751313403,11.546168493399671,100.0
27,36.029565060767304,29.786582043770448,100.0
28,37.39302522355346,-13.857952266065208,100.0
29,33.81277459985254,13.82993464526427,100.0
30,30.830753433360716,6.936824767660731,100.0
31,34.3159986016032,-12.945129049293211,100.0
32,33.75094844157332,-26.681316244368823,100.0
33,43.041887138988436,11.712250899963017,100.0
34,32.39730002596222,8.427777901527156,100.0
35,34.262344895140615,2.609303205634699,100.0
36,36.206474569402836,12.856146931626363,100.0
37,41.89783340854014,18.962270437872128,100.0
38,23.69560428192998,5.170543917076738,100.0
39,43.62338689007037,-1.620585070058528,100.0
40,33.332728409498976,22.21615049052695,100.0
41,26.82832408142581,16.43837326972148,100.0
42,46.71109222351058,3.385135865584652,100.0
43,38.14578837395982,3.0292897566581107,100.0
44,29.683289459180102,15.166502458974296,100.0
45,23.871395586078304,-6.909186843994053,100.0
46,39.20241233770135,53.719683017972656,100.0
47,31.820163239638106,-2.3421993552154525,100.0
48,36.866296724492145,-1.6228277776457602,100.0
49,27.780576663030338,3.398888292558067,100.0
50,38.32411823724585,18.032169015019974,100.0
51,25.43031021441899,-9.842262910958514,100.0
52,36.97841557607275,3.2285070917417595,100.0
53,25.62406735884406,43.31637006139831,100.0
54,33.37690948265918,-19.73488930411978,100.0
55,39.25191953659107,23.407791728951658,100.0
56,24.993316491852912,-12.707708450493854,100.0
57,37.38781346690552,15.011168291796029,100.0
58,42.9134284638677,9.610264862743595,100.0
59,40.496446294879306,26.100162648887707,100.0
60,33.73470605061479,8.007469012171878,100.0
61,23.873679828017746,-33.27331308149638,100.0
62,39.01322118886523,32.39445959562643,100.0
63,42.03753100701629,13.159536910173156,100.0
64,38.28999372366721,25.630746449216442,100.0
65,21.669960037261436,20.46604077296661,100.0
66,24.18483471827484,14.846004445142608,100.0
67,38.75131847805723,4.293158409764777,100.0
68,33.226236003420354,-11.142504722381563,100.0
69,41.24350740819373,-24.633173420056572,100.0
70,37.806917812750235,13.357936433971645,100.0
71,18.82866997641894,20.11114936413726,100.0
72,33.306081498362566,-8.070088234237144,100.0
73,18.021974240576448,-0.24184418393934948,100.0
74,39.32701287755871,-0.44866134964915716,100.0
75,40.09999098611957,8.64480305008469,100.0
76,30.338706330961053,27.749992044176246,100.0
77,30.02275899418488,7.08200125277851,100.0
78,42.82629682854652,6.505694389626756,100.0
79,29.850006603470128,20.1955743276601,100.0
80,36.745230440617284,-7.814356770020186,100.0
81,40.26167415717023,14.668291583064569,100.0
82,45.99603111378681,-13.98376631428319,100.0
83,32.93451763133107,-1.1587604062596313,100.0
84,33.09445968385822,-20.071542427928346,100.0
85,33.31311674822037,39.179020623745416,100.0
86,36.091551924811014,-9.383741895224645,100.0
87,34.62447309561193,13.011866312625521,100.0
88,19.35368716682978,24.289297090423233,100.0
89,28.538331580899467,34.24438130702826,100.0
90,18.201767313181072,7.695357415578487,100.0
91,40.97215865504149,22.908263585996767,100.0
92,46.773014786781374,-2.9730600243637113,100.0
93,33.46703725714974,-12.030265401598871,100.0
94,40.780127208864016,5.066905734895881,100.0
95,45.75712685414651,-7.55206691647361,100.0
96,26.801965833658354,14.652984010952435,100.0
97,41.00542764378629,5.556952530615457,100.0
98,39.79956750748382,11.597342676804276,100.0
99,25.40053025608072,18.39878918716081,100.0
100,35.37837779172137,-12.061383700172335,100.0
101,49.05310339268105,13.730011967876948,100.0
102,30.778795964727465,3.9240737957529594,100.0
103,29.96135143716899,-4.375748926687729,100.0
104,32.955732051311436,-19.840712629401903,100.0
105,35.84397638865245,7.123838686712585,100.0
106,36.799615898505536,10.523172298751117,100.0
107,47.91610158936995,15.734661648716223,100.0
108,40.718148890724684,9.412919929407348,100.0
109,33.32817229364512,29.569205912478218,100.0
110,38.612130036032696,5.633071380254449,100.0
111,26.20979327303491,13.031301998909537,100.0
112,24.554273668612257,-6.625949279102338,100.0
113,40.796424155901285,6.774299350727729,100.0
114,43.028127861500344,5.5647288969572095,100.0
115,35.06540760210003,-6.374122904210937,100.0
116,43.691362553891636,-0.407990643707544,100.0
