unit_id,ViableCellDensity,FeedWaterFlowRate
0,37.865744187954114,52.89297766695859
1,43.280260476699894,38.2481623121047
2,54.93578814844547,37.74614910891329
3,68.66679496746501,51.576932946071715
4,35.81809855503825,39.636235325993475
5,38.84816281280636,51.2554392393119
6,43.62021836045864,30.96952670075011
7,55.806752636052266,30.549946449723546
8,44.88880863781562,39.84439958834506
9,37.48671446552786,27.789195369112445
10,43.288106369502025,39.899154933219975
11,75.57364524640174,50.2446222765529
12,42.79108663373472,45.32234985640349
13,58.3576510331919,38.481823560430925
14,53.62934059899042,40.67115559131312
15,33.70690897798512,37.94699784919287
16,43.13942453978502,36.5136839249633
17,54.04479772273394,31.189667099412212
18,29.285642467240464,41.819898162591834
19,29.867690712134355,33.035560777266106
20,31.48208889832185,36.44529206536254
21,35.4190297943565,49.75606603480749
22,25.25355756100956,35.146118406649435
23,37.75032724225105,43.90725163905665
24,49.837503521458444,38.58635440278913
25,52.225163282088346,32.1278384415464
26,60.355780064202904,33.09136501544464
27,47.66330489126595,48.35974772049948
28,67.66052349139532,28.89476377608689
29,54.191377871564306,31.87339892445988
30,57.596548130180274,36.254495370457356
31,56.39999537456199,37.363641189648206
32,72.58905943586615,32.73273295887184
33,33.05166221796364,58.452331151967414
34,62.45227216074628,59.518620619615874
35,58.04430072705508,37.374786180535914
36,47.69605460994537,42.013082712476724
37,30.220592079964888,52.11548683834451
38,46.018256856852844,49.73439573857312
39,52.35863003652969,52.812617924485544
40,41.27434472106175,34.382587517900035
41,44.08763722272903,30.903262558841625
42,63.671693740995906,50.143621994205155
43,61.955705067874376,40.685204709697594
44,49.286222090853165,52.557978020254865
45,55.84450626674577,38.42649685998891
46,52.81901529848625,48.30890437532393
47,51.0145446078014,42.1657527777537
48,66.35935982834526,49.77424342404134
49,33.92253974918282,36.33005209772439
50,59.349604771519175,29.70303104006907
51,63.110398640615735,46.936400382851716
52,54.836238620995296,30.477568040039348
53,51.11034129019878,42.684928882743264
54,34.01269402164287,32.100333082908826
55,55.367709307359895,42.146676451315116
56,31.998724536662092,29.022097844698358
57,51.372258894793816,49.31034551709922
58,45.37174977171841,30.780934061615298
59,53.51075819406597,51.758952783809164
60,45.06742660272316,43.69959300173092
61,43.75499045451133,47.62729968067387
62,22.29761472400039,42.01863128967819
63,30.137882902378752,33.24321553512266
64,51.13602285553658,34.28520328947466
65,50.27477216541614,41.43542508826013
