unit_id,EC_Salinity,PARLight
0,38.957159527929214,42.604747511433274
1,41.98789286995854,59.80334607689226
2,38.12644058950461,55.78211743026803
3,49.45086580948126,77.7665350967355
4,74.75946925659774,22.429965434080856
5,44.48483269470166,51.92928182270775
6,34.70563200039149,43.06105824013348
7,86.8451206727098,46.7331961413504
8,62.45113294716746,28.139133909004794
9,54.75184114897803,46.383330408048074
10,56.874887167658024,40.67295673312524
11,36.65253445695214,38.47105602866389
12,62.870831635250696,52.60770690859263
13,28.579351234097786,48.6237919644694
14,51.47015628247482,76.27426197971701
15,52.14588032939434,64.65566361834529
16,53.5317658178399,58.91215736728658
17,61.97825298321421,50.375196568487056
18,37.04164196695778,39.3162116209841
19,46.539138300522445,52.34810405927819
20,29.389603140249196,62.448455002234226
21,47.00806465206061,58.45418895266333
22,68.45282318076744,62.26400450310174
23,24.733396281776496,47.38478315304339
24,50.54654346633389,48.17405305097442
25,66.4456722984102,32.81766556979005
26,43.85819928593983,44.608282671840506
27,53.59646997361585,38.64565040747644
28,60.66367708433638,48.62688454867917
29,38.228525389963785,33.86094181875521
30,53.458392765760166,68.06329413759093
31,32.55958077416091,30.07046792970242
32,48.31354551678408,39.33028354941911
33,40.261891382455254,44.755279512991045
34,61.07752112065189,66.03760197675608
35,42.83578627207616,57.29115670260183
36,27.663893894227378,61.17782327387563
37,13.154212735500863,46.310769535669294
38,56.20917951672275,51.89289337080215
39,44.18086066132863,32.85413590683271
40,52.21366428678368,61.68547372882709
41,66.07919264951354,61.85545396033329
42,45.90761539562127,47.09450720846656
43,66.93638318571094,58.23521798058099
44,45.200266740773266,51.72364233110924
45,40.34921452055909,35.09542697695467
46,50.56085527965085,73.66880978992917
47,45.6889674159229,48.995022482912255
48,15.891528716391255,67.75508323380845
49,42.7749133166882,45.53311016396706
50,19.844272511525777,50.74829998371387
51,50.42878281923064,28.65562584441632
52,73.09480527575658,55.47323887636611
53,33.309766246701074,48.074761746920146
54,61.22251942412919,43.27964393174548
55,52.86865729472062,63.68728168916106
56,45.16698032208111,32.991055881600374
57,60.1700959057554,48.67576938513345
58,46.24485287383046,42.77559964884652
59,40.83600287937494,30.333484676695836
60,57.47388148399782,67.39003411608543
61,51.89237808400188,36.79580217829398
62,64.49738503837499,76.16304371076892
63,63.25969524955229,67.60471119150601
64,45.24558655951407,53.65378609738107
65,64.41367984549875,60.60456218425075
66,40.442381344359774,53.674491307311506
67,37.528317842383764,57.62684678335793
68,26.281924645547864,47.75857300181657
69,61.040691516194094,35.01685552366691
70,57.98656499071266,48.02559645327234
71,53.08610682536771,43.742193574155145
72,62.11761065528543,51.2358004743098
73,39.440127049815324,46.21491642715111
74,22.90066375900568,60.3166807429479
75,60.543983830879554,46.461843901927175
