unit_id,CropYield,EC_Salinity,PARLight
0,24.416527541738162,54.77542121663433,47.2244797127192
1,25.757640855801586,62.28518827185116,47.56587332082003
2,19.672430141481126,43.866492013346395,35.57940514484684
3,24.028963054538522,49.30442616090498,47.923159919947835
4,17.811710609660924,57.070460058411506,49.646514195722766
5,20.144590560671173,49.1645771318923,45.89119887494873
6,19.17610009198221,55.58574880080251,53.66677719599265
7,22.165781669294404,55.989470821601024,37.983188576464066
8,13.910068357286745,32.063467637035835,51.77591879731528
9,16.434838123983234,52.58165546758141,59.66389947111032
10,16.127442293724883,80.11584371592531,49.551995838631925
11,15.676412866210766,65.72221618901756,65.67706333797533
12,20.89369846919684,54.598945059944406,43.467300998875295
13,20.77361548951699,50.06902572732948,29.445350111150653
14,22.831609681396547,52.72628445247519,64.313041409112
15,20.39725026313583,52.36458527068157,42.589593176886005
16,19.17907130195753,38.76130701907646,44.419326902116254
17,21.617953552517818,32.420507426082764,51.702121146521996
18,23.18977768327914,43.20222214675253,59.79311437004992
19,18.52895375552011,57.18731431027716,63.60091875924998
20,19.53979598177938,43.99030986250671,52.82466770866408
21,27.944824935858676,46.19992357454829,34.19695406480873
22,13.334938132246036,42.24823017856706,42.83642474289027
23,16.062477096734895,52.92269208615595,24.16837930842652
24,16.055474888124458,68.94144196611653,39.958971119513556
25,25.980734000407576,51.10683022514793,43.4889287768969
26,15.547618464679086,69.50313982979863,64.96068140805679
27,18.747423290904667,54.439496932216905,38.52165692349311
28,15.119324406118626,50.99100822434462,61.4235802461582
29,18.41206554532912,38.43656586779205,49.38870488408648
30,19.17637238924513,34.209277908107694,34.35574590727389
31,30.05679206474565,33.217863896519745,48.33038168284614
32,19.38964895324123,59.274341967326926,66.16598145205595
33,17.30201694274882,35.9631936339875,44.56179585467019
34,16.315419247269837,57.191852271977076,51.507047782460205
35,21.92478736193578,62.91249561864833,59.69936919839771
36,15.886672235821898,37.29044134946803,52.20692618438764
37,17.5205623617424,55.91357789428774,43.82923287255565
38,20.93713612172083,42.99255953188676,49.0693404915076
39,23.689822776652793,53.706376543178656,63.12946113642023
40,19.601630007400303,59.711515030961976,44.10218122794197
41,18.54965155940296,66.45097029894424,72.96084450753303
42,18.312075823602356,54.74657521195057,38.924135375980796
43,22.310558752186097,42.24030154099468,38.43305658714538
44,22.891808359733716,53.469686174510244,41.19306129158426
45,18.367173094405384,45.25999769726734,48.1904812804094
