unit_id,JobThroughput,RackInletTemp,do_cooling_setpoint_controller
0,37.54188171438225,47.16313865295189,66.25
1,44.744392278698264,41.092402952156974,66.25
2,37.69171458996911,51.63203579056355,66.25
3,21.116810301311443,62.275613499937215,66.25
4,37.36753514792518,64.56447884296146,66.25
5,20.810487344224114,49.69476936773754,66.25
6,39.14614625550324,36.101370249740974,66.25
7,13.452550816877817,70.03518528553309,66.25
8,42.86225566547142,32.38421880317572,66.25
9,17.36304855802738,40.59966495994292,66.25
10,30.45499633524963,52.48008224185707,66.25
11,-2.468342981688068,77.93915638918949,66.25
12,17.14651644188766,59.23957952185525,66.25
13,13.676657707787061,62.11966671850601,66.25
14,14.52198031934637,81.11471900844269,66.25
15,5.505430950166316,71.85657933208626,66.25
16,4.9487699320796965,70.82298094712131,66.25
17,21.00476493597763,46.377920962334116,66.25
18,9.116049786355255,57.41348492772253,66.25
19,26.324326266653024,43.06482626198386,66.25
20,18.241054800157098,51.61682921877515,66.25
21,12.758342123088836,58.64774239799241,66.25
22,29.626077584971352,31.067112188670965,66.25
23,26.208273288330176,52.667105923094226,66.25
24,41.21705127406098,49.25138718464988,66.25
25,20.469031664393135,53.09645875050921,66.25
26,30.988419337294133,56.143197731472824,66.25
27,22.091989015456917,47.77779877348437,66.25
28,25.360865200825554,44.950920982223145,66.25
29,5.315708716605125,60.77405983470854,66.25
30,43.14012357216408,47.40159173590769,66.25
31,8.349820612120423,73.48125287583768,66.25
32,42.07262062018789,56.70033529148651,66.25
33,7.004747160838054,74.31260998696719,66.25
34,31.427901404312507,33.677128848954226,66.25
35,41.00260493731105,39.89775117961461,66.25
36,21.576939147971977,58.68672960686299,66.25
37,26.966123711822735,33.31297231253129,66.25
38,57.4283682372485,59.98146742631826,66.25
39,15.741556637297254,73.10230153013374,66.25
40,24.831473612944446,85.15212490909244,66.25
41,27.35092451312476,53.408805669787895,66.25
42,23.294964503683108,61.83193312328994,66.25
43,26.11080824052855,62.6904588571416,66.25
44,13.960320715265762,61.42449893070344,66.25
45,29.540574879847874,51.819955623495275,66.25
46,24.437705359411655,39.04691648708543,66.25
47,16.430417458692872,70.58115410258252,66.25
48,11.016895969797387,59.5270982425549,66.25
49,24.436264247581594,56.869066495015524,66.25
50,31.198138460964582,43.0110358886696,66.25
51,0.3783572485489852,73.0028969856832,66.25
52,33.60223710894811,44.79431214788382,66.25
53,3.0330771924190545,68.27031449742158,66.25
54,51.12694640624281,56.475082866855395,66.25
55,26.439884750859644,62.6328335633802,66.25
56,21.79743594731084,57.43711294106555,66.25
57,30.949693787100436,51.970425067379814,66.25
58,24.38615418153648,66.80997058327016,66.25
59,35.096721219540264,56.53006458242813,66.25
60,28.7645496047116,59.99855256459462,66.25
61,11.955814159537383,61.41952682790812,66.25
62,19.3900531082854,60.289187818807136,66.25
63,19.08724073715794,77.22029641186646,66.25
64,6.5576941749636655,68.27290415885719,66.25
