unit_id,ConversionEfficiency,EffluentByproduct,ReactorPressure,do_ParticleSizeCat
0,19.687279507138975,11.349469152741644,66.9780351205337,75.0
1,21.422393714255296,11.090868668497016,82.67307531021827,75.0
2,25.21499203578421,22.19888309091119,61.76902221123335,75.0
3,42.35855747217955,27.793357326276,94.31114588790608,75.0
4,66.54745777589906,50.66808727965226,96.28347332227722,75.0
5,25.704373131563393,13.829110586426282,95.80227303855176,75.0
6,29.120151980173354,17.75149263400701,73.57732439233178,75.0
7,19.43053383920366,11.091671309682662,72.03663856867969,75.0
8,52.752314876830496,40.387252508205314,90.23822136745206,75.0
9,17.434732041155897,10.160760448493432,71.67387811060799,75.0
10,31.72372499731949,20.022387032767433,75.81162870962437,75.0
11,20.550782482823653,9.504338382212906,86.51765051865277,75.0
12,22.259049978755595,9.64575874020277,77.56756093815598,75.0
13,24.98123766034776,11.34723999589468,81.35582111031837,75.0
14,34.86034513778116,30.33331228348711,69.57464395370508,75.0
15,22.160917087859435,11.56680609198659,92.32549768388519,75.0
16,16.905578621393996,9.622076048240727,54.01413375873822,75.0
17,25.943514798093037,18.061308892151875,75.85561731634822,75.0
18,28.307128871146244,16.81737947310846,66.58604251227688,75.0
19,27.88587451199873,22.24939939781751,74.4716120801585,75.0
20,20.88829325240964,14.13282622692763,78.13861172889399,75.0
21,20.630031644565626,16.89008737035725,66.01700586109536,75.0
22,24.13665424290058,9.698694150514363,95.82286634130494,75.0
23,28.37343662247391,22.694764842911816,69.9577663831204,75.0
24,20.571205869381927,12.556583277787242,80.89383955208864,75.0
25,22.629361805525235,16.1251778370249,85.97225792012478,75.0
26,26.49729143999204,9.260480784226715,85.58080557602923,75.0
27,17.57852205695312,10.771601033605815,83.1712479706945,75.0
28,17.60592850490965,10.904599723515139,59.865189387762165,75.0
29,18.926241672604064,10.71569178154228,69.8371848661875,75.0
30,27.97708286054048,17.082262669446514,95.65743488315529,75.0
31,58.34500122728307,45.59822786911502,71.58011631475485,75.0
32,42.98742011299098,33.20330118803962,70.29276061602525,75.0
33,33.261168871258384,26.92795888853546,67.73768955062977,75.0
34,17.376356424022298,12.909154795517159,71.15897015030922,75.0
35,38.67071225078881,22.787498060461076,96.97827746409784,75.0
36,23.261058045047655,14.317157621325473,59.98567243352386,75.0
37,23.87470858014109,15.111411160456887,70.33237488824177,75.0
38,17.339469200958135,10.155321383606804,73.62703401280362,75.0
39,15.44893179737241,11.505628464480845,64.86215871990436,75.0
40,43.41394064254194,36.14387000977162,68.41509220539655,75.0
