unit_id,ConversionEfficiency,EffluentByproduct,do_ParticleSizeCat
0,41.90460033348822,28.078081901768613,100.0
1,50.486551934510345,35.75322201416938,100.0
2,27.97643317753045,12.033688364315932,100.0
3,21.212849191023068,9.446394767474542,100.0
4,35.58665969518667,25.36352566445898,100.0
5,56.89767711525415,42.64839279199782,100.0
6,34.068807120261866,19.549234602505077,100.0
7,31.659530673997857,22.120017111282294,100.0
8,23.528031433417386,13.477684292675942,100.0
9,16.073092594752836,10.196998196310314,100.0
10,39.72240220637252,25.822346540143574,100.0
11,32.75645735236738,23.11742617097318,100.0
12,42.47920201664299,30.926940797525976,100.0
13,54.08103669133455,38.70951981932818,100.0
14,63.85173367856419,51.23678376648951,100.0
15,34.33550255441232,23.971883984726173,100.0
16,29.745883821261216,20.336913910775397,100.0
17,24.849088547922747,16.590759353804014,100.0
18,21.384055639454914,12.29013962187634,100.0
19,38.119459258493784,25.753880826090676,100.0
20,43.25680978810412,35.45882841534254,100.0
21,20.462135772518597,12.198538167595196,100.0
22,23.18024489959574,16.59018134397755,100.0
23,26.954150268074255,20.09953042453905,100.0
24,16.9539578293621,13.43195935396863,100.0
25,43.83512695122423,32.830085181342156,100.0
26,22.983675941799767,12.397371374917999,100.0
27,24.1793102853635,18.202208321591232,100.0
28,52.25381520627694,43.04058170659528,100.0
29,24.09306386081845,13.483638071895694,100.0
30,33.5957043820576,22.88058346850434,100.0
31,33.886918834548105,23.94258660465603,100.0
32,43.64774993211931,35.807880573704246,100.0
33,29.39204326517716,21.491767862508976,100.0
34,16.22806026434356,11.882285957064248,100.0
35,40.165407686389095,31.90284608891989,100.0
36,31.65740995808064,18.354930215802725,100.0
37,21.935172285141263,9.601011941502005,100.0
38,32.12336880258025,24.38556999347322,100.0
39,21.541865720726022,12.651875149064049,100.0
40,65.59303540590949,46.689601915567884,100.0
41,60.38062163140502,45.12249904516311,100.0
42,32.895124977052085,24.14196123460758,100.0
43,22.64640549454833,13.940365744645817,100.0
44,23.80330380385277,10.55999856013536,100.0
45,18.393133263505536,12.1020498520428,100.0
46,44.039907375526724,30.458700315068597,100.0
47,19.963808750329267,14.975933226412716,100.0
48,27.256635749267204,16.225820087749526,100.0
49,31.939793548441717,22.367053518047786,100.0
50,22.201491471017142,13.861922764248938,100.0
51,42.72713417523796,30.674357162297508,100.0
