unit_id,AmbientHumidityBatt,CoatingThickness,FormationCurrent,CapacityRetention
0,52.304651026873614,52.33879711968201,42.42354316440129,-14.020160626654397
1,44.63758828673735,49.50443224994325,38.094211090518286,-7.1745120597197145
2,39.63887126658539,59.84423178993156,19.126626240070227,18.23427020206561
3,58.25856486411289,43.686994587846925,10.17941313721373,8.577570388814339
4,42.94775948517737,41.94384269706807,39.6891421703442,13.743573734626187
5,61.06302874339986,72.51496998892677,43.94480033244326,-6.1733940883998
6,32.337997212820895,29.504489600596223,50.224305858244016,-10.3328387929102
7,65.80095178602478,41.48976238145929,51.49446875073266,-10.217756284293756
8,48.2740057568229,53.785878749273245,43.25903106571811,2.3739607498793234
9,55.76636786417815,53.08176400580033,27.40917766756401,-14.564093076651488
10,51.655168574980195,70.59329134001568,32.66817216702471,-11.835218906247517
11,39.66900275565818,60.471102652337265,61.92189871214342,-23.433063390605927
12,51.53376142853594,48.21492404083733,31.277675217857002,-8.092686847788734
13,41.017093302135805,41.43813607120102,45.90945589631449,-10.319864356722709
14,55.07889076266689,67.56268662425292,54.00298688316028,-12.527164286325107
15,55.18989776896442,54.56461118475433,57.559339044991546,-18.561786930945935
16,32.54515553158586,50.02308705118812,49.75285144069542,-26.678773879982923
17,48.06048972169016,45.43552362601093,42.50103875029783,-6.547728788467647
18,82.80520860728778,49.82098535345247,20.82530844840606,-17.334538666516284
19,65.72252456388354,55.299420369039034,32.06512486599503,12.448041114568582
20,67.13761023857577,55.573379227044995,38.13186897728659,-9.897703684819387
21,32.62654115074757,46.83737045633762,43.15807286362115,-7.241086364975541
22,58.33381893994384,21.643763288749884,43.67941844717775,-27.281843231122117
23,60.73206050398002,54.671004672875014,53.29224989898887,-22.34379588343436
24,71.3697871625622,58.86317816048735,22.23840881051257,13.192312061079239
25,54.050369064214664,60.35526064947861,24.32078846774331,8.835845771739569
26,47.62570161422532,42.884083594358664,54.50648915768868,-32.51523388292564
27,53.189705762140925,34.12556092277528,34.036742760262904,-2.726940330262928
28,52.50959194739088,60.86180735985407,40.805078493937636,-7.500741324101635
29,36.9195838066536,58.34502199134501,38.73104070205132,13.456428663326527
30,50.91058842854266,64.17215379355144,51.719366449348676,-16.145926597417645
31,42.47141971723525,51.75480501104111,47.97628819048837,-25.927396869870428
32,48.5203147267325,28.09421831608984,48.317860754232946,-6.9860947571207666
33,47.73768333224307,51.796536894578324,67.69553201989022,-26.063012625650774
34,68.16741801454101,46.49942857683788,46.28500650869785,-13.651761304880065
35,38.71166284043173,73.46855985239489,34.51945221589306,23.277579278801028
36,34.94920182682689,35.30147135992545,45.584563845772315,-9.611702648926848
37,50.217001438671666,36.197794515388495,64.34630086981716,-22.383534628116095
38,59.4047594427613,45.21702351696751,30.942779197369237,1.305139346601833
39,57.41327719879601,37.80031861044829,54.13703830939824,-17.407154875024194
40,59.031103853199824,39.94532780920786,31.17251661527469,-8.550328744679705
41,69.07181450531283,44.748814835005746,22.5953880557094,-18.338732762984073
42,47.205555750185226,40.74432026784843,31.36100384103252,-0.5321834175881612
43,67.22437861488837,31.941994312226097,39.024698750243594,-2.0168314313608
44,78.74172568525205,38.32815314504715,51.00165047009976,-17.629843536798568
45,31.760746270716083,55.27913796756739,24.34268861928166,-5.840507076780532
46,51.90639800578967,43.94578891751572,57.762547515686094,-17.436075182900655
47,59.27418632283732,61.174053753880905,39.166824865633444,-14.704446230845031
48,54.714798082941456,43.072836858719505,49.923137606630256,-16.764486478088493
49,67.90221675523762,64.0817791335175,44.74882458207898,-10.034917602650093
50,48.13154236565053,33.11574679277434,29.307989356974335,-17.281574356986543
51,44.21249548301228,37.621087253520024,58.47528975164683,-11.01810447500681
52,53.19903029232476,48.754784798820694,30.457737969345764,-11.200539640750012
53,65.9412746476731,54.03058956128667,38.469391870072556,-12.537991783792762
54,51.759058847647225,48.01255819181222,57.04610534292029,-4.438588646766048
55,43.69307275345617,51.771964018303436,15.865932772290341,-0.08641077666269537
56,49.52616512838819,51.26825129101496,29.124485959954484,-9.20920218293064
57,48.13774448913099,56.74337101577217,55.4988868217924,-14.21700747172271
