unit_id,CapacityRetention,do_FormationCurrent
0,31.72959474074125,10.0
1,16.976790877181926,10.0
2,25.382062225144384,10.0
3,23.741825039187383,10.0
4,16.367217948886672,10.0
5,31.880194715765736,10.0
6,16.683967970070956,10.0
7,9.251104778336039,10.0
8,22.443404752677324,10.0
9,12.824739099683772,10.0
10,20.50198445575198,10.0
11,39.6026447841696,10.0
12,18.624397580999574,10.0
13,30.13936784524333,10.0
14,12.61768418878188,10.0
15,-1.2881452853985005,10.0
16,12.495647659997868,10.0
17,3.6978287226159345,10.0
18,1.325944626319731,10.0
19,29.30291368843155,10.0
20,16.615587435608525,10.0
21,6.498893646560961,10.0
22,33.67075647049291,10.0
23,17.804165274737358,10.0
24,22.358248009424162,10.0
25,20.86450458882608,10.0
26,17.521471913470002,10.0
27,28.063577627540425,10.0
28,17.332987318899193,10.0
29,25.723104518343582,10.0
30,20.937764074993016,10.0
31,31.362307776892678,10.0
32,19.337564316077238,10.0
33,7.250348055701937,10.0
34,29.252279936993176,10.0
35,13.29176049745645,10.0
36,-0.05239510961242044,10.0
37,25.66460821399309,10.0
38,24.099454245382457,10.0
39,22.694068300659037,10.0
40,24.151292361024506,10.0
41,25.83389721319417,10.0
42,32.704609022968405,10.0
43,18.487071036145466,10.0
44,5.588316572641149,10.0
45,18.881278203613107,10.0
46,30.231451875332496,10.0
47,43.00754825194024,10.0
48,2.588122311519671,10.0
49,16.03805355967649,10.0
50,27.98295149771433,10.0
51,12.832162475956782,10.0
52,14.030513049959664,10.0
53,27.15792474415433,10.0
54,22.2221464493242,10.0
55,30.257715260880353,10.0
56,18.588100694141787,10.0
57,25.962503093003363,10.0
58,26.787983095259936,10.0
59,20.130795796672363,10.0
60,34.56804382035365,10.0
61,13.131522153405086,10.0
62,14.624671298773716,10.0
63,21.41047181033961,10.0
64,24.707918930539172,10.0
65,3.031179504938904,10.0
66,15.5695845770013,10.0
67,8.23313103879655,10.0
68,9.932845517103852,10.0
69,14.170942879329841,10.0
70,27.563320245831733,10.0
71,14.006862036707616,10.0
72,17.460987430109935,10.0
73,12.411749275831482,10.0
74,21.4227532029157,10.0
75,12.249193546257832,10.0
76,6.450068297104135,10.0
77,9.16609784575715,10.0
78,26.55517588882155,10.0
79,19.30231156788806,10.0
80,13.72552817251994,10.0
81,14.11338546391792,10.0
82,15.112764828259907,10.0
83,15.332163115419155,10.0
84,11.600276676953955,10.0
85,7.655556025117186,10.0
86,39.34200800381997,10.0
87,21.508494689072055,10.0
88,18.78150179726708,10.0
89,18.33348490334956,10.0
90,24.00226971294579,10.0
91,22.043490719716505,10.0
92,11.142466011998682,10.0
93,17.563706896596045,10.0
94,23.90163842633843,10.0
95,14.621242114419454,10.0
96,18.697851475043944,10.0
97,16.650895613643975,10.0
98,20.822569505190078,10.0
99,12.697193130956897,10.0
100,31.358066243079165,10.0
101,23.49453881563639,10.0
102,7.882049377680694,10.0
103,12.295651521918911,10.0
104,24.0259321798293,10.0
105,15.530866693542361,10.0
106,19.4097163900238,10.0
107,14.0839424935619,10.0
108,20.34009838024839,10.0
109,12.416339078586331,10.0
110,19.349798497912264,10.0
111,18.75500770077997,10.0
112,26.269264100187595,10.0
113,19.00209920517593,10.0
114,28.246812978489846,10.0
115,22.47223801203296,10.0
116,24.492022486480117,10.0
117,23.506126831975806,10.0
118,7.233619144762796,10.0
