unit_id,ProductTiter,BrothTurbidity,DissolvedOxygen,ViableCellDensity,do_chelator_dosing
0,43.89307843216237,-1.3455188196192864,56.472731284354154,38.382518049443846,30.0
1,42.45314165554978,16.888402881306206,60.518946130017284,64.29993888852427,30.0
2,37.271102958574005,16.179101331575453,53.923973079534704,45.78038519531506,30.0
3,36.843380826039045,7.702114406439737,57.3062188571913,50.39430287363514,30.0
4,15.446871282734286,59.102889523256636,50.819407070957304,55.86989864658578,30.0
5,10.642736287113737,62.72887095715687,38.710535007917954,39.1851018885693,30.0
6,35.437655506768166,35.77612408332225,60.32490935739769,54.09910433705458,30.0
7,38.53016074949558,41.026220273273324,58.223077036809755,66.09628469346465,30.0
8,18.360930707794836,34.27614127939579,57.48657584678794,56.816147307957074,30.0
9,57.815096039718796,15.235099997862356,63.220143904744134,70.58648675603405,30.0
10,4.575571420096098,31.927397006951328,48.54864282091976,30.559543078843525,30.0
11,56.27024001524596,4.319998807200932,69.12849079837181,53.49512829968225,30.0
12,30.753395294876956,28.50575806674008,50.29232505755272,59.661483019471994,30.0
13,26.93493441610169,17.051289547378726,57.964896049954206,54.66117819801987,30.0
14,29.109521066575727,33.13682856803881,52.440514891068545,49.12198998841514,30.0
15,39.5090327631402,51.399277390997355,64.9339704935736,71.46770095895037,30.0
16,37.80760562920252,19.2273906004491,49.02129015758327,78.49444443379078,30.0
17,12.423125329223398,21.95515941217966,43.57658095258041,44.319148446703,30.0
18,24.536751262391206,59.99484609217603,46.68240596777675,39.479856490562454,30.0
19,32.14970568103235,43.663017671454256,62.20148106490948,40.60530894023642,30.0
20,39.242337123100235,29.85697990736064,52.14978560227936,64.87655365519404,30.0
21,50.047764945675354,40.03264848626542,49.50271149682458,51.89784039768065,30.0
22,71.35461725438932,-7.1704106043823685,79.36718770625005,50.14925750963609,30.0
23,0.05163444659718408,53.15665385841307,48.83962646582476,38.911784659319096,30.0
24,25.51130869742968,64.12487090707779,53.780952422129026,47.25706196103947,30.0
25,20.29586502194975,45.31832066695145,45.530626440044834,57.54526286878667,30.0
