unit_id,ProductTiter,BrothTurbidity,DissolvedOxygen,ViableCellDensity,do_chelator_dosing,do_feed_flow_controller
0,67.91969845595573,16.69278344268211,54.313366823017816,53.56549501746573,60.0,0.0
1,71.52115931124878,7.832041165410354,65.66176005942984,67.4218525419875,60.0,0.0
2,46.18961875679962,10.926231387938845,30.285372804803295,45.55624163394805,60.0,0.0
3,55.91749574700833,-5.2723940136589125,39.27761800661217,52.84322419184886,60.0,0.0
4,78.75529537322303,3.8416105369130116,83.3645024794818,37.85091478420844,60.0,0.0
5,59.85769795131225,12.000476975635515,48.928160264573876,43.53773018743625,60.0,0.0
6,70.03062986869023,6.283191652891191,62.305524125509265,56.654074108592035,60.0,0.0
7,66.63170248233446,-8.251634076612598,60.5675169371357,36.09572455739838,60.0,0.0
8,62.01532083056529,8.507916403456537,57.35615767257895,38.661706269070606,60.0,0.0
9,72.35711412042684,-2.279777470614139,66.45581765804384,55.904951757117004,60.0,0.0
10,75.57088102088386,7.820895243889135,71.8041343672811,50.950107782703,60.0,0.0
11,71.04432185944499,-0.7678726569930143,68.03182902517115,68.17029642420906,60.0,0.0
12,73.04843596443791,-22.242813050415336,64.05217626688157,54.832772493788895,60.0,0.0
13,80.69603183147139,16.856615592535597,75.97864448966158,73.86771894289105,60.0,0.0
14,51.89310541022423,-6.783102640874978,38.402657632506155,52.59313708302134,60.0,0.0
15,66.15535830758695,9.378254239854247,62.787485247510816,39.4168895237427,60.0,0.0
16,63.410860240292806,-1.4415621563821528,44.005759076968566,43.78943841528301,60.0,0.0
17,56.484741121087104,16.57045926507176,41.4075689472364,40.36706497726867,60.0,0.0
18,66.02458655119622,5.394682681644879,46.55659142412197,66.73436022248931,60.0,0.0
19,68.87150851751503,5.2791917052572295,70.30205358353312,48.6737603096,60.0,0.0
20,65.36926264485271,10.327244404728585,56.30257565550165,69.15912971705575,60.0,0.0
21,53.04836693829523,9.510825023977445,40.22241418576195,49.58713228216354,60.0,0.0
22,68.0257405616881,-5.9382906445137404,57.138758248513426,58.71567477864564,60.0,0.0
23,70.34749469172512,17.863853180027483,63.90138930340636,42.67410811705564,60.0,0.0
24,69.58970095156032,2.280952271743491,63.04240826626557,65.27290220352599,60.0,0.0
25,69.89734011054206,12.035886659903046,70.7823398764388,55.108096827321816,60.0,0.0
