unit_id,ProductTiter,DissolvedOxygen,Temperature,BrothTurbidity,ViableCellDensity
0,1.3405046354834127,48.29291694580979,39.73074909242266,46.606166116539136,61.51774463966395
1,11.29055928771712,63.075484471610935,36.079363973269984,53.90624188115923,43.57946030172871
2,17.24961456974527,64.61831572510773,42.48983838023525,23.29562728148176,50.422618722404955
3,21.96602782106405,44.29200210879343,31.058520185705476,24.52514848233405,66.15892977047116
4,20.38108187201398,79.88612727578169,33.90055979111704,72.40026233427481,37.78869343823334
5,12.161224179712656,59.651172617943615,47.70139501626915,51.518918563007794,32.90555740844403
6,4.6659971552293555,54.00565484473027,29.71682404803944,69.95026577262936,53.540106129287956
7,12.276122153832036,68.48733105664553,34.991261750347434,53.998072697759426,41.27927032840429
8,8.038652542801353,57.84092422277394,41.66879357929535,82.56707643699662,35.21399514184247
9,7.803516326489841,53.011844473135255,35.851175909745834,33.11029903871809,59.98197412022532
10,10.389328622175501,47.7659113496226,45.21571529810735,55.23039054776608,41.37496326086596
11,-4.36261048450244,32.5451056918461,40.26246316488969,58.51102374438102,41.8744899314846
12,21.717043506729247,59.19318231221989,36.1762480593596,55.85339912753112,42.401203622930154
13,12.658024773869812,49.72980164971725,32.93709429952883,67.45013694634012,53.468875104151756
14,-2.93438600308533,37.18611325300665,46.59891216920375,68.11811862351428,61.176106109305366
15,5.454542037300917,43.826749320106025,40.185285639309434,63.923992508733534,49.82338209511485
16,10.426832817975558,45.193728906124576,34.85286278088366,35.401281341486566,43.37866888785924
17,10.718688271158994,54.959480045284984,34.73068638046416,48.08727205494629,52.19150131671083
18,50.179610666967776,53.86397143680383,36.251823557012365,9.6756100614416,34.3640440255998
19,15.976263996175934,69.36874390657786,39.424348044421535,48.077124280283904,55.27966778184397
20,15.569425979910843,56.83979180805806,37.888064870983705,35.4049076436336,39.62606927366211
21,8.875515544559779,65.93129743381377,37.44007034437561,49.360230634201145,44.97922641414148
22,49.968166566538905,46.467258539863124,22.982819500002954,24.33395845534819,50.56600700428946
23,3.4570530208393366,45.56473813378442,37.85992113339366,46.9295436832158,42.24165400152815
24,12.685144482338274,54.60906355992216,41.01094546033096,67.71392081928903,56.439657439207416
25,5.504018870235094,54.56987549159472,43.614751660100694,68.84049329148357,47.10267752436301
26,27.447366213575183,43.84505769982216,35.06872160936967,28.693847921697444,39.21645314089352
27,17.98148183220676,62.99109227058036,25.68423636977479,62.836204461496656,45.33548711594827
28,2.838863756244629,35.16847296111862,46.805896426443084,72.28169754913804,59.60200809345596
29,20.618266192236888,72.87801803688454,40.823407251150634,42.22026661332562,47.055517440716564
30,12.149972137532561,62.73975837308829,43.1058545656008,47.77931009904245,42.41038712128938
31,29.044851986850663,48.19448605733125,34.99552257702651,31.823054190258972,41.13594382359802
32,5.350447487088126,54.33164908365719,25.28210781377061,54.77297064024066,78.7504724497528
33,22.09291967198297,56.85835510949718,38.18187397801534,48.77894014481475,47.47623057669206
34,27.48381661172855,68.72035017721818,33.68817373205133,41.026576053355825,39.347110215622095
35,21.494740995743907,75.03612708323038,50.525419577746035,53.806281803903474,55.200901709315396
36,28.59843061763135,61.870328831374756,29.507102782444623,48.092898665744734,70.72302991355394
37,11.687738291979807,50.91111241409042,27.872766262983188,65.99144252603267,56.486650845194355
38,9.007950608221988,51.3777612299357,37.67487547812119,59.26924832657497,40.76590816593669
39,-5.721590654230648,37.656920855261774,32.4171143172789,64.16073930218761,47.29527462457746
