unit_id,IrrigationRate,TissueNutrientAssay
0,62.7824582153073,40.0180552132492
1,48.39327637947409,29.277436033118267
2,28.116801666382084,30.546566668083315
3,47.03320078635004,57.747464971663696
4,57.039606541676136,41.622681715086294
5,21.608418600409525,50.796939721672985
6,34.31085693329173,52.83139358638914
7,54.27037662273013,22.975489502661198
8,60.68904537575187,78.82566591389303
9,23.448705643259075,55.71232222412749
10,28.788743739657388,33.3923204713211
11,38.1148290748626,48.35602748116872
12,48.41892215813582,26.908848485490253
13,26.292858537475407,49.27740119991471
14,53.859596374092085,41.096705599674564
15,46.51622094876426,42.07555675553733
16,43.47275253761855,57.32320542714281
17,32.70432242975318,26.488106193787615
18,36.67775462664782,44.55503736433605
19,38.817444884672184,20.185355120393346
20,59.64001918532216,56.850363654954776
21,41.837692430165085,36.51700607237343
22,55.08387781408764,56.851281920820924
23,44.14933758875548,19.982797701871526
24,50.982756575596596,78.85761985887177
25,31.508479678675705,62.503050225348254
26,60.60634812289653,29.717796630680944
27,33.92708508078261,26.20124817499795
28,56.71275631266562,38.65571431167797
29,34.3259922495304,30.88674475179684
30,24.590392234930846,15.91084715138488
31,61.11436226115922,37.4405864921753
32,38.199974614882464,57.142383973694955
33,49.48477806068811,63.19868891346265
34,59.79103267511444,54.22894398170468
35,33.877935424663406,10.859589903465366
36,60.11425403614546,56.85095111084006
37,37.90811903731771,11.059469526426177
38,46.01129400738029,39.85769123570419
39,47.89516623451767,53.25766274087152
40,32.2900091751557,53.15019538115188
41,46.493308232280135,50.35459960965133
42,42.8933984670063,52.84824799999065
43,43.94861069389613,49.650348537226805
44,32.962268868515444,16.16360136887261
45,45.088646713261966,56.18635417015208
46,35.86418720797202,50.425392495168595
47,37.45861886779587,64.95638411945764
48,30.873197162278053,62.60666639370925
49,30.969404661549998,16.371627163787316
50,43.766938667306306,81.7684159988784
51,21.617742306940347,7.72548758906597
52,50.98460597127522,32.26936416972305
53,48.59367268465179,36.34214012701467
54,44.41556344414804,56.23462394807261
55,55.7438862406828,68.2938557184413
56,40.185743558681416,40.92386743739378
57,39.963833194429554,47.506863963288694
58,39.681155252786354,51.346462296297595
59,36.262402503975814,64.14551468233545
60,31.45997011595274,50.675828577882335
61,58.256271985669315,42.565652153555035
