unit_id,CoolingAggressiveness,PduLoad,DiskIoWait,JobThroughput
0,61.03509319396516,71.74197405534547,42.852713981785215,-19.492198508152935
1,37.252967029479166,77.14543216292998,48.73014234338112,12.625447165169415
2,38.85770513109184,58.584874010854094,59.5147983519556,-20.14797351362686
3,63.3468294381027,66.67330013504656,30.087675268635518,-19.215320463696784
4,36.84550301580904,78.58521095891913,71.1645084136103,-4.601453622677875
5,56.54764111005608,80.92703964959397,66.17397102895754,-20.235376067006342
6,27.402349115375397,78.46344042880659,14.075322223171291,-10.578055610029091
7,30.909468635767105,55.38515614481661,33.7842407934308,13.633058997174743
8,37.869390969661076,68.16133857568354,64.4671764046642,-20.69216858304556
9,22.757950528267372,65.67770915802919,50.0760466701302,11.63649476415987
10,33.81353007438072,61.05741424797745,79.52836470683432,-14.181493746381733
11,56.51346128408416,71.87164416000702,44.08688451997825,-17.91552415955887
12,49.6429499326341,75.96785672632099,58.76800431080686,-7.921006156968902
13,35.57112804692895,85.49475227717782,46.709456589058696,12.667522123344469
14,42.61118535985831,79.45594473292985,46.88010245672226,-6.208228759002164
15,37.69255663521735,90.82699276442811,40.24877972008254,1.2519642053303206
16,35.199941958933415,63.25433173461052,66.82985594496459,-16.153089843431346
17,28.59273292965628,62.82600462882701,54.033980228517635,3.1244574804397365
18,43.34372914563484,72.41818150624125,23.149884878572884,-10.936350487665578
19,20.735268950737243,93.59887728243409,37.58803826451123,2.063740699616785
20,32.442394891451585,81.99088169196772,46.4494650109783,-3.8337418309758684
21,55.37570702541865,71.30478464026899,52.454876756944635,-23.270116043871223
22,31.092953921105984,85.77091328234258,45.75762789675348,30.957800717528016
23,47.83241021784855,83.66809271801763,54.83074394970603,-8.810090885699367
24,31.549271199872578,90.27480697768816,42.17765002638843,10.551223970451003
25,26.271147841182557,52.429383638088055,45.32086617302778,9.171374799255634
26,27.07441621202025,94.82737199632261,35.33098201241562,8.836597582031132
27,52.5222340887684,78.4705632827578,61.569330600249785,2.9562062871606827
28,23.151299462624678,75.93073138711532,83.49572779692845,-3.0118073965716654
29,27.9521208803949,72.63455109797447,55.54578484939715,-14.114870057371734
30,33.189402246666376,68.7388413225719,34.271634038171534,-14.624274086768771
31,34.517175445217454,72.79428430334683,42.458455787666864,-6.48352463176908
32,33.99629378409881,58.87761852037377,58.76243360012422,7.686805833508466
33,69.63965089691615,84.66019418190199,49.99099133051685,-16.38834129289953
34,74.4153295471075,60.01691880922431,44.46252813770338,-25.78292309783226
35,33.89322983878838,75.85841466458676,61.389288249467704,-12.561450378618995
36,40.146877337254985,81.71834445895215,44.678442747562556,0.22784887214795058
37,54.09257709637863,94.33920915822353,19.641395734710436,-2.439591157502692
38,58.0053220499468,47.6408842396841,29.25552640782637,-28.437280429424725
39,61.64848450724146,83.25292238108146,36.509441845045565,-9.436859825821406
40,25.724443451563616,83.31512724215014,30.713349889483897,-12.139339433795206
41,24.213821427800244,64.77305579464095,65.74427585625904,-2.065095004921046
42,61.63323641618645,82.39929382878219,39.596897434258885,-17.63614928647659
43,47.850260405536986,66.89173049641913,34.87228721314998,-6.364837515034577
44,61.39023216761497,60.846211443135644,50.628305188454426,-32.294592950472534
45,30.73303258963794,64.69242280003725,50.53093362895818,-1.872901623802711
46,54.384913796165876,83.76564908918465,64.10341640890518,-14.21018641141316
47,43.46085055387693,66.64928220109476,61.621590557268995,-16.02870703952663
48,54.084061540383246,76.76568735784403,21.621809707263868,-13.464143961403085
49,31.86445963372951,65.45277037280268,39.0890601815203,-14.746138285697466
50,21.54416673521699,86.6507265632102,67.35770973430485,15.089440998224635
51,53.34414704870031,49.592681324709986,58.46618837004241,-33.585629990140596
52,25.83506684022562,76.86165271817477,60.97924605435149,13.537916460102007
53,33.50997442343501,80.54984543454611,50.21012832826661,10.2379001730666
54,26.0501745797063,71.39428323734643,55.35752651326038,-1.8514412859707599
55,42.38854896794173,84.854225898814,41.838615431282925,0.9553119078927805
56,20.63234739315744,59.12112165420237,59.625444677345975,-4.855613640479132
57,58.047447212256095,71.71481371848792,68.50766609428591,-24.769929520527715
58,24.632091665736095,90.97769350512024,47.582411012284055,8.112217863674548
59,54.129270517691495,91.83041958780953,59.00083252178328,-3.8852591001269974
60,43.03400349861161,76.0901808546376,43.92115483755012,-13.353425474422805
61,53.513968820238944,45.29899586743912,53.07324797975599,-35.871057630207844
62,45.00495947546594,80.70183948964771,38.740305747915265,8.230078998011743
