unit_id,JobThroughput,PduLoad,CoolingAggressiveness,DiskIoWait,do_CoolingAggressiveness
0,-20.367902485923643,59.6225364321725,21.68322833032148,61.699154865831076,25.0
1,34.629950707500115,90.2951838866142,26.51496342192702,62.444689845729236,25.0
2,-13.894266740799901,72.55870490550431,21.88299420587432,35.30113165294304,25.0
3,-14.905174073624156,72.93766101605448,25.72739929619467,39.84624199836473,25.0
4,-14.659599750976037,51.83770783565162,22.31573827270699,43.98342857047388,25.0
5,-23.13836070066695,52.47068976847864,26.0789193783502,68.13535916738118,25.0
6,-0.09318178059564453,78.4295408361045,28.124670400903863,51.39400891900365,25.0
7,32.79254370180665,88.14960405056769,23.33687828726503,36.31972404183079,25.0
8,0.8918736064549551,65.850154613788,30.635567778762656,39.43883821307585,25.0
9,-19.311290926052855,59.56633871253931,26.690835689207596,37.427412040854655,25.0
10,-13.462830804987265,72.53160853726735,21.82779539963201,35.45082711209573,25.0
11,6.954070226368014,80.63528742204879,26.174344679767522,54.05696661664224,25.0
12,14.678403157251243,66.03978894592969,23.341571101145654,61.475894391702305,25.0
13,-9.14010951655621,76.50714936087567,25.665933194406747,53.747400728528675,25.0
14,6.9833123987327035,80.86353622617199,23.803866707952654,33.92562556333921,25.0
15,-9.87077251027626,62.326346857279425,23.155239755829538,44.945157560960894,25.0
16,-3.675584778473936,63.50363991291475,27.74704254719338,30.056402004931197,25.0
17,1.3456444625830266,88.1141295137866,22.210569472241584,47.5294806810102,25.0
18,-6.833089067628936,82.97277076009973,24.532678453829202,35.349779783479796,25.0
19,0.5784846857864194,69.81496617351344,20.747432245306435,48.374551869821325,25.0
20,3.2694470186360043,73.96523638177446,26.00558505053071,27.851918585353392,25.0
21,0.021210954583234326,70.76075872051257,23.343136523883178,55.69335089126427,25.0
22,-10.947234960505765,76.12261350554992,25.302034942470797,54.52877132565259,25.0
23,26.263173931244374,63.92818227772314,25.76695358672131,43.154726687663114,25.0
24,8.350297633753666,95.98300859570136,31.011342275053003,51.63863081199878,25.0
25,3.8102521696160543,76.79864286204868,28.934047786206442,45.74071811918017,25.0
26,1.3386815436963595,77.33027571709243,20.75146154756721,74.63322678690837,25.0
27,1.327590778099158,92.77275693351656,20.8791907539354,50.803211281963456,25.0
28,-3.736367612111344,63.25886329211195,23.043599263229257,35.2953415266308,25.0
29,11.34544508189973,84.68892629272297,23.273860318967806,36.47860191231117,25.0
30,16.951395756487774,90.22312247169074,21.978848580804108,53.60834813027561,25.0
31,15.995759124732022,85.53881277608953,23.0082816618363,57.061634168486755,25.0
32,7.452468121709199,73.57155379389417,27.467188042343324,42.90570577730044,25.0
33,-8.192344251599302,76.22012468706497,28.293292878991984,34.13877175156569,25.0
34,-13.466925229370613,72.0542696300321,24.930930891994084,48.81468074761469,25.0
35,13.161771792059373,75.98382588570458,20.026620535168995,50.241627808194245,25.0
36,9.968605781301735,88.76542626021947,26.067238352964125,50.382119344609244,25.0
37,-1.7959367169477538,81.4733365607714,18.132812816784515,44.13449665195774,25.0
