unit_id,JobThroughput,PduLoad,CoolingAggressiveness,GpuTemp,DiskIoWait
0,-0.46801727561629,75.27152833759408,24.083193701696093,19.104884050918777,31.230220797519507
1,11.617030848820182,83.09629060846298,28.3550962216877,58.01925462451557,40.05036410306809
2,-33.781241193525986,64.1799789630793,42.25945396701842,65.65072435302426,53.957518196413055
3,-10.078729850351284,89.95525717514661,47.84037803051478,60.7841751725863,56.51620136260783
4,30.23880113005354,92.42666180799888,73.95179984165664,35.53438919441615,65.43033934294621
5,-4.406105132184768,93.67342936777082,37.6791448950311,52.433618080214806,53.80984289434291
6,-8.317821815393115,71.20757808419017,41.54450029314865,35.21865407505837,45.81596476255743
7,-5.203977477977033,65.95939723083724,31.92642612237755,45.90523875339201,43.54856335279186
8,-14.45614111360606,86.02566514779794,58.416740191305195,40.40281674924981,47.18972534509576
9,15.28080683043817,74.30502800056873,21.48723006635333,57.134390363183705,49.375203343395924
10,7.748723202333167,74.6225346616269,42.81805218192206,55.60419173097524,57.90793436450952
11,22.264691739046068,80.21790952575404,19.96767093025685,46.816898559611985,46.38431188580565
12,11.748550167955322,70.66267365427247,25.601592556122394,73.64353788358274,47.0985939341637
13,29.665300825898527,83.03833183726158,29.040500689283643,55.41032163928452,49.67512019105569
14,-26.061796744255915,72.63373478482293,43.502906816694356,53.69240026798146,60.829293462768966
15,1.950620875819882,87.09255374326555,34.5141894769283,62.25440093652203,50.491071284120466
16,-6.447072673634348,59.79273383599202,13.496063459971126,49.95535098304007,60.01286247272872
17,-17.75042187282828,80.63952188872997,38.27186277650866,59.30076484272562,48.60669451957658
18,-11.209893498606808,72.81619800870158,34.05455216232202,63.93399820346377,46.361836439434654
19,-1.9261611849964666,73.53675861686706,43.7652806910724,46.82145450413924,34.3990514372372
20,-1.5762348470867371,84.87380763631876,31.252285564349105,65.41821341928511,28.330588820705447
21,-26.041430488043588,69.09425322973733,37.203900111948776,70.71520587376051,54.05034523583577
22,16.273560905108,91.28844302832411,23.28324451154262,28.332726545586684,44.323012808912644
23,6.19919879820905,81.86688453517645,36.75017206000599,41.268177053377016,22.9954133931561
