unit_id,JobThroughput,RackInletTemp,DiskIoWait,MemoryUtilization,do_CoolingAggressiveness
0,-0.39466699693233664,69.04676931854192,46.83097098868791,73.87043823793351,75.0
1,-1.320905398046122,67.92053067696096,47.56509262618938,34.380549932489224,75.0
2,-13.836688071832608,62.646857348941566,32.84929883675733,42.55907213179104,75.0
3,0.4484180060659897,72.758794155448,47.79047770395863,48.06871135742466,75.0
4,-18.547398928907178,78.65457011741438,50.399556771422446,30.816890337728346,75.0
5,-9.920704483960241,91.58591258344478,44.91567323118432,52.60636563758958,75.0
6,-11.621789552521248,67.8797321488198,54.93800142657737,63.99332962550198,75.0
7,-4.975428173666852,69.89415471769746,35.613923887823475,60.39738625250915,75.0
8,-17.892806564316402,70.88224436707821,52.85321338600488,55.16214806053326,75.0
9,-5.159074667769378,57.90006018746184,61.30445957864771,58.18794990636453,75.0
10,-3.51062712837613,84.55230238377723,49.10097553861111,68.21145705135822,75.0
11,-6.437760396271763,55.58299718011824,69.17456365120415,49.534253834833834,75.0
12,-7.790531002324909,76.92144890686711,42.219330174074805,78.55876102146887,75.0
13,4.694586931366677,78.39188961201019,25.26366827678294,35.1544492127358,75.0
14,-3.518864070058842,81.28326796250353,67.4412709400318,43.932031837174954,75.0
15,4.054476566828472,87.69158571160608,41.6044965397148,57.63950423368812,75.0
16,-10.198003294113066,64.69018874476322,42.622130232030635,57.50613327138556,75.0
17,-9.304737813809203,77.87912504325001,52.28531979441221,54.698430107497316,75.0
18,2.213903555266305,94.42654775283108,61.285086903763585,40.686312491805374,75.0
19,-11.347564997708183,69.3982570559301,66.96007652383025,64.62297851544541,75.0
20,-10.421124751338025,67.46523655369579,53.052512304403756,66.33222421664283,75.0
21,-3.7939744021998614,70.02364269543709,30.554714489990182,32.94360126893556,75.0
22,3.829611714689579,44.8909598105784,41.71342286031651,38.819234310599185,75.0
23,6.329203058940163,108.91352035601905,18.810134675671453,50.299883172752196,75.0
24,-15.312763507300133,81.01175410232864,38.29566568307671,68.15842617905058,75.0
25,0.35988636204888014,90.15318285502549,42.27001469015077,40.03746325031677,75.0
26,-19.294425328711842,75.58857045636671,67.27451980373289,64.89059480883867,75.0
27,21.690862373524084,73.76275873479929,35.836333173766214,46.65400861966571,75.0
28,-20.512372006338566,74.67174764512538,63.82981638172977,53.517445508644165,75.0
29,-8.746575365557963,80.65889651921307,48.99295524491584,54.14511376922739,75.0
30,-12.966628048621228,57.460480204268784,31.187578970823363,43.92039121975603,75.0
31,-6.611524368906112,64.77900958319773,47.82830039488681,66.77710885449102,75.0
32,-14.584599810064166,81.8532743351793,69.66316050764412,36.900127077743726,75.0
33,-19.74333582398739,64.42053845987682,43.79788237594482,57.33044979816739,75.0
34,-30.514602453692113,41.15524372302593,51.94126396008711,51.69609383637371,75.0
35,-22.259654050986654,51.53621177384932,61.75964670784283,39.39680905316083,75.0
36,-8.205303230151095,63.7649681347477,52.37076768364562,67.20797390523548,75.0
37,-21.933571629140722,66.07828737064884,42.70143252970697,40.477249504659056,75.0
38,-14.632872143157575,68.46185381019869,48.44648008850615,45.99852806389738,75.0
39,9.685163625511073,76.74813367365536,66.06628348826085,39.083941837728446,75.0
40,3.8751365661767903,73.12359704327143,43.155084257228246,68.40436628190322,75.0
41,-10.7118829552318,74.09381152649233,78.37257309578368,71.91855642265656,75.0
42,20.90511339935737,90.42502603685487,36.40963945791388,55.019772918721834,75.0
43,-18.02218564266555,70.57623979934074,35.967304827124245,65.17435859245803,75.0
44,4.945806637287786,87.1641731159023,39.18761735551096,39.874293071537004,75.0
45,1.2742650224396659,67.35617286421076,48.208915341636896,62.04464300755429,75.0
46,0.5991889223058302,78.0710539699526,54.0018247767634,42.9390720482945,75.0
47,8.111787222941391,90.56480005697992,23.70174458941459,61.0278854207492,75.0
