unit_id,ConversionEfficiency,EffluentByproduct,do_RegenerationCycle
0,21.966422240230578,20.675969743398102,75.0
1,22.873136937399263,2.923060782828265,75.0
2,26.051680907409093,4.64641691256098,75.0
3,19.523036991102206,1.3734777977731376,75.0
4,21.298055336960225,19.441830222355183,75.0
5,22.289177285981655,6.2162672656902735,75.0
6,21.712995358670113,8.51529989743266,75.0
7,17.968249936786023,8.878769824725406,75.0
8,17.768284591856975,7.456051146232044,75.0
9,13.227374729794978,-0.6521747489284841,75.0
10,21.988764723038706,-5.01321402965697,75.0
11,19.395027446804953,6.760749259580594,75.0
12,15.7638532147169,10.245993756917267,75.0
13,24.35370136843488,1.8510869757225974,75.0
14,20.535875184746413,13.897149855367061,75.0
15,19.801680629801623,10.894729205588789,75.0
16,18.164281837357333,5.698037245892173,75.0
17,15.9840976303452,8.597473444619924,75.0
18,16.869752733829795,1.244554049759662,75.0
19,20.89802302896821,4.5145163809583355,75.0
20,15.310377683294028,11.524100642537295,75.0
21,17.551985616047126,17.976757530289582,75.0
22,15.469463450520923,25.104816370981414,75.0
23,13.895341641470324,0.5963007611548985,75.0
24,13.82349872888669,8.055069722415238,75.0
25,20.848524717254435,23.23755630162592,75.0
26,16.734401502765536,-3.115712487989107,75.0
27,14.385545818008534,5.834970557600158,75.0
28,14.059157271106514,6.052506382997363,75.0
29,19.895427043714253,9.534378855085286,75.0
30,19.43507171759636,2.561878947499885,75.0
31,18.61005158287005,20.515060717101992,75.0
32,14.078118274528851,7.746677805080756,75.0
33,15.133202251635772,11.98619216536439,75.0
34,9.28895591473254,1.8521941550812873,75.0
35,15.32737662798299,-5.60454085440926,75.0
36,21.729837677211115,5.568374657707391,75.0
37,20.45984188351688,5.801826158302003,75.0
38,16.084280554585064,5.737740130342575,75.0
39,18.450594811486265,21.25180086482839,75.0
40,27.74291966479001,-0.009440978682503598,75.0
41,21.85668582057975,-1.3903070189565376,75.0
42,17.566610982214048,7.473729421896418,75.0
43,17.15080221196556,11.794789259468507,75.0
44,22.40483825104679,14.592788462763775,75.0
45,13.068908104630802,4.397770220092103,75.0
46,22.837771315052446,6.365918635694178,75.0
47,12.087138845514314,-0.6233942501299925,75.0
48,21.25759939780092,11.65546173434612,75.0
49,17.568531900465533,5.915067711777519,75.0
50,17.128589321769738,5.237111427397538,75.0
51,20.527130940619294,7.66512777002834,75.0
52,14.963570720456651,11.617904455511596,75.0
53,17.219718573628644,10.542458464641719,75.0
54,21.412476068326644,10.006687148872716,75.0
