unit_id,HarvestBiomass,NitriteLevel,AmmoniaLevel,do_set_UVSterilizer,do_StockingDensity
0,13.675829940914557,65.2382107374582,58.57715450293303,1.0,25.0
1,8.91748476599979,65.49602679519307,41.43694563682386,1.0,25.0
2,12.807002777755123,65.23444905989321,50.127529510648486,1.0,25.0
3,16.361020295302737,71.7599290454949,39.3526224330923,1.0,25.0
4,10.410960945615603,68.16711801326655,28.24067382641001,1.0,25.0
5,15.474044462864073,68.22383871592939,58.17360181743212,1.0,25.0
6,12.488212298018087,77.28462326614749,60.857160298396984,1.0,25.0
7,7.966233213948351,73.28980525911601,50.218443402080425,1.0,25.0
8,15.2718846339484,66.04875169570454,54.27433770595206,1.0,25.0
9,15.191167533207343,85.43857690734326,40.4910300342084,1.0,25.0
10,13.200889290607725,75.23792376532816,66.19376734652175,1.0,25.0
11,16.43582985744412,63.23826800057867,37.98410256189366,1.0,25.0
12,16.2447535507483,91.87467755690099,57.14510112818994,1.0,25.0
13,12.387978070299134,57.645032855868195,68.47237479459159,1.0,25.0
14,13.268304728229811,78.89487434987912,65.36906637935788,1.0,25.0
15,10.50424247424435,60.24656800714674,28.483516752088793,1.0,25.0
16,16.85938247845091,78.59781526711566,54.12360115680462,1.0,25.0
17,13.3025510201358,66.45093832776571,42.56271980419445,1.0,25.0
18,10.731955394050031,73.06251085251859,52.55014977723157,1.0,25.0
19,9.822219772445106,68.00640738703287,55.625494678474084,1.0,25.0
20,20.614054323777353,86.7965654176949,68.69994218539355,1.0,25.0
21,17.389067226793042,82.98317512959433,79.06852488510215,1.0,25.0
22,11.728948430554668,62.953184224397724,46.31463867998509,1.0,25.0
23,15.746489506258113,77.6972911884906,59.39204496665348,1.0,25.0
24,26.609087533810783,107.83057556091717,51.59545529402717,1.0,25.0
25,10.722269542877715,77.69748709745153,49.13632058378714,1.0,25.0
26,10.176748790066004,66.73345664794009,57.84196703775147,1.0,25.0
27,10.529376805862093,82.7245150971886,51.962253263255306,1.0,25.0
28,11.13350109429457,70.37451096795836,48.956309471874675,1.0,25.0
