unit_id,DiskIoWait,JobQueueDepth
0,62.71994101412509,34.212034897493524
1,57.03232394701253,59.7223075836039
2,54.36907039745421,53.02474231780782
3,47.87187654291058,58.37636796340737
4,50.812427437416844,61.45947050078534
5,61.6992445505213,44.11608912278588
6,61.64287533442151,46.05877451745081
7,53.48767335621222,46.98771070863476
8,42.781111565288064,44.43643062818926
9,35.80222073453083,57.39524899168249
10,33.595970691039966,43.432067417850774
11,68.61553506203586,57.1456234249133
12,39.35155812313591,46.02667339719058
13,51.10566472037337,48.44957855797447
14,55.71794572600364,54.799650529524335
15,52.59167625712186,57.154089285548025
16,55.4179544642755,34.45401521632262
17,49.946189752713856,60.35278902127272
18,40.21101353915574,74.03005642965361
19,45.22552242609833,37.47664171884804
20,48.31457309362648,63.146975272485186
21,47.253682129772216,55.662454549024574
22,33.28149154262952,35.10718862088494
23,48.118334435526386,48.72461434027041
24,44.0261133682795,53.093725378285036
25,47.94376847651948,57.925933130476174
26,48.86312203933193,63.2037519372608
27,37.31058137277692,68.86795456821203
28,43.73984814740474,43.46581607664219
29,54.628017112529314,65.08903518108616
30,44.63215211198831,37.76087103282474
31,53.56854378833999,51.52511977726802
32,35.71100670725844,46.83972732316305
33,70.37302235947192,74.79121745056626
34,35.17203670203103,41.18701180239883
35,52.492005130652196,43.59430849545196
36,41.302905394515875,59.47115302314027
37,45.52678627348893,36.51423228653062
38,42.19008181098537,41.802190753445174
39,50.52464647757661,57.158362856766175
40,36.86769741490524,42.02503572048634
41,42.679914885126095,57.71242807229434
42,72.3809168289583,78.18625566782887
43,70.16224512591081,51.04862363192084
44,49.66204333244118,63.103764929507605
45,44.05210583103139,53.2181917932731
46,49.832587566452794,36.70203933971334
47,54.41424291211252,31.249446213577315
48,39.12733399868524,30.690429003106676
49,24.83313614196518,68.12920178940496
50,45.65077052946132,12.276396362919215
51,58.646761993583596,62.539382347782606
52,35.09388148490628,61.97677833011183
53,31.31293735491266,53.260765232447014
54,50.191257115071885,58.70111176631862
55,37.41685361413248,45.12170218288659
56,36.42860953089276,51.984355034733284
57,62.96395766223899,55.775377510389696
58,26.589854757041234,31.11868634977006
59,54.636609630556265,64.19704335845317
60,57.15418526421776,48.84247626230626
61,50.610195713510535,68.62071644412654
62,65.1898382339764,61.22518159526201
63,44.62688395849585,40.20757508325811
64,52.87521837738291,72.00005023150032
65,57.806613097820104,21.343414830047738
66,53.722177518347536,68.19129721717846
67,45.086495459798165,36.31854745128222
68,27.85878785598408,49.606759747511646
69,67.95253071429555,49.35602512698738
70,29.216425973762043,56.421087045852545
71,24.133551814691828,51.117853878263304
72,49.02070244081587,55.904053636245195
73,52.60327115406837,76.16599986315589
74,58.538316047957295,43.77774661618353
75,51.42222176439695,46.65433214370937
76,53.23353258134672,33.34294576446042
77,26.49600707997299,51.60175076199939
78,82.45460833436573,31.563954896706164
79,49.74116470769597,50.051883015313805
80,54.90865002120114,66.82706787069961
81,50.15321439488241,40.36426338129755
82,57.461650264790194,28.765898349755012
83,39.27397186634516,40.23873019794221
84,43.35071757183045,43.83240751565323
