unit_id,ReadmissionRate,do_diuretic_titration
0,43.60959991527753,25.0
1,71.96088807762231,25.0
2,43.10452438515982,25.0
3,63.31110758239368,25.0
4,36.717887568051665,25.0
5,47.50536853933464,25.0
6,29.879456935996153,25.0
7,69.11814730675697,25.0
8,30.40573293212534,25.0
9,50.53801900833755,25.0
10,55.67316184783816,25.0
11,36.18098970501149,25.0
12,50.031235833692485,25.0
13,55.32793390520042,25.0
14,38.593551887837236,25.0
15,30.32759342444705,25.0
16,25.962065238873222,25.0
17,38.76230316509974,25.0
18,45.12336514456581,25.0
19,31.266355411140367,25.0
20,34.33264790751937,25.0
21,29.782161181962355,25.0
22,56.989631490780965,25.0
23,65.28703333994012,25.0
24,43.11964544064088,25.0
25,36.73820337365824,25.0
26,29.827004511996787,25.0
27,51.07482847209963,25.0
28,27.620383343819636,25.0
29,41.71594301671526,25.0
30,48.681463865139094,25.0
31,48.60709362349336,25.0
32,36.9967466167475,25.0
33,21.805653993565148,25.0
34,43.34642268407988,25.0
35,45.68240065715248,25.0
36,38.480403183186795,25.0
37,33.38711470980067,25.0
38,42.771952822680255,25.0
39,37.75508692670096,25.0
40,35.213625416544204,25.0
41,46.53639864731322,25.0
42,40.96924877537694,25.0
43,38.21040976275147,25.0
44,32.81820957893555,25.0
45,44.27904763835166,25.0
46,59.10205657422337,25.0
47,26.348694673150348,25.0
48,52.92198888746416,25.0
49,45.585351680386125,25.0
50,37.00767932932805,25.0
51,46.90431320655183,25.0
52,36.805565466579154,25.0
53,44.00517401441982,25.0
54,26.46195289437702,25.0
55,61.30268594198524,25.0
56,57.25187241975966,25.0
57,47.42042753205202,25.0
58,21.933324247046677,25.0
59,37.066908252902905,25.0
60,72.46494710248724,25.0
61,39.151470195615175,25.0
62,45.53099792311407,25.0
63,35.626757582656374,25.0
64,47.5922071511385,25.0
65,51.59397919666161,25.0
66,28.99659753352575,25.0
67,47.27773700274101,25.0
68,39.13390177880123,25.0
69,37.90942272639922,25.0
70,45.88789406772099,25.0
71,22.802552702956074,25.0
72,21.719518650201675,25.0
73,32.601303958557864,25.0
74,64.13648991548159,25.0
75,55.699675440822865,25.0
76,32.33582769339577,25.0
77,33.05846265382488,25.0
78,26.95077560788473,25.0
79,68.16911821478243,25.0
80,23.019823464613985,25.0
