unit_id,ReadmissionRate,CongestionBiomarker,do_diuretic_titration
0,43.83462973122393,-32.22187237688464,50.0
1,43.57183221996051,-6.808775972420522,50.0
2,28.17603679925814,-9.58441908538612,50.0
3,44.35572277537819,-27.669431476080156,50.0
4,38.284959500652874,49.96993931619214,50.0
5,51.799239250834084,52.41229880741411,50.0
6,32.68291825864455,21.528350920531672,50.0
7,41.603398594680144,32.525190566679335,50.0
8,22.034512774788638,-1.4244783879025613,50.0
9,45.43883136622762,34.31418009399312,50.0
10,38.29219877795389,-25.653982924882477,50.0
11,43.982855286687936,15.54534200450717,50.0
12,33.305847326676876,-1.4810987827736142,50.0
13,51.8151612257315,-18.540283024310803,50.0
14,37.39786492672431,0.5600962839316921,50.0
15,51.99199811820162,54.43393538037051,50.0
16,34.834481894589366,-0.29366371727056517,50.0
17,50.542183937254755,-13.610374627452451,50.0
18,43.22801205974203,35.49317048820215,50.0
19,33.66873552738735,31.001643227278816,50.0
20,34.3595814937935,17.565695607393984,50.0
21,39.97469795275036,35.77559116876654,50.0
22,55.552843898628346,31.40609124008479,50.0
23,46.75650547872587,0.09978415152441134,50.0
24,24.682416776333188,52.3483202705289,50.0
25,52.65880210757577,17.6369458288038,50.0
26,34.742950071348815,23.109816760591798,50.0
27,73.2300605052668,39.3043174617759,50.0
28,29.68843307884129,33.58359850524159,50.0
29,32.47663470102291,21.00660041537064,50.0
30,34.919976607309295,38.459461201257575,50.0
31,35.87111594507529,5.118990653665739,50.0
32,44.30614600638229,40.880680327757936,50.0
33,26.414847670732204,-1.702965647173281,50.0
34,10.3210369258903,-23.573971727740215,50.0
35,21.20212690988285,2.540104108730519,50.0
36,39.459435278557294,-10.754300161379298,50.0
37,30.7822885412579,17.54672774528688,50.0
38,36.39221348502813,-4.032305219978076,50.0
39,58.985343514899604,6.972691720930378,50.0
40,53.44331692784566,12.982303356525023,50.0
41,34.62336736440974,56.51712055477297,50.0
42,72.31826925296038,92.17891979084712,50.0
43,48.59513411067833,27.49644526538659,50.0
44,51.11318617350955,31.750768341014282,50.0
45,51.78395584287787,37.69679979885136,50.0
46,49.53793920033185,31.1510174685908,50.0
