unit_id,ReadmissionRate,CongestionBiomarker,LengthOfStay,do_diuretic_titration
0,55.53132923827717,26.416609239823515,47.68438244090267,50.0
1,24.21684091075403,9.157017146720516,23.92803193593887,50.0
2,60.05944700278676,24.201929695419444,37.53177028960617,50.0
3,41.70863269260565,-15.306036757311631,32.91852111376615,50.0
4,29.659065995850824,42.17744825084655,28.35704215000476,50.0
5,49.04334655384045,45.631567508868656,39.96067342311024,50.0
6,48.82095929666439,55.37067047074103,42.75395633786157,50.0
7,34.99059105894373,3.2725505018570655,48.94443907539231,50.0
8,42.437702715970225,25.324817590686415,55.57619538116116,50.0
9,17.86675865240807,-5.33669582316938,22.212267684243482,50.0
10,21.08100865535452,17.092561334664094,35.4424489229033,50.0
11,38.80310999564943,18.250872032791822,39.31093464975036,50.0
12,58.45673215070081,52.91532983431226,44.817284743239405,50.0
13,65.13249922887013,1.418868922763263,56.62975669011835,50.0
14,43.13378959413332,23.656830958219196,50.91018207657849,50.0
15,67.17145392499575,21.21085614281018,25.275370014192735,50.0
16,39.13725968193086,6.721516125339022,31.94241504924949,50.0
17,25.378836253986414,6.314809700699969,34.50141655402164,50.0
18,51.659563086126425,41.8976843749606,37.6509649026184,50.0
19,49.72145016691363,21.004928685148116,29.856870067181944,50.0
20,84.04380811150817,61.592939021762746,48.612508973102656,50.0
21,18.28426249207761,-17.283192633131222,22.040535532641258,50.0
22,71.02974706355674,67.48644233790883,42.112790914609164,50.0
23,42.07168853722081,60.25937203689101,55.591214207975,50.0
24,71.79973631406676,31.78786391545627,47.152359531071816,50.0
25,52.51590559012947,-1.6874213190967424,29.30476691200345,50.0
26,42.469623965055725,-21.529584666423794,47.54471242637172,50.0
27,27.22638762407467,28.556555878897363,28.67843809877586,50.0
28,41.43008946476,40.88904880672213,39.52684105423539,50.0
29,29.598568127333227,-4.156416289083313,37.129409276653654,50.0
30,33.92256094180926,30.358207164846252,45.55258320931638,50.0
31,29.96698317953938,4.338636518068634,34.26814084230686,50.0
32,33.51029713992263,-24.485113665540027,39.89900311381266,50.0
33,40.2626845380949,1.736468159990757,30.689441188426663,50.0
34,39.252019740149564,29.087992093145267,31.542738928472968,50.0
35,56.10018089146965,44.121532622013376,37.956005618639196,50.0
36,51.36398264158033,-1.6823828334398598,34.17050663375599,50.0
