unit_id,CropYield,LeafGreennessIndex,EC_Salinity,PARLight,DissolvedO2Nutrient
0,19.35308100628447,7.808354342528248,55.369154312402564,70.27781543313739,38.4174329044961
1,18.722723046030424,7.503298706693468,46.788139439563835,59.51009433094306,58.48277621736731
2,17.86943882719212,7.615823843848275,54.585498474921394,48.50507746663135,49.59212796898451
3,22.803052164155876,7.053438263443931,47.87158565357155,28.41796436417206,45.7161792125558
4,15.611723897077974,7.369365632197555,44.416667178877006,47.61186314573665,63.86435489012772
5,21.656250981439904,7.645996303248246,51.04652853609167,64.06966486091775,48.48595780080954
6,21.327872369028796,7.452368274109205,51.921090687081055,68.57321821488033,44.21166445638001
7,18.932845928367822,6.945231210587582,54.461858628566326,46.90370329576882,29.91984292160334
8,18.629330528178013,7.536934000792344,64.67746379713631,49.692976101903064,40.89052054952019
9,15.416977776029693,7.154070507012565,30.19295590201435,70.15927166722197,44.82049266017791
10,19.533970193128617,7.501266201808155,37.32137200512693,41.786230524804644,65.22795563167688
11,19.64857700744412,7.20342327361033,46.26240818772611,36.684732261940084,49.07251670935158
12,20.69217087781183,6.463730248174717,63.80463541487188,54.89332574071482,58.60510296558326
13,21.40492024004459,7.8124896544234,41.02874836877954,52.38162204284372,49.54460403449853
14,13.79715570212036,6.996253419018929,48.49138216591499,56.19887422028224,53.18364499688117
15,19.758289435016902,7.55772783199966,34.978675216531904,72.00621222586437,43.58304225244611
16,20.428596103868525,7.185144539332209,49.7201382011651,51.61976398721043,43.99452879258711
17,19.623542294783423,7.804676089055757,53.28073441764939,20.498817302189284,49.587472491655795
18,22.241591729063163,7.417269641639577,41.495752314910476,44.44317025230653,46.32303827948528
19,13.228851895859343,7.4152050018063,45.06325309454093,57.59149478528478,40.0440931459411
20,15.241933976702768,7.589540304367844,61.09695097846466,44.95014613057983,75.03978855132341
21,16.855708585002752,7.5598254970656775,50.01242766116616,42.66726809593086,52.35715502550106
22,22.13168488664005,7.025936613135325,43.25395985325773,56.78687307862075,55.86361919807163
23,12.589818113595467,7.850659444733797,30.873948995446,43.70402049033788,36.14012263033608
