unit_id,CropYield,LeafGreennessIndex,do_ph_acidifier,do_iron_fertigation
0,25.18340625349414,6.703242518215296,5.8,100.0
1,26.517790055870172,7.230864553836609,5.8,100.0
2,20.435323111079395,7.305906879111706,5.8,100.0
3,24.80111034075582,6.819448736868403,5.8,100.0
4,18.562580057992577,8.392093602744746,5.8,100.0
5,20.91134937896986,8.348858300654742,5.8,100.0
6,19.943029403570247,7.886058377466742,5.8,100.0
7,22.922961156370626,8.006601633135645,5.8,100.0
8,14.667871380098989,7.574220301704953,5.8,100.0
9,17.195035465458083,7.702242596589742,5.8,100.0
10,16.856518240085386,6.960370364719979,5.8,100.0
11,16.444432266998195,7.314341415396891,5.8,100.0
12,21.661878691480794,7.552887646262723,5.8,100.0
13,21.537615144054822,6.8464299085625,5.8,100.0
14,23.601283802025726,7.601180207424869,5.8,100.0
15,21.169013094676494,8.403569534142816,5.8,100.0
16,19.935376776506416,7.367467396207792,5.8,100.0
17,22.376479061277326,6.928895619786254,5.8,100.0
18,23.956003611654943,8.344078738029962,5.8,100.0
19,19.27798501003786,8.0591526342485,5.8,100.0
20,20.302383029274544,7.774669620107951,5.8,100.0
21,28.707743527759423,8.226675854121533,5.8,100.0
22,14.09929334489591,7.216457512935063,5.8,100.0
23,16.820189117631042,7.58733110233778,5.8,100.0
24,16.820357119365674,8.758490359074216,5.8,100.0
25,26.74945402590117,7.766408221622329,5.8,100.0
26,16.3201159132034,7.85369066407915,5.8,100.0
27,19.514569054330018,7.462060313487792,5.8,100.0
28,15.89363192905763,8.158492135252363,5.8,100.0
29,19.181244908934026,8.015405489997574,5.8,100.0
30,19.93007202945269,8.05445854896315,5.8,100.0
31,30.79374752427536,7.673516768302868,5.8,100.0
32,20.15579076691206,8.150803957256768,5.8,100.0
33,18.059557850244307,7.4554361059352185,5.8,100.0
34,17.07965392599397,7.069877481892588,5.8,100.0
35,22.693393147249488,7.598753906279817,5.8,100.0
36,16.628106713900397,6.983134059199579,5.8,100.0
37,18.28907344129868,7.756402267685216,5.8,100.0
38,21.700482704376363,7.31243419247285,5.8,100.0
39,24.455858263394248,7.24874620120246,5.8,100.0
40,20.374356892597604,7.356194333551947,5.8,100.0
41,19.31692335226584,8.605681385121192,5.8,100.0
42,19.078846509942306,8.72584261996803,5.8,100.0
43,23.078733405488467,7.699345696312371,5.8,100.0
44,23.635683498315267,8.013323688756348,5.8,100.0
45,19.131706403435157,7.790456377334735,5.8,100.0
46,18.205475504691336,7.813829304359433,5.8,100.0
47,18.429369563810397,7.923104331865597,5.8,100.0
48,18.830900119476155,7.874836202811517,5.8,100.0
49,18.185978400656097,9.096854233012415,5.8,100.0
50,23.748540201768495,7.718836923045156,5.8,100.0
51,23.054217303288272,7.618025648881477,5.8,100.0
52,21.889712632424697,8.202989691730942,5.8,100.0
53,29.075712078553558,7.089989432968845,5.8,100.0
54,20.586634922465546,7.883232960205347,5.8,100.0
55,24.806645295788012,8.952621562879973,5.8,100.0
56,15.929701055042433,7.7679879359507265,5.8,100.0
57,16.203880386162254,7.238400385563841,5.8,100.0
58,20.365000542332982,6.7618112432788955,5.8,100.0
59,21.984142883250218,8.277906700377423,5.8,100.0
60,17.385472108019098,8.140110060374273,5.8,100.0
61,25.516873528428853,7.381492637718511,5.8,100.0
62,17.589333017568688,7.466370753450023,5.8,100.0
63,19.882504526191394,7.041347461869169,5.8,100.0
64,24.593756942495133,7.241130188140245,5.8,100.0
65,28.654216421948338,8.032602188414712,5.8,100.0
66,22.47066376394121,7.073605131737835,5.8,100.0
67,18.760208536202953,7.367769759359936,5.8,100.0
68,21.688371121210412,7.510241190158204,5.8,100.0
69,26.09810507421247,7.645671619044858,5.8,100.0
70,18.292243074749848,8.036208464679618,5.8,100.0
71,22.647926474936213,7.936342525692667,5.8,100.0
72,17.952155298811718,7.537848758297505,5.8,100.0
73,26.69624391563627,8.114615647915086,5.8,100.0
74,24.68262824841709,7.078321112040622,5.8,100.0
75,20.36053090853095,7.874640066227677,5.8,100.0
76,15.711701664692082,7.218790054090325,5.8,100.0
77,11.913353339688735,6.812423697597823,5.8,100.0
78,15.151428343510599,7.831643619792102,5.8,100.0
79,20.956645255869304,7.356276415495888,5.8,100.0
80,22.307880568948633,7.816614967173105,5.8,100.0
81,27.018464232753814,7.810735305625757,5.8,100.0
82,16.992677741974088,8.071327550798774,5.8,100.0
83,18.38096284670378,8.684630920298698,5.8,100.0
84,15.826621277960822,7.853612391664714,5.8,100.0
85,15.079397262558334,7.015614288717988,5.8,100.0
86,25.109210125474227,7.399786265921696,5.8,100.0
87,19.524712698517263,7.842710696547893,5.8,100.0
88,20.547347080460227,8.156052603455436,5.8,100.0
89,21.330585177535497,8.124805379005503,5.8,100.0
90,20.917521620022537,7.865045477529531,5.8,100.0
91,14.767740366437721,7.574367588662146,5.8,100.0
92,17.222799893046762,7.156303767193878,5.8,100.0
93,17.422038727977302,8.18973857522835,5.8,100.0
94,22.540822643477743,7.993107158645344,5.8,100.0
95,23.317718781869825,7.743227417663248,5.8,100.0
96,18.961455898071737,8.151096412497742,5.8,100.0
97,23.076246115157794,8.586320476104463,5.8,100.0
98,22.2622403093924,8.159510626479806,5.8,100.0
99,18.288716784151198,7.469059428830343,5.8,100.0
100,20.075803232875497,7.170114422305815,5.8,100.0
101,17.34895968786114,7.558582464017915,5.8,100.0
102,28.37508735873076,8.194643252034615,5.8,100.0
103,20.53765613202916,7.861418745053418,5.8,100.0
104,17.842106117167187,7.875187838773523,5.8,100.0
105,24.167265685390753,8.102566882075342,5.8,100.0
106,16.54346759602358,7.911612112375305,5.8,100.0
107,16.688750838138958,7.127627218337141,5.8,100.0
108,24.699533135624982,8.481925169328823,5.8,100.0
109,15.752427246431042,8.591829270489818,5.8,100.0
110,15.852070404048446,8.80688893939287,5.8,100.0
111,23.83737474710921,7.8357379298545675,5.8,100.0
112,22.427251454712763,6.871623588638108,5.8,100.0
113,19.62459400748313,7.488581564571758,5.8,100.0
114,14.346417744162382,7.162703769927657,5.8,100.0
115,23.342229401476917,8.426368114761836,5.8,100.0
116,15.939162607609118,8.145432904831278,5.8,100.0
117,22.380087849518443,8.44774298017283,5.8,100.0
118,20.27949743108131,6.717233076765387,5.8,100.0
119,19.499327678939533,7.297359669764629,5.8,100.0
120,24.034825989396577,7.5319075023611,5.8,100.0
121,18.84601670645573,8.369863872659248,5.8,100.0
122,18.686179588900817,7.878121044601307,5.8,100.0
123,20.14061624595066,8.407631076885506,5.8,100.0
124,12.708365829842412,7.704269563874307,5.8,100.0
125,21.49757163916955,7.754108866667002,5.8,100.0
126,14.80436299180663,7.724655077195003,5.8,100.0
127,17.04267156026424,7.967911195566851,5.8,100.0
128,16.535796570366646,7.763557355472756,5.8,100.0
129,22.864412387747564,7.477983694661393,5.8,100.0
130,18.73264140909028,7.2505041058556134,5.8,100.0
131,23.953943836168673,7.645411141099994,5.8,100.0
132,26.935564762536437,7.451067295884808,5.8,100.0
133,22.25925088257389,7.6989072873323865,5.8,100.0
134,19.99674125551822,8.069591034073419,5.8,100.0
135,21.508570719460693,7.836480077576356,5.8,100.0
136,17.10527724617294,7.06078988775215,5.8,100.0
137,16.431248393373277,7.594040526037617,5.8,100.0
138,23.773696858969465,7.4962257431112524,5.8,100.0
139,19.36859702832911,7.32910853873061,5.8,100.0
140,18.362003101699806,8.215698546198013,5.8,100.0
141,19.24723027863588,8.071241845840756,5.8,100.0
142,20.73616278652372,7.725662252344301,5.8,100.0
143,15.10691392517256,7.995236794221991,5.8,100.0
144,16.85181761182526,7.052690388061483,5.8,100.0
145,19.00792486235408,7.49654554936273,5.8,100.0
146,17.488720661520034,8.305454546883418,5.8,100.0
147,23.82631296626544,7.690081668608124,5.8,100.0
148,16.608793252381307,7.718500282964406,5.8,100.0
149,22.989778693230907,8.057520073639443,5.8,100.0
150,17.630792956457704,7.415629094659262,5.8,100.0
151,22.61947165095208,7.694410423627635,5.8,100.0
152,20.29496344240393,8.620482990425662,5.8,100.0
153,23.740515412886307,7.027033262220694,5.8,100.0
154,28.269354810486576,8.46391549834158,5.8,100.0
155,25.26239250738729,8.816280702654435,5.8,100.0
156,18.783719539176516,8.612503235172529,5.8,100.0
157,23.956284790375335,7.007357675933352,5.8,100.0
158,20.912400201747424,7.912459982815569,5.8,100.0
159,26.41594499328413,7.26716252871015,5.8,100.0
160,19.67835988273346,7.1191837207634,5.8,100.0
161,17.478861260757302,7.495740924697151,5.8,100.0
162,18.2000589308628,7.806377840186,5.8,100.0
